document	variant	side	pages	runs
FAA 2025-26 Holdover Tables	as authored	ours	167	P1-9 L10 P11 L12-13 P14 L15-26 P27 L28-30 P31 L32-62 P63-70 L71-84 P85-93 L94 P95 L96-97 P98 L99-121 P122 L123-125 P126 L127-157 P158-167
FAA 2025-26 Holdover Tables	as authored	26.2.4.2	167	P1-9 L10 P11 L12-13 P14 L15-26 P27 L28-30 P31 L32-62 P63-70 L71-83 P84-92 L93 P94 L95-96 P97 L98-120 P121 L122-124 P125 L126-157 P158-167
24-25_FAA_Holdover_Tables	as authored	ours	155	P1-9 L10 P11 L12-13 P14 L15-26 P27 L28-30 P31 L32-57 P58-65 L66-78 P79-86 L87 P88 L89-90 P91 L92-111 P112 L113-115 P116 L117-143 P144-155
24-25_FAA_Holdover_Tables	as authored	26.2.4.2	155	P1-9 L10 P11 L12-13 P14 L15-26 P27 L28-30 P31 L32-57 P58-65 L66-79 P80-87 L88 P89 L90-91 P92 L93-112 P113 L114-116 P117 L118-143 P144-155
FAA 2025-26 Holdover Tables	TOC template removed	ours	167	P1-9 L10 P11 L12-13 P14 L15-26 P27 L28-30 P31 L32-62 P63-70 L71-84 P85-93 L94 P95 L96-97 P98 L99-121 P122 L123-125 P126 L127-157 P158-167
FAA 2025-26 Holdover Tables	TOC template removed	26.2.4.2	167	P1-9 L10 P11 L12-13 P14 L15-26 P27 L28-30 P31 L32-62 P63-70 L71-83 P84-92 L93 P94 L95-96 P97 L98-120 P121 L122-124 P125 L126-157 P158-167
24-25_FAA_Holdover_Tables	TOC template removed	ours	155	P1-9 L10 P11 L12-13 P14 L15-26 P27 L28-30 P31 L32-57 P58-65 L66-78 P79-86 L87 P88 L89-90 P91 L92-111 P112 L113-115 P116 L117-143 P144-155
24-25_FAA_Holdover_Tables	TOC template removed	26.2.4.2	154	P1-9 L10 P11 L12-13 P14 L15-26 P27 L28-30 P31 L32-57 P58-65 L66-78 P79-86 L87 P88 L89-90 P91 L92-111 P112 L113-115 P116 L117-142 P143-154
