doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	160	165	0.750	0.750	1.000
001_Contextures_chart_sample_b089bc34__xlsx.pdf	59	72	0.131	0.883	0.149
001_advanced_excel_bar__xlsx.pdf	26	26	0.737	0.736	1.002
002_Contextures_chart_sample_f605e7bc__xlsx.pdf	30	40	0.750	0.909	0.825
002_advanced_excel_line__xlsx.pdf	38	38	0.818	0.816	1.002
004_Contextures_chart_sample_de7c0671__xlsx.pdf	63	71	0.960	0.969	0.991
00514292__xlsx.pdf	77	91	0.750	0.719	1.044
005_Contextures_chart_sample_6e279b08__xlsx.pdf	179	185	0.297	0.750	0.397
005_advanced_excel_area__xlsx.pdf	28	28	0.737	0.736	1.002
006_Contextures_chart_sample_afa23b53__xlsx.pdf	40	47	0.863	0.918	0.939
006_advanced_excel_scatter__xlsx.pdf	44	44	0.760	0.759	1.002
007_advanced_excel_bubble__xlsx.pdf	40	40	0.737	0.736	1.002
008_Contextures_chart_sample_7ea7a1d7__xlsx.pdf	56	61	0.027	0.766	0.035
009_Contextures_chart_sample_adcb3f6c__xlsx.pdf	42	51	0.750	0.806	0.931
009_advanced_excel_bar__xlsx.pdf	28	28	0.737	0.736	1.002
010_Contextures_chart_sample_e6ea06a3__xlsx.pdf	65	75	0.258	0.859	0.300
010_advanced_excel_line__xlsx.pdf	40	40	0.814	0.812	1.002
011_Contextures_chart_sample_599b4392__xls.pdf	30	37	0.950	0.987	0.962
013_advanced_excel_area__xlsx.pdf	28	28	0.737	0.736	1.002
014_Contextures_chart_sample_991ecfc5__xls.pdf	108	136	0.000	0.250	0.000
014_advanced_excel_scatter__xlsx.pdf	46	46	0.759	0.758	1.002
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	199	213	0.800	0.593	1.350
015_advanced_excel_bubble__xlsx.pdf	42	42	0.737	0.736	1.002
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx.pdf	123	128	1.021	1.003	1.018
017_Timeline_Templates_for_Excel_b88faee6__xlsx.pdf	44	53	1.119	1.207	0.927
017_advanced_excel_bar__xlsx.pdf	26	26	0.737	0.736	1.002
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx.pdf	350	415	0.676	0.590	1.147
018_advanced_excel_line__xlsx.pdf	38	38	0.818	0.816	1.002
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx.pdf	528	648	0.584	0.457	1.277
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39__xlsx.pdf	221	236	0.750	0.748	1.002
021_advanced_excel_area__xlsx.pdf	28	28	0.737	0.736	1.002
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx.pdf	57	74	0.518	0.402	1.286
022_advanced_excel_scatter__xlsx.pdf	44	44	0.760	0.759	1.002
023_advanced_excel_bubble__xlsx.pdf	40	40	0.737	0.736	1.002
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx.pdf	101	107	0.293	0.352	0.832
025_advanced_excel_bar__xlsx.pdf	28	28	0.737	0.736	1.002
026_advanced_excel_line__xlsx.pdf	38	38	0.818	0.816	1.002
028_Budget_summary_report_4aeefd13__xlsx.pdf	71	68	0.657	0.564	1.165
029_Annual_budget_Use_this_template_30324a97__xlsx.pdf	40	38	0.308	0.419	0.734
029_advanced_excel_area__xlsx.pdf	28	28	0.737	0.736	1.002
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx.pdf	154	158	0.857	0.923	0.929
030_advanced_excel_scatter__xlsx.pdf	46	46	0.759	0.758	1.002
031_advanced_excel_bubble__xlsx.pdf	40	40	0.737	0.736	1.002
032_Business_expenses_budget_d377eaab__xlsx.pdf	142	141	0.639	0.477	1.338
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	94	96	0.572	0.453	1.262
033_advanced_excel_bar__xlsx.pdf	26	26	0.737	0.736	1.002
034_Personal_net_worth_calculator_f7b8fb57__xlsx.pdf	73	80	0.774	0.760	1.018
034_advanced_excel_line__xlsx.pdf	40	40	0.814	0.812	1.002
035_Project_plan_for_law_firms_aa2d4462__xlsx.pdf	26	27	0.764	0.557	1.371
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx.pdf	29	28	0.293	0.326	0.900
037_Personal_money_tracker_a57957bb__xlsx.pdf	74	81	0.894	0.817	1.094
038_Baby_growth_chart_bb9cd672__xlsx.pdf	33	31	0.278	0.298	0.934
039_Baby_growth_tracker_e295ae56__xlsx.pdf	33	31	0.273	0.292	0.934
040_Blood_pressure_tracker_872b6833__xlsx.pdf	31	31	0.759	0.653	1.161
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx.pdf	59	62	1.100	0.944	1.166
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx.pdf	330	332	0.741	0.470	1.575
045_Check_register_with_chart_4becb8a0__xlsx.pdf	17	17	2.280	1.559	1.462
046_Cost_analysis_with_Pareto_chart_7db5ef69__xlsx.pdf	15	13	0.180	0.210	0.857
049_Expenses_calculator_c351f3d0__xlsx.pdf	34	39	1.060	1.035	1.024
050_Financial_vision_d44241e1__xlsx.pdf	23	23	0.961	0.470	2.045
052_Manufacturing_output_chart_88570318__xlsx.pdf	11	10	0.430	0.464	0.925
053_Personal_asset_inventory_5446d84b__xlsx.pdf	27	32	0.683	0.685	0.997
057_Simple_balance_sheet_Use_this_template_e2d4cbb2__xlsx.pdf	18	16	1.569	1.451	1.082
058_Social_media_engagement_data_cfa1cb18__xlsx.pdf	12	11	0.596	0.556	1.071
061_Regional_sales_chart_cb9eb690__xlsx.pdf	26	26	0.992	0.676	1.468
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx.pdf	302	383	0.154	0.523	0.294
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx.pdf	81	90	0.824	0.367	2.247
073_Graph_paper_6e1a30eb__xlsx.pdf	173	179	0.750	0.750	1.000
079_Org_charts_visual_248d1dcf__xlsx.pdf	157	159	0.750	0.158	4.759
082_Project_to_do_list_28f80082__xlsx.pdf	10	10	0.750	0.435	1.724
084_Service_invoice_Use_this_template_c92b43dc__xlsx.pdf	36	40	0.108	0.182	0.596
085_Simple_Gantt_chart_d65b8377__xlsx.pdf	336	384	0.750	0.399	1.882
090_Weekly_time_sheet_Use_this_template_0499cc43__xlsx.pdf	26	29	0.750	0.467	1.606
091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01__xlsx.pdf	32	35	0.050	0.100	0.500
093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58__xlsx.pdf	76	86	0.750	0.750	1.000
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281__xlsx.pdf	30	34	0.750	0.737	1.018
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d__xlsx.pdf	99	104	0.050	0.104	0.481
16424782563923__xlsx.pdf	123	129	0.750	0.750	1.000
18-02RD301_ILS_components_Master_9-13-18__xls.pdf	10	11	0.750	0.750	1.000
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls.pdf	44	45	0.477	0.395	1.207
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls.pdf	78	97	0.596	0.586	1.018
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	233	241	0.750	0.750	1.000
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	171	177	0.750	0.532	1.409
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	171	177	0.750	0.532	1.409
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	120	142	0.858	0.856	1.003
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx.pdf	128	138	0.750	0.753	0.996
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls.pdf	129	141	0.750	0.750	1.000
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx.pdf	377	392	0.750	0.383	1.961
6f9e605c-fded-11e3-bd0e-00144feab7de__xls.pdf	422	511	0.103	0.103	1.005
7-memento-2015-transports-aeriens-b__xls.pdf	431	522	0.750	0.709	1.058
AFCforPtF-Digital-Certificate-Publication-Report__xlsx.pdf	239	256	0.750	0.750	1.000
AIRBUS_station_evaluation_checklist_v2__xlsx.pdf	35	37	0.750	0.458	1.639
AMOC-Digital-Certificate-Publication-Report__xlsx.pdf	125	143	0.750	0.750	1.000
Air_Boss_Master_List__xlsx.pdf	113	127	0.898	0.935	0.960
Aircraft_Database__xlsx.pdf	252	247	1.071	1.098	0.975
Application_Compliance_Checklist_5_Apr_2021__xlsx.pdf	1062	1046	0.462	0.223	2.069
Application_for_authorisation_as_crowdfunding_service_provider__xlsx.pdf	111	131	0.750	0.746	1.005
Background_Declaration_Template__xls.pdf	24	24	0.750	0.443	1.695
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx.pdf	11	13	0.780	0.673	1.159
CIS_Debian_Linux_8_Benchmark_v1.0.0__xls.pdf	61	65	0.750	0.750	1.000
CSA_CCM_v1.2__xls.pdf	515	546	0.750	0.300	2.501
CSJU List of Recipients of funds 2013-2020__xlsx.pdf	605	627	0.750	0.476	1.577
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx.pdf	29	31	0.750	0.750	1.000
Data-Architecture-Tool-Fit-Assessment-Template__xlsx.pdf	214	231	0.750	0.750	1.000
DynamicBubbleChart__xlsx.pdf	88	93	0.673	0.928	0.725
EASA_PRODUCT_LIST_-_ALL__xlsx.pdf	412	428	0.750	0.750	1.001
ECA Sinters__xls.pdf	603	619	0.750	0.413	1.818
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls.pdf	666	686	0.909	0.624	1.457
ExampleWhiteListData__xlsx.pdf	277	289	0.750	0.750	1.000
