# grouped from /home/user/odsrow-work/parity-fixC.tsv, 2026-09-07
# ours   = Paperless.Cli at agent/odsgap with the print-range split fixed
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2
# fonts  = system fontconfig; all four tarball confounds aside, LiberationSansNarrow included (2026-09-07)
path	ext	verdict	group	pages	glyphs	glyph_delta_pct
sheets/chartset-005/ods/004_Contextures_chart_sample_de7c0671.ods	ods	words	ink-extra	4/4	909/882	3.1
sheets/chartset-006/ods/070_Equipment_inventory_list_Use_this_template_fd524c8a.ods	ods	words	ink-extra	1/1	1211/1028	17.8
sheets/chartset-006/ods/088_To-do_list_with_progress_tracker_Use_this_template_8c438912.ods	ods	words	ink-extra	1/1	330/314	5.1
sheets/chartset-008/ods/023_Waterfall_Chart_Template_for_Excel_349f7689.ods	ods	words	ink-extra	5/5	3642/3568	2.1
sheets/chartset-008/ods/034_Personal_net_worth_calculator_f7b8fb57.ods	ods	words	ink-extra	7/7	1111/1069	3.9
sheets/chartset-009/ods/075_Idea_planner_tasks_f44ebd73.ods	ods	words	ink-extra	1/1	512/485	5.6
sheets/chartset-010/ods/065_Weight_loss_tracker_ff1c89af.ods	ods	words	ink-extra	2/2	344/308	11.7
sheets/chartset-011/ods/030_Basic_balance_sheet_Use_this_template_10ed9144.ods	ods	words	ink-extra	8/8	1683/1624	3.6
sheets/chartset-011/ods/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	ods	words	ink-extra	3/3	2179/1877	16.1
sheets/chartset-013/ods/001_Contextures_chart_sample_b089bc34.ods	ods	words	ink-extra	13/13	2982/2902	2.8
sheets/chartset-014/ods/048_Expense_trends_budget_18d1e8ba.ods	ods	words	ink-extra	14/14	4083/3986	2.4
sheets/chartset-014/ods/076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.ods	ods	words	ink-extra	9/9	4927/4782	3.0
sheets/done-015/ods/underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund.ods	ods	words	ink-extra	15/15	24660/23820	3.5
sheets/unstable-001/ods/fse_identification_form.ods	ods	words	ink-extra	3/3	2283/2215	3.1
sheets/ceiling-001/ods/Template Pilot Logbook JAR-FCL V3.0.ods	ods	words	ink-missing	38/38	5203/5643	-7.8
sheets/chartset-002/ods/003_advanced_excel_pie.ods	ods	words	ink-missing	3/3	430/479	-10.2
sheets/chartset-002/ods/007_advanced_excel_bubble.ods	ods	words	ink-missing	3/3	400/418	-4.3
sheets/chartset-002/ods/011_advanced_excel_pie.ods	ods	words	ink-missing	3/3	411/457	-10.1
sheets/chartset-002/ods/027_advanced_excel_pie.ods	ods	words	ink-missing	3/3	404/451	-10.4
sheets/chartset-003/ods/015_advanced_excel_bubble.ods	ods	words	ink-missing	3/3	406/428	-5.1
sheets/chartset-003/ods/031_advanced_excel_bubble.ods	ods	words	ink-missing	3/3	386/404	-4.5
sheets/chartset-004/ods/019_advanced_excel_pie.ods	ods	words	ink-missing	3/3	425/476	-10.7
sheets/chartset-004/ods/023_advanced_excel_bubble.ods	ods	words	ink-missing	3/3	406/425	-4.5
sheets/chartset-004/ods/DynamicBubbleChart.ods	ods	words	ink-missing	5/5	1658/1728	-4.1
