path	ext	family	batch	kind	part	feature
slides/ceiling-002/pptx/Demick_JetBlue.pptx	pptx	slides	ceiling-002	ceiling	ppt/charts/chart3.xml	c:lineChart
slides/ceiling-002/pptx/Demick_JetBlue.pptx	pptx	slides	ceiling-002	ceiling	ppt/charts/chart2.xml	c:lineChart
slides/ceiling-002/pptx/Demick_JetBlue.pptx	pptx	slides	ceiling-002	ceiling	ppt/charts/chart1.xml	c:lineChart
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart1.xml	c:barChart
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart1.xml	@grouping_pctstk
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart2.xml	c:scatterChart
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart2.xml	@scatterStyle_line
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart3.xml	c:scatterChart
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart3.xml	@scatterStyle_line
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart6.xml	c:barChart
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart5.xml	c:barChart
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	slides	ceiling-002	text	ppt/charts/chart4.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart21.xml	c:bubbleChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart5.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart4.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart6.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart8.xml	c:lineChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart7.xml	c:radarChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart3.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart1.xml	c:lineChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart2.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart17.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart17.xml	@barDir_bar
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart16.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart16.xml	@grouping_stacked
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart18.xml	c:lineChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart20.xml	c:lineChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart19.xml	c:doughnutChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart19.xml	@holeSize
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart15.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart14.xml	c:lineChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart10.xml	c:lineChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart9.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart11.xml	c:lineChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart13.xml	c:barChart
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart13.xml	@grouping_stacked
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	slides	chart-001	chart	ppt/charts/chart12.xml	c:lineChart
