odfpath	srcext	srcpath	family	batch	feature
slides/chartset-005/odp/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.odp	pptx	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	slides	chartset-005	series-class:chart:circle
slides/chartset-005/odp/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.odp	pptx	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	slides	chartset-005	@solid_type
slides/done-012/odp/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.odp	pptx	slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	slides	done-012	class:chart:bar
slides/done-012/odp/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.odp	pptx	slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	slides	done-012	series-class:chart:bar
slides/done-012/odp/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.odp	pptx	slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	slides	done-012	@solid_type
slides/done-007/odp/bitesize-writing-a-report.odp	pptx	slides/done-007/pptx/bitesize-writing-a-report.pptx	slides	done-007	class:chart:circle
slides/done-007/odp/bitesize-writing-a-report.odp	pptx	slides/done-007/pptx/bitesize-writing-a-report.pptx	slides	done-007	series-class:chart:circle
slides/done-007/odp/bitesize-writing-a-report.odp	pptx	slides/done-007/pptx/bitesize-writing-a-report.pptx	slides	done-007	@solid_type
slides/done-007/odp/bitesize-writing-a-report.odp	pptx	slides/done-007/pptx/bitesize-writing-a-report.pptx	slides	done-007	class:chart:circle
slides/done-007/odp/bitesize-writing-a-report.odp	pptx	slides/done-007/pptx/bitesize-writing-a-report.pptx	slides	done-007	series-class:chart:circle
slides/done-007/odp/bitesize-writing-a-report.odp	pptx	slides/done-007/pptx/bitesize-writing-a-report.pptx	slides	done-007	@solid_type
slides/done-007/odp/flying-by-numbers-presentation.odp	pptx	slides/done-007/pptx/flying-by-numbers-presentation.pptx	slides	done-007	class:chart:scatter
slides/done-007/odp/flying-by-numbers-presentation.odp	pptx	slides/done-007/pptx/flying-by-numbers-presentation.pptx	slides	done-007	series-class:chart:scatter
slides/done-007/odp/flying-by-numbers-presentation.odp	pptx	slides/done-007/pptx/flying-by-numbers-presentation.pptx	slides	done-007	@symbol_type
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	class:chart:bar
