document	breaks	paras	wrapbreaks	shapecells	widest-ratio
SLSA_Directory_031423.ods	0	0	528	0	1.00
Company_Seniority_Date_Calculator.ods	0	0	1	0	1.00
Liste-Zertifizierung-ChemKlimaschutzV-RPT.ods	0	0	7	0	1.00
Data-Architecture-Tool-Fit-Assessment-Template.ods	0	0	10	0	1.00
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.ods	0	0	0	6	1.00
INDEX_Digital_Transformation_Toolkits.ods	0	0	0	94	1.00
RegChangeReport.ods	0	0	16	0	1.00
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.ods	0	0	362	0	1.00
AFCforPtF-Digital-Certificate-Publication-Report.ods	0	0	391	0	1.00
AMOC-Digital-Certificate-Publication-Report.ods	0	0	100	0	1.00
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).ods	0	0	1	0	1.00
PC1000.ods	0	0	0	3	1.00
Special-Procedures_2025-07-10.ods	0	0	0	2	1.00
2023-qhp-form-and-rate-combined-checklist-final.ods	0	0	162	0	1.00
Application_Compliance_Checklist_5_Apr_2021.ods	0	0	74	13	1.00
Application_for_authorisation_as_crowdfunding_service_provider.ods	0	0	17	0	1.00
SIL_TDB605.ods	0	0	46	2	1.00
T0A0D0000090006XLSE.ods	0	0	2	0	1.00
links-2026.ods	0	0	5	0	1.00
MinCh-Digital-Certificate-Publication-Report.ods	0	0	224	0	1.00
NPIAS_2007_App_A.ods	0	0	7	0	1.00
SIL_TDB609.ods	0	0	46	3	1.00
ECA Sinters.ods	0	0	11	0	1.00
FY2021-AIP-grants.ods	0	0	5	0	1.00
afn-afn-20250801-fy25-jan25-mar25.ods	0	0	324	0	1.00
fy20-may20-sep20.ods	0	0	171	0	1.00
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.ods	0	0	33	0	1.00
7-memento-2015-transports-aeriens-b.ods	0	0	9	0	1.00
Aircraft_Database.ods	0	0	0	1	1.00
MajCh-Digital-Certificate-Publication-Report.ods	0	0	1855	0	1.00
NPIAS_App_A.ods	0	0	24	0	1.00
UASEventsNov2014-Aug2015.ods	0	0	461	0	1.00
fm-provider-service-measures.ods	0	0	104	0	1.00
Global_Market_Forecast_2016-2035_Airbus_Data_Set.ods	0	0	1	0	1.00
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.ods	0	0	123	0	1.00
flightstandards-doc-Cross-reference-table_version02.ods	0	0	951	0	1.00
tk-syllabus-comparison-document-v5.ods	0	0	117	0	1.00
STC_WebList.ods	0	0	4680	0	1.00
TOTAL	649	1246	15243	253	125 documents
