document	kept	stated	heights
ecopy of 2016 statistical bulletin_public finance statistics_final.ods	11	549	0.1772in,0.198in,0.2083in,0.2291in
00514292.ods	9	133	0.2083in
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.ods	7	360	0.1772in,0.1874in
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93.ods	5	93	0.1772in
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication.ods	5	208	0.2083in,0.3937in
sistem-rekod-markah-srm-_-rekod-master.ods	5	301	0.2083in
fm-provider-service-measures.ods	5	559	0.198in,0.2083in
005_Contextures_chart_sample_6e279b08.ods	4	61	0.2083in
047_Date_tracker_Gantt_chart_bf34f3a8.ods	4	102	0.198in
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.ods	4	284	0.1772in
arp-sop-300-Exhibit-A-Table-Templates.ods	4	228	0.198in
Application_for_authorisation_as_crowdfunding_service_provider.ods	4	160	0.198in
023_Waterfall_Chart_Template_for_Excel_349f7689.ods	3	146	0.198in
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.ods	3	289	0.1772in,0.2083in
079_Org_charts_visual_248d1dcf.ods	3	83	0.1665in,0.1772in
007_Contextures_chart_sample_667d8e47.ods	3	85	0.2189in
009_Contextures_chart_sample_adcb3f6c.ods	3	107	0.2083in,0.2291in
001_Contextures_chart_sample_b089bc34.ods	3	244	0.2083in,0.2189in
033_Event_planning_tracker_Use_this_template_f29a848e.ods	3	97	0.198in
035_Project_plan_for_law_firms_aa2d4462.ods	3	80	0.1874in
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144.ods	3	100	0.1772in,0.198in
Keywords_Mapping_Graphs_and_Charts.ods	3	356	0.2083in
2023-qhp-form-and-rate-combined-checklist-final.ods	3	426	0.2189in
Aircraft_Database.ods	3	1409	0.1772in
003_Contextures_chart_sample_9bda2719.ods	2	47	0.2083in
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.ods	2	200	0.1772in
015_Free_Gantt_Chart_Template_for_Excel_414e86bf.ods	2	215	0.1772in
084_Service_invoice_Use_this_template_c92b43dc.ods	2	54	0.1874in,0.198in
010_Contextures_chart_sample_e6ea06a3.ods	2	43	0.2083in,0.2291in
028_Budget_summary_report_4aeefd13.ods	2	77	0.1874in
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	2	60	0.1874in
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39.ods	2	74	0.2083in
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.ods	2	230	0.1874in
031_Business_expense_budget_f3a46278.ods	2	171	0.2083in,0.25in
027_Simple_personal_cash_flow_statement_675c6584.ods	2	208	0.1874in
039_Baby_growth_tracker_e295ae56.ods	2	36	0.1874in
064_Small_business_cash_flow_Use_this_template_0a640756.ods	2	120	0.1354in
Air_Boss_Master_List.ods	2	100	0.2083in
Performance.ods	2	178	0.2083in
RCO_VOR_Master_List_082824.ods	2	1712	0.198in
ODs-February-2022-Airbus-Commercial-Aircraft.ods	2	3427	0.1772in
