(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx	3	596	604	596	0	0	8	2	0	2	1	595.304	841.89	0		1780
003__doc	5	984	999	984	0	11	4	3	0	3	1	595.304	841.89	0		1164
00514292__xlsx	9	846	857	846	0	0	11	3	0	3	2	841.89	595.304	0		1735
010605Vul__ppt	21	943	1101	943	74	25	59	6	0	6	1	720	540	0		1329
02_REDAC_New ATM briefing _March 2017v2__pptx	6	759	805	759	42	0	4	5	0	5	1	720	540	0		1249
02_mcar_part-2_and_IS_v2.10__docx	312	80538	81140	80538	0	8	594	4	0	4	1	612	792	0		5405
0335fab9-79f0-4944-b92c-f223837ca2d8__ppt	12	619	670	619	44	0	7	3	0	3	1	720	540	0		1328
03_Technical_Report_(progress)_template__docx	10	1411	1432	1411	0	5	16	6	0	6	2	595.304	841.89	0		1341
07-04__doc	3	1069	1078	1069	0	0	9	5	0	5	1	612	792	0		1151
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt	18	814	870	814	34	0	22	4	0	4	1	720	540	0		1306
09__docx	2	464	464	464	0	0	0	4	0	4	1	612	792	0		1106
0c662f5c948a7d81d32ffd833c5cc59421a5f522__docx	1	401	421	401	0	0	20	4	0	4	1	595.304	841.89	0		1141
1-secretariat__ppt	10	303	400	303	47	0	50	3	0	3	1	720	540	0		1457
10. Drawings, circuit diagrams and schematics__pptx	23	1504	1523	1504	8	0	11	4	0	4	1	720	540	0		1280
10795__doc	4	857	864	857	0	0	7	4	0	4	1	595.304	841.89	0		1159
111006 COMSTAC STOWG Aero spaceports IFG__pptx	8	267	309	267	18	0	24	2	0	2	1	720	540	0		1118
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx	21	2326	2370	2326	0	0	44	3	0	3	1	595.304	841.89	0		2062
1200-Assigning-Club-officers__pptx	16	163	165	163	1	0	1	7	0	7	1	960.009	540	0		1159
120509coss__doc	25	7184	7233	7184	0	19	30	7	0	7	1	612	792	0		2227
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759__doc	12	2819	2833	2819	0	0	14	5	0	5	1	595.304	841.89	0		1761
1244277 1 Comment__doc	2	389	396	389	0	0	7	5	0	5	1	595.304	841.89	0		1083
1245685 1 Comment__doc	1	326	327	326	0	1	0	7	0	7	1	595.304	841.89	0		1104
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080__doc	9	2135	2180	2135	0	2	43	5	0	5	1	595.304	841.89	0		1480
135__doc	14	5283	5339	5283	0	17	39	8	0	8	1	595.304	841.89	0		1946
1447__doc	4	962	965	962	0	0	3	5	0	5	1	612	792	0		1198
150-5370-10H__docx	727	293046	299239	293046	3	215	5975	14	0	14	1	612	792	0		14953
150_5300_13_chg10__doc	77	23389	23599	23389	0	21	189	10	0	10	1	612	792	0		3993
150_5300_13_chg12__doc	31	12747	12821	12747	0	12	62	9	0	9	1	612	792	0		3220
150_5300_13_chg8__doc	18	8575	8643	8575	0	22	46	8	0	8	1	612	792	0		2406
150_5335_5a__doc	64	19089	19285	19089	13	52	131	9	0	9	1	612	792	0		3444
1528039320__docx	1	289	292	289	0	0	3	2	0	2	1	595.304	841.89	0		1130
1528364855__doc	3	1076	1108	1076	7	0	25	4	0	4	1	595.304	841.89	0		1350
16 - UTM - (NASA)__pptx	37	2260	2447	2260	128	1	58	11	0	11	1	960.009	540	0		3352
1603642410-MoM-CASCOM-06-2020-draft04__docx	9	4474	4610	4474	0	43	93	8	0	8	1	595.304	841.89	0		1767
16424782563923__xlsx	3	843	843	843	0	0	0	2	0	2	1	595.304	841.89	0		1623
171128IPAP__pptx	40	4626	4768	4626	0	93	49	10	0	10	1	720	540	0		1977
18-02RD301_ILS_components_Master_9-13-18__xls	166	52498	53382	52498	0	0	884	3	0	3	1	612	792	0		4143
19-06 Assistive Technology TAB Final - 508__docx	8	3242	3269	3242	0	16	11	8	0	8	1	612	792	0		1583
191216_Lesefassung_Nachtflugregelung__docx	3	916	923	916	0	0	7	4	0	4	1	595.304	841.89	0		1142
195584360__docx	20	7852	8021	7852	0	11	158	5	0	5	1	612	792	0		2225
1_Country-Updates_DRC_English__pptx	16	783	842	783	46	0	13	5	0	5	1	720	408.246	0		1720
1_tpr_template__from_fy14___docx	8	3577	3595	3577	0	4	14	10	0	10	2	595.304	841.89	0		1620
20110608_psp__docx	3	678	686	678	0	0	8	4	0	4	1	595.304	841.89	0		1049
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	3	495	529	495	0	0	34	3	0	3	1	792	612	0		1663
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls	5	624	627	624	0	0	3	3	0	3	1	792	612	0		1758
2013-op12-Annex III - Curriculum Vitae__doc	3	356	383	356	13	0	14	3	0	3	1	595.304	841.89	0		901
2013_11__doc	8	2612	2636	2612	0	13	11	9	0	9	1	612	792	0		1400
2014BSA_Sunday_Killion__pptx	50	3566	3712	3566	78	0	68	8	0	8	1	720	540	0		1896
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx	19	2784	2824	2784	0	0	40	3	0	3	1	595.304	841.89	0		1690
2015-April-SWIM_Users_Forum-Q&A__docx	5	1704	1708	1704	0	0	4	4	0	4	1	612	792	0		1209
2015-Civil-Rights-Website-training__ppt	94	6129	6595	6129	0	439	27	11	0	11	1	720	540	0		3274
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx	5	2323	2364	2323	0	0	41	4	0	4	1	612	792	0		1695
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx	5	2323	2364	2323	0	0	41	4	0	4	1	612	792	0		2146
2023-qhp-form-and-rate-combined-checklist-final__xlsx	100	13954	14099	13954	4	0	141	3	0	3	1	612	792	0		3646
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai__docx	3	670	674	670	0	0	4	3	0	3	1	612	792	0		1010
2024-2nd-quarter-case-summaries__doc	10	5677	5679	5677	0	0	2	4	0	4	1	612	792	0		1718
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx	35	13390	13560	13390	0	0	170	7	0	7	1	612	792	0		3483
23-session-2-pptx__pptx	16	304	333	304	0	25	4	4	0	4	1	720	540	0		1079
231164_SystemDesignDocument__docx	28	6573	6720	6573	0	95	52	6	0	6	1	612	792	0		2084
237287_0486190101_0486190101_geolink2neu__doc	8	1432	1607	1432	0	0	175	4	0	4	1	841.89	595.304	0		1198
24-25_FAA_Holdover_Tables__docx	155	68328	72440	68328	3	242	3867	9	0	9	2	612	792	0		5564
2ca950374241722b8ea7c132dfce63ae__doc	3	949	1054	949	0	0	105	4	0	4	1	595.304	841.89	0		1030
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx	18	1366	1452	1366	66	0	20	7	0	7	1	720	540	0		1331
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie__doc	1	335	341	335	0	1	5	4	0	4	1	595.304	841.89	0		967
316r_a_e__doc	14	4378	4423	4378	0	10	35	4	0	4	1	595.304	841.89	0		1613
316r_a_f__doc	14	4588	4638	4588	0	10	40	4	0	4	1	595.304	841.89	0		1645
33004__docx	47	12215	12405	12215	3	97	90	15	0	15	2	612	792	0		2634
