(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx	3	604	2	0	2	131
003__doc	5	999	3	0	3	764
00514292__xlsx	9	846	3	0	3	142
010605Vul__ppt	21	1089	6	0	6	522
02_REDAC_New ATM briefing _March 2017v2__pptx	6	805	5	0	5	409
02_mcar_part-2_and_IS_v2.10__docx	312	81108	4	0	4	4208
0335fab9-79f0-4944-b92c-f223837ca2d8__ppt	12	667	3	0	3	345
03_Technical_Report_(progress)_template__docx	10	1430	6	0	6	1610
07-04__doc	3	1078	5	0	5	1293
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt	18	871	4	0	4	246
09__docx	2	463	4	0	4	1039
0c662f5c948a7d81d32ffd833c5cc59421a5f522__docx	1	418	4	0	4	1067
1-secretariat__ppt	10	216	3	0	3	313
10. Drawings, circuit diagrams and schematics__pptx	23	1521	4	0	4	211
10795__doc	4	864	4	0	4	982
111006 COMSTAC STOWG Aero spaceports IFG__pptx	8	309	2	0	2	154
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx	21	2368	3	0	3	173
1200-Assigning-Club-officers__pptx	16	173	7	0	7	291
120509coss__doc	25	7228	7	0	7	1178
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759__doc	12	2798	5	0	5	1115
1244277 1 Comment__doc	2	393	5	0	5	376
1245685 1 Comment__doc	1	327	7	0	7	373
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080__doc	9	2163	5	0	5	452
135__doc	14	5316	8	0	8	424
1447__doc	4	962	5	0	5	269
150-5370-10H__docx	727	298716	14	0	14	13609
150_5300_13_chg10__doc	77	23553	10	0	10	1988
150_5300_13_chg12__doc	31	12766	9	0	9	728
150_5300_13_chg8__doc	18	8573	8	0	8	528
150_5335_5a__doc	64	19276	9	0	9	1265
1528039320__docx	1	292	2	0	2	188
1528364855__doc	3	1104	4	0	4	196
16 - UTM - (NASA)__pptx	37	2447	11	0	11	2241
