path	charts	manual	overrun	vertcat	valrot	catrot	insidecat
sheets/chartset-003/xlsx/015_advanced_excel_bubble.xlsx	1	0	0	0	0	0	0
sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	1	0	0	0	0	0	0
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	1	0	0	0	0	0	0
sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	1	0	0	0	0	0	0
sheets/chartset-003/xlsx/024_advanced_excel_radar.xlsx	1	0	0	0	0	0	0
sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	1	0	0	0	0	0	0
sheets/chartset-003/xlsx/031_advanced_excel_bubble.xlsx	1	0	0	0	0	0	0
sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	1	0	0	0	0	0	0
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	1	0	0	0	0	0	0
sheets/chartset-004/xlsx/019_advanced_excel_pie.xlsx	1	0	0	0	0	0	0
sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	1	0	0	0	0	0	0
sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	1	0	0	0	0	0	0
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	5	0	0	0	0	0	0
sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	1	0	0	0	0	0	0
sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	1	1	0	0	0	0	0
sheets/chartset-005/xlsx/067_Basic_invoice_Use_this_template_1d35c3e9.xlsx	0	0	0	0	0	0	0
sheets/chartset-005/xlsx/073_Graph_paper_6e1a30eb.xlsx	0	0	0	0	0	0	0
sheets/chartset-005/xlsx/074_Idea_planner_bacaa123.xlsx	0	0	0	0	0	0	0
sheets/chartset-005/xlsx/091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01.xlsx	0	0	0	0	0	0	0
sheets/chartset-005/xlsx/093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58.xlsx	0	0	0	0	0	0	0
sheets/chartset-005/xlsx/095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009.xlsx	0	0	0	0	0	0	0
