axessets	usedaxes	typegroups	visonly	legend	legend_notdocked	valranges	chart	doc	hiddenrows
1	1	1	True	0	0	1	1	sheets/done-002/xls/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.xls	False
1	1	1	True	0	0	1	1	sheets/done-002/xls/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.xls	False
1	1	1	True	1	1	1	1	sheets/missing-001/xls/orbus_togaf_tool_csq.xls	False
1	1	1	False	1	1	1	1	sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	False
1	1	1	False	1	1	1	1	sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	False
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
1	1	1	True	1	1	1	1	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	True
2	2	2	True	1	1	3	1	sheets/chartset-006/xls/014_Contextures_chart_sample_991ecfc5.xls	True
1	1	1	True	1	1	1	1	sheets/done-010/xls/TOGAF9-Tool-ConfReqts-CSQ.xls	False
