part	groups	axpairs	valax	dateax	catax	plotvisonly	varycolors	dpt	cellrange	dlblrange	strlit	numlit	spacebold	axorder	gaxorder	doc
ppt/charts/chart4.xml	1	1	0	0	0	True	1	5	0	0	0	0	0		pieChart::1	slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx
ppt/charts/chart29.xml	1	1	0	0	0	True	1	5	0	0	0	0	0		doughnutChart::1	slides/chartset-004/pptx/029_advanced_powerpoint_doughnut.pptx
ppt/charts/chart13.xml	1	1	0	0	0	True	1	5	0	0	0	0	0		doughnutChart::1	slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx
ppt/charts/chart16.xml	1	0	2	0	0	True	0	0	0	0	0	0	0	valAx:2094734554;valAx:2094734552	bubbleChart:2094734554,2094734552:0	slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx
ppt/charts/chart31.xml	1	0	2	0	0	True	0	0	0	0	0	0	0	valAx:2094734554;valAx:2094734552	scatterChart:2094734554,2094734552:0	slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx
ppt/charts/chart15.xml	1	0	2	0	0	True	0	0	0	0	0	0	0	valAx:2094734554;valAx:2094734552	scatterChart:2094734554,2094734552:0	slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:620604223;valAx:612392015	lineChart:620604223,612392015:3	slides/chartset-001/pptx/line_chart.pptx
ppt/charts/chart1.xml	1	1	2	0	0	True	0	0	14	6	0	0	0	valAx:1258785568;valAx:1258786048	scatterChart:1258785568,1258786048:3	slides/chartset-001/pptx/scatter_chart.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:620604223;valAx:612392015	areaChart:620604223,612392015:2	slides/chartset-001/pptx/stacked_area_chart.pptx
ppt/charts/chart8.xml	1	0	2	0	0	True	0	0	0	0	0	0	0	valAx:2094734554;valAx:2094734552	bubbleChart:2094734554,2094734552:0	slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:620604223;valAx:612392015	barChart:620604223,612392015:2	slides/chartset-001/pptx/stacked_bar_chart.pptx
ppt/charts/chart1.xml	2	2	2	0	2	True	0	0	0	0	0	0	0	catAx:620604223;valAx:612392015;valAx:2049921631;catAx:2049923279	barChart:620604223,612392015:2|lineChart:2049923279,2049921631:1	slides/chartset-001/pptx/combo_bar_line_chart.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:620604223;valAx:612392015	barChart:620604223,612392015:4	slides/chartset-001/pptx/bar_chart.pptx
ppt/charts/chart11.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	lineChart:2094734554,2094734552,2094734556:2	slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx
ppt/charts/chart19.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	lineChart:2094734554,2094734552,2094734556:2	slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx
ppt/charts/chart3.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	lineChart:2094734554,2094734552,2094734556:2	slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx
ppt/charts/chart10.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	barChart:2094734554,2094734552,2094734556:2	slides/chartset-003/pptx/010_advanced_powerpoint_column.pptx
ppt/charts/chart27.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	lineChart:2094734554,2094734552,2094734556:2	slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx
ppt/charts/chart28.xml	1	1	0	0	0	True	1	5	0	0	0	0	0		pieChart::1	slides/chartset-003/pptx/028_advanced_powerpoint_pie.pptx
ppt/charts/chart9.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	barChart:2094734554,2094734552,2094734556:2	slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx
ppt/charts/chart12.xml	1	1	0	0	0	True	1	5	0	0	0	0	0		pieChart::1	slides/chartset-003/pptx/012_advanced_powerpoint_pie.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:2094734554;valAx:2094734552	barChart:2094734554,2094734552,2094734556:2	slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx
