identity	diff%_before	diff%_after	|ink|%_before	|ink|%_after	pages	major_before	major_after
014_Contextures_chart_sample_991ecfc5__xls	8.64	2.65	1.11	0.50	3	0	0
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	4.50	3.92	0.40	0.31	3	0	0
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls	6.68	6.49	0.14	0.13	5	0	0
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	83.56	73.85	6.88	8.65	24	0	0
TOGAF9-Tool-ConfReqts-CSQ__xls	51.44	51.68	16.76	16.75	28	4	4
Template Pilot Logbook JAR-FCL V3.0__xls	38.33	27.13	4.66	1.72	38	2	1
orbus_togaf_tool_csq__xls	341.30	341.44	51.20	50.90	75	24	24
TOTAL	534.45	507.16	81.15	78.96	176	30	29
