identity	diff%	|ink|%	pages	major	reference draws the pie as
pie-chart-result__docx	3.45	0.54	1	0	a 791x602 raster, 190.0 x 144.6 pt
pie-chart-template__docx	0.21	0.04	1	0	a 791x602 raster, 190.0 x 144.6 pt
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx	10.09	3.47	1	1	a 1370x732 raster, 522.3 x 278.8 pt
