identity	diff%_block	diff%_escape	|ink|%_block	|ink|%_escape	pages
DynamicBubbleChart__xlsx	9.72	15.62	4.55	9.05	5
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	5.96	17.59	1.84	11.10	5
012_Contextures_chart_sample_9900da76__xlsx	2.40	3.04	0.47	0.78	6
013_Contextures_chart_sample_21b98e22__xlsx	2.96	3.55	0.51	0.80	7
