ident	verdict	ours_pages	ref_pages	ours_words	ref_words
003__doc	match	5	5	984	984
02_mcar_part-2_and_IS_v2.10__docx	pages	314	312	80663	80500
03_Technical_Report_(progress)_template__docx	match	10	10	1412	1409
07-04__doc	match	3	3	1069	1069
09__docx	match	2	2	463	463
0c662f5c948a7d81d32ffd833c5cc59421a5f522__docx	match	1	1	393	398
10795__doc	match	4	4	853	857
120509coss__doc	match	25	25	7179	7179
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759__doc	match	12	12	2797	2797
1244277 1 Comment__doc	match	2	2	389	389
1245685 1 Comment__doc	match	1	1	326	326
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080__doc	match	9	9	2120	2124
135__doc	match	14	14	5265	5261
1447__doc	match	4	4	959	959
150-5370-10H__docx	pages	714	727	292773	292647
150_5300_13_chg10__doc	pages,words	80	77	23866	23360
150_5300_13_chg12__doc	pages	32	31	12679	12698
150_5300_13_chg8__doc	pages	21	18	8564	8512
150_5335_5a__doc	match	64	64	19139	19085
1528039320__docx	match	1	1	289	289
1528364855__doc	match	3	3	1072	1072
1603642410-MoM-CASCOM-06-2020-draft04__docx	match	9	9	4469	4469
19-06 Assistive Technology TAB Final - 508__docx	match	8	8	3240	3240
191216_Lesefassung_Nachtflugregelung__docx	match	3	3	907	907
195584360__docx	match	20	20	7843	7841
1_tpr_template__from_fy14___docx	match	8	8	3563	3565
20110608_psp__docx	match	3	3	671	671
2013-op12-Annex III - Curriculum Vitae__doc	match	3	3	332	332
2013_11__doc	match	8	8	2607	2607
2015-April-SWIM_Users_Forum-Q&A__docx	match	5	5	1700	1700
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai__docx	match	3	3	668	668
2024-2nd-quarter-case-summaries__doc	match	10	10	5675	5675
231164_SystemDesignDocument__docx	match	28	28	6603	6562
237287_0486190101_0486190101_geolink2neu__doc	match	8	8	1430	1430
24-25_FAA_Holdover_Tables__docx	pages	154	155	67147	67111
2ca950374241722b8ea7c132dfce63ae__doc	match	3	3	949	949
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie__doc	match	1	1	332	332
316r_a_e__doc	match	14	14	4372	4373
316r_a_f__doc	match	14	14	4581	4584
33004__docx	match	47	47	11980	11963
361400CSLegislation1RF01PUBLIC1__doc	match	35	35	12615	12620
