# side=ours binary=/home/user/wt-odpfoot/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli version=d766db3778c3cac048fb6488d5f44ae503c30616
path	status	rc	pages	words	rawwords	glyphs	fonts	unemb
slides/chartset-005/pptx/068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7.pptx	OK	0	1	10	10	63	3	0
slides/chartset-005/pptx/069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc.pptx	OK	0	1	12	12	68	3	0
slides/chartset-005/pptx/070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642.pptx	OK	0	1	14	14	73	3	0
slides/chartset-005/pptx/071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec.pptx	OK	0	1	16	16	78	3	0
slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	OK	0	3	214	216	1101	4	0
slides/chartset-005/pptx/084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c.pptx	OK	0	3	213	213	1128	5	0
slides/chartset-006/pptx/001_1-2-3_Horizontal_Hierarchy_39795b4d.pptx	OK	0	3	246	248	1247	4	0
slides/chartset-006/pptx/007_3_Circles_Diagram_for_PowerPoint_dac9f170.pptx	OK	0	3	269	269	1378	4	0
slides/chartset-006/pptx/017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5.pptx	OK	0	1	80	80	364	3	0
slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	OK	0	3	358	360	1865	4	0
slides/chartset-006/pptx/043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e.pptx	OK	0	3	124	126	693	5	0
slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	OK	0	4	483	486	2628	4	0
slides/chartset-006/pptx/055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18.pptx	OK	0	3	334	336	1705	4	0
slides/chartset-006/pptx/077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020.pptx	OK	0	3	202	204	961	5	0
slides/chartset-006/pptx/094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb.pptx	OK	0	3	270	272	1405	5	0
slides/chartset-006/pptx/099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33.pptx	OK	0	3	272	274	1395	4	0
slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	OK	0	3	293	293	1462	4	0
slides/chartset-007/pptx/039_Consumer_Decision_Journey_for_PowerPoint_319207e1.pptx	OK	0	1	86	88	554	4	0
slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	OK	0	4	536	539	2720	5	0
slides/chartset-007/pptx/054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962.pptx	OK	0	3	180	182	967	4	0
slides/chartset-007/pptx/057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c.pptx	OK	0	3	148	150	805	4	0
slides/chartset-007/pptx/083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12.pptx	OK	0	3	204	206	1037	5	0
slides/chartset-007/pptx/090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891.pptx	OK	0	3	112	114	625	5	0
slides/chartset-007/pptx/091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6.pptx	OK	0	3	422	424	2073	4	0
slides/chartset-007/pptx/092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00.pptx	OK	0	3	278	280	1293	5	0
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	OK	0	3	192	194	1009	4	0
slides/chartset-008/pptx/009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9.pptx	OK	0	2	136	136	692	5	0
slides/chartset-008/pptx/012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5.pptx	OK	0	3	268	268	1307	5	0
slides/chartset-008/pptx/018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce.pptx	OK	0	3	350	350	1685	5	0
slides/chartset-008/pptx/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	OK	0	3	250	252	1585	4	0
slides/chartset-008/pptx/040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3.pptx	OK	0	3	116	118	633	5	0
slides/chartset-008/pptx/058_Four-Direction_Divergence_Diagram_for_PowerPoint_and_Google_Slides_9838e28d.pptx	OK	0	3	272	274	1423	4	0
slides/chartset-008/pptx/065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419.pptx	OK	0	3	272	274	1401	4	0
slides/chartset-008/pptx/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	OK	0	3	92	94	407	4	0
slides/chartset-008/pptx/078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a.pptx	OK	0	3	208	210	1155	4	0
slides/chartset-008/pptx/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	OK	0	5	422	428	2032	4	0
slides/chartset-009/pptx/015_4-Option_Color_Wheel_Diagram_df7e4b8f.pptx	OK	0	3	281	286	1413	5	0
slides/chartset-009/pptx/020_5-Option_Color_Wheel_Diagram_104ea3b0.pptx	OK	0	3	317	322	1569	5	0
slides/chartset-009/pptx/022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e.pptx	OK	0	3	432	432	2063	5	0
slides/chartset-009/pptx/025_6-Option_Color_Wheel_Diagram_27e1c74d.pptx	OK	0	3	405	410	2021	5	0
slides/chartset-009/pptx/030_Abstract_Petal_Diagram_71aa5e3a.pptx	OK	0	3	267	272	1337	5	0
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	OK	0	3	223	228	1117	5	0
slides/chartset-009/pptx/037_Circle_Matrix_Framework_44bc5218.pptx	OK	0	3	287	292	1455	5	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	OK	0	3	287	292	1421	5	0
slides/chartset-009/pptx/075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021.pptx	OK	0	3	210	212	1029	5	0
slides/chartset-009/pptx/087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912.pptx	OK	0	4	750	750	3855	5	0
slides/chartset-010/pptx/002_10-Point_Dual_Hub_Comparison_4ee242c9.pptx	OK	0	3	89	94	445	5	0
slides/chartset-010/pptx/027_6-Point_Dual_Hub_Comparison_13f9af30.pptx	OK	0	3	89	94	443	5	0
slides/chartset-010/pptx/028_8-Point_Dual_Hub_Comparison_d6c5dde5.pptx	OK	0	3	89	94	443	5	0
slides/chartset-010/pptx/041_Crosswise_Quadrant_Diagram_ea8bdf52.pptx	OK	0	3	255	260	1301	5	0
slides/chartset-010/pptx/042_Diamond_Hub_Infographic_a60cfaa1.pptx	OK	0	3	283	288	1403	5	0
slides/chartset-010/pptx/045_Dual-Segment_Quadrant_14a57221.pptx	OK	0	3	293	298	1483	5	0
slides/chartset-010/pptx/048_Five-Arrows_Converging_Cycle_bb192e27.pptx	OK	0	3	311	316	1589	5	0
slides/chartset-010/pptx/063_Four-Step_Infinity_Loop_3480185b.pptx	OK	0	3	127	132	573	5	0
slides/chartset-010/pptx/093_Insightful_Zoom_Chart_22b5464e.pptx	OK	0	3	355	360	1831	5	0
slides/chartset-010/pptx/095_Interwoven_Bars_e5aa46c2.pptx	OK	0	3	285	290	1409	5	0
slides/chartset-011/pptx/010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0.pptx	OK	0	3	144	146	715	5	0
slides/chartset-011/pptx/026_6-Part_Hexagon_Radial_Diagram_b8ca3f40.pptx	OK	0	3	217	222	987	5	0
slides/chartset-011/pptx/034_Central_Idea_Hub_Diagram_8258e6ad.pptx	OK	0	3	169	174	747	5	0
slides/chartset-011/pptx/046_Eight-Point_Strategic_Compass_35ee62de.pptx	OK	0	3	195	200	877	5	0
slides/chartset-011/pptx/051_Five-Stage_Zigzag_Timeline_2bd39be9.pptx	OK	0	3	161	166	781	5	0
slides/chartset-011/pptx/053_Flow_Wave_Process_9c0082f4.pptx	OK	0	3	211	216	889	5	0
slides/chartset-011/pptx/060_Four-Part_Radial_Core_Diagram_40d6614e.pptx	OK	0	3	291	296	1349	5	0
slides/chartset-011/pptx/062_Four-Step_Growth_Staircase_8a3ef338.pptx	OK	0	3	199	204	979	5	0
slides/chartset-011/pptx/097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592.pptx	OK	0	3	238	240	1237	5	0
slides/chartset-011/pptx/098_Leaning_Cards_Process_dadb3738.pptx	OK	0	3	211	216	967	5	0
slides/chartset-012/pptx/003_2-Circle_Venn_Diagram_7ab74e5c.pptx	OK	0	3	147	152	769	5	0
slides/chartset-012/pptx/008_3-Circle_Venn_Diagram_024a12c5.pptx	OK	0	3	217	222	1097	5	0
slides/chartset-012/pptx/013_3-Step_Segmented_Cycle_Process_5232f82d.pptx	OK	0	3	219	224	1113	5	0
slides/chartset-012/pptx/061_Four-Stage_Serpentine_Chart_05699efe.pptx	OK	0	3	71	76	397	5	0
slides/chartset-012/pptx/064_Four-Step_Success_Cycle_30c0a917.pptx	OK	0	3	151	156	701	5	0
slides/chartset-012/pptx/067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647.pptx	OK	0	4	464	488	2392	4	0
slides/chartset-012/pptx/073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b.pptx	OK	0	3	270	272	1383	4	0
slides/chartset-012/pptx/074_Hashtag_Matrix_246eb8d9.pptx	OK	0	3	245	250	1271	5	0
slides/chartset-012/pptx/080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f.pptx	OK	0	3	275	275	1406	4	0
slides/chartset-012/pptx/089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2.pptx	OK	0	3	282	284	1453	5	0
slides/chartset-013/pptx/014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e.pptx	OK	0	3	430	432	2249	5	0
slides/chartset-013/pptx/016_4-Position_Org_Chart_1d3640b6.pptx	OK	0	3	132	134	745	4	0
slides/chartset-013/pptx/023_5-Step_Progress_Cards_91d5ff57.pptx	OK	0	3	241	246	1155	5	0
slides/chartset-013/pptx/032_BCG_Growth-Share_Matrix_560d0485.pptx	OK	0	3	277	290	1153	5	0
slides/chartset-013/pptx/049_Five-Block_Hub_Spoke_42ee8593.pptx	OK	0	3	265	272	1333	5	0
slides/chartset-013/pptx/050_Five-Point_Radial_Hub_00793e08.pptx	OK	0	3	165	170	755	5	0
slides/chartset-013/pptx/056_Four-Block_Hub_Spoke_134b89d1.pptx	OK	0	3	219	226	1107	5	0
slides/chartset-013/pptx/066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec.pptx	OK	0	5	580	610	2975	4	0
slides/chartset-013/pptx/079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63.pptx	OK	0	3	142	144	745	4	0
