# corpus=/home/user/corpus-odf  XML census only, nothing rendered.
# defaults: header/footer/date-time visible, page-number NOT (HeaderFooterSettings())
path	status	pages	running_alnum	on_footer	on_date	on_pagenum	on_header	stated	defaulted
slides/ceiling-001/odp/7-Zulkefli_Part147n66_IKMAS.odp	OK	18	12	1	0	0	0	54	0
slides/ceiling-001/odp/Fundamentals_Module_1_basics.odp	OK	27	0	0	0	0	0	0	0
slides/ceiling-001/odp/N2_E_Maestroni_Swarm_COP.odp	OK	30	0	0	0	0	0	0	0
slides/ceiling-001/odp/OnTrac_StarCertificationProgram-3Day.odp	OK	15	0	0	0	0	0	45	0
slides/ceiling-001/odp/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.odp	OK	27	0	0	0	0	0	81	0
slides/ceiling-001/odp/Sylva%20introduction%20session.odp	OK	16	0	0	0	0	0	42	0
slides/ceiling-001/odp/Thailand17.odp	OK	54	0	0	0	0	0	162	0
slides/ceiling-001/odp/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.odp	OK	20	0	20	20	0	0	60	0
slides/ceiling-001/odp/architecture6.odp	OK	31	0	0	0	0	0	93	0
slides/ceiling-001/odp/solog_orientation_august_2019.odp	OK	15	0	0	0	0	0	3	0
slides/ceiling-002/odp/16 - UTM - (NASA).odp	OK	37	0	0	0	0	0	4	0
slides/ceiling-002/odp/8_P-Pavese_AIRBUS-ATB-journee-CRATB.odp	OK	26	2	0	0	1	0	78	0
slides/ceiling-002/odp/Demick_JetBlue.odp	OK	10	0	0	0	0	0	30	0
slides/ceiling-002/odp/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.odp	OK	51	0	0	0	0	0	0	0
slides/ceiling-002/odp/pres_ioc_phuket.odp	OK	26	0	26	26	0	0	78	0
slides/chart-001/odp/southern-classic-kennesaw-state-university-final.odp	OK	23	0	0	0	0	0	69	0
slides/chartset-001/odp/008_advanced_powerpoint_bubble.odp	OK	1	0	0	0	0	0	0	0
slides/chartset-001/odp/015_advanced_powerpoint_scatter.odp	OK	1	0	0	0	0	0	0	0
slides/chartset-001/odp/016_advanced_powerpoint_bubble.odp	OK	1	0	0	0	0	0	0	0
