# ours=dotnet/probes/odp-running-r71/ours-before.tsv ref=dotnet/probes/odp-master-r70/ref.tsv
path	pages	glyphs	verdict
slides/done-013/odp/ws_prod-g-doc-Events-2008-February-5-NATO-activities.odp	13/13	2163/2163	match
slides/done-014/odp/Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6.odp	26/26	10012/10159	match
slides/done-014/odp/Presentation - Identify Components of the Airport (1).odp	12/12	2974/2992	match
slides/done-014/odp/Reporting_responsibilities_matrix.odp	268/268	309292/308444	match
slides/done-014/odp/Snowbirds_High_Show.odp	41/41	8047/8049	match
slides/done-014/odp/Technical_Report_Elements[1].odp	39/39	7539/7679	match
slides/done-014/odp/redac-nasops-201503-RIRP-portfolio-update.odp	46/46	15636/15418	match
slides/done-014/odp/redac-sas-201509-asisp-research.odp	45/45	18489/19095	words
slides/done-014/odp/schematicplay.odp	21/21	11142/11490	words
slides/done-014/odp/servicedesk-plus-overviewfinal.odp	66/66	11471/11471	match
slides/done-014/odp/vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment.odp	33/33	8113/8377	words,unembedded
slides/done-015/odp/1200-Assigning-Club-officers.odp	16/16	956/960	match
slides/done-015/odp/Architecture.odp	29/29	4696/4696	match
slides/done-015/odp/RPA P4 - Advanced Material.odp	20/20	8664/8744	match
slides/done-015/odp/Wildlife for REDAC September 11.odp	41/41	9499/9160	words
slides/extra-001/odp/FAAAIandtheArtandScienceofV&Vfinal.odp	30/30	5793/5868	match
slides/metrics-001/odp/Ramp Up Campaign - French.odp	6/6	2414/2536	words
slides/missing-001/odp/NWD-GLA-Community-Outreach-Day-Oct-2025.odp	13/13	3231/3957	words
