document	before_pages	before_glyphs	after_pages	after_glyphs	ref_pages	ref_glyphs
003_advanced_excel_pie__ods	3	430	3	487	3	479
011_advanced_excel_pie__ods	3	411	3	463	3	457
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__ods	10	4721	10	4767	10	4808
019_advanced_excel_pie__ods	3	425	3	481	3	476
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d__ods	5	3665	5	3675	5	3695
027_advanced_excel_pie__ods	3	404	3	461	3	451
171128IPAP__odp	40	25438	40	25521	40	25432
microsoft_learn_multi_chart_examples__ods	5	794	5	803	5	798
