identity	sum|ink|%	pages	major	when
048_Expense_trends_budget_18d1e8ba__xlsx	0.24	14	0	axis-arm-off
048_Expense_trends_budget_18d1e8ba__xlsx	0.23	14	0	axis-arm-on
