doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	160	165	0.750	0.750	1.000
001_advanced_powerpoint_bar__pptx.pdf	37	46	0.998	0.992	1.006
001_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
002_advanced_excel_line__xlsx.pdf	1352	1360	0.987	0.984	1.003
002_advanced_powerpoint_column__pptx.pdf	37	46	0.998	0.992	1.006
002_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
003_2-Circle_Venn_Diagram_7ab74e5c__pptx.pdf	16	18	0.992	0.970	1.023
003_advanced_powerpoint_line__pptx.pdf	53	62	1.301	1.255	1.036
003_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
004_Contextures_chart_sample_de7c0671__xlsx.pdf	62	75	0.976	0.957	1.020
004_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
00514292__xlsx.pdf	77	91	0.750	0.719	1.044
005_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
006_advanced_excel_scatter__xlsx.pdf	482	490	0.971	0.966	1.005
006_advanced_powerpoint_area__pptx.pdf	37	46	0.998	0.992	1.006
006_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
007_advanced_excel_bubble__xlsx.pdf	40	48	0.737	0.736	1.002
007_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
008_3-Circle_Venn_Diagram_024a12c5__pptx.pdf	20	22	3.005	2.804	1.072
008_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
009_Contextures_chart_sample_adcb3f6c__xlsx.pdf	44	55	0.739	0.726	1.018
009_advanced_powerpoint_bar__pptx.pdf	37	46	0.998	0.992	1.006
009_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
010_advanced_excel_line__xlsx.pdf	1354	1362	0.987	0.984	1.003
010_advanced_powerpoint_column__pptx.pdf	37	46	0.998	0.992	1.006
010_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
011_Contextures_chart_sample_599b4392__xls.pdf	30	37	0.950	0.987	0.962
011_advanced_powerpoint_line__pptx.pdf	53	62	1.301	1.255	1.036
011_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5__pptx.pdf	150	150	2.239	2.239	1.000
012_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
013_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
