render	band	x0	y0	x1	y1	width	height	colour	op
ours	banner	-18.00	436.63	720.00	540.00	738.00	103.37	#00007E	f
ours	footer-strip	0.00	-27.84	732.00	90.00	732.00	117.84	#00007E	f
ref1	banner	-18.03	436.65	719.97	540.03	738.00	103.38	#00007E	f*
ref1	footer-strip	-0.03	-27.81	731.96	90.03	731.99	117.84	#00007E	f*
ref2	banner	-18.03	436.65	719.97	540.03	738.00	103.38	#00007E	f*
ref2	footer-strip	-0.03	-27.81	731.96	90.03	731.99	117.84	#00007E	f*
ref	banner	-18.03	436.65	719.97	540.03	738.00	103.38	#00007E	f*
ref	footer-strip	-0.03	-27.81	731.96	90.03	731.99	117.84	#00007E	f*
