doc	slide	progId	frame_pt	imgW_pt	imgH_pt	ratio_w	ratio_h
OnTrac_StarCertificationProgram-3Day.pptx	slide10.xml	Excel.Sheet.8	576.0x428.9	483.0	406.0	1.1925	1.0563
OnTrac_StarCertificationProgram-3Day.pptx	slide9.xml	Excel.Sheet.8	564.0x443.2	537.0	422.0	1.0503	1.0503
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	slide41.xml	Equation.DSMT4	407.8x52.5	0.0	0.0	-	-
DOE Interactive Exercise Presentation draft rev 2.pptx	slide2.xml	WPDraw30.Drawing	360.0x362.3	225.0	226.5	1.5998	1.5997
DOE Interactive Exercise Presentation draft rev 2.pptx	slide3.xml	Photohse.Document	277.2x153.2	107.0	80.6	2.5899	1.9000
DOE Interactive Exercise Presentation draft rev 2.pptx	slide4.xml	Photohse.Document	259.7x143.6	107.0	80.6	2.4267	1.7806
DOE Interactive Exercise Presentation draft rev 2.pptx	slide8.xml	Photohse.Document	158.0x106.6	107.0	80.6	1.4761	1.3218
NAS-Infrastructure-Roadmaps-Weather.pptx	slide11.xml	Excel.Sheet.12	888.0x251.4	888.0	251.4	1.0000	0.9998
NAS-Infrastructure-Roadmaps-HSI.pptx	slide9.xml	Excel.Sheet.12	888.0x119.4	888.0	119.4	1.0000	0.9998
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	slide10.xml	TCLayout.ActiveDocument.1	0.1x0.1	0.0	0.0	4.4111	4.4111
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide4.xml	Excel.Sheet.12	311.5x314.0	311.5	314.0	1.0000	1.0000
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide4.xml	Excel.Sheet.12	311.5x314.0	311.5	314.0	1.0000	1.0000
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide4.xml	Excel.Sheet.12	311.5x314.0	311.5	314.0	1.0000	1.0000
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide4.xml	Excel.Sheet.12	311.5x314.0	311.5	314.0	1.0000	1.0000
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide5.xml	Excel.Sheet.12	311.4x313.9	311.5	314.0	0.9998	0.9997
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide5.xml	Excel.Sheet.12	311.4x313.9	311.5	314.0	0.9998	0.9997
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide5.xml	Excel.Sheet.12	311.4x313.9	311.5	314.0	0.9998	0.9997
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide5.xml	Excel.Sheet.12	311.4x313.9	311.5	314.0	0.9998	0.9997
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide16.xml	Excel.Sheet.12	649.4x456.9	660.0	464.5	0.9840	0.9837
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide24.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide25.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide30.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide37.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide38.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide39.xml	Excel.Sheet.12	649.4x457.2	660.0	464.5	0.9840	0.9842
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide40.xml	Excel.Sheet.12	649.4x457.1	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide48.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide49.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide55.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide62.xml	Excel.Sheet.12	649.4x456.9	660.0	464.5	0.9840	0.9837
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide69.xml	Excel.Sheet.12	649.4x432.4	660.0	464.5	0.9840	0.9309
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide76.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide77.xml	Excel.Sheet.12	649.4x457.2	660.0	464.5	0.9840	0.9842
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide83.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide90.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide96.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9838
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide103.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide104.xml	Excel.Sheet.12	649.4x457.3	660.0	464.5	0.9840	0.9845
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide113.xml	Excel.Sheet.12	649.4x457.0	660.0	464.5	0.9840	0.9840
NAS-Infrastructure-Roadmaps-v16.0.pptx	slide114.xml	Excel.Sheet.12	649.4x457.2	660.0	464.5	0.9840	0.9842
Structural Testing.pptx	slide12.xml	Visio.Drawing.11	408.0x391.2	434.5	416.7	0.9390	0.9388
RPA P4 - Advanced Material.pptx	slide3.xml	Excel.Sheet.8	641.7x300.6	1016.4	475.8	0.6314	0.6319
RPA P4 - Advanced Material.pptx	slide12.xml	Excel.Sheet.8	638.8x284.4	673.8	300.0	0.9481	0.9481
Wildlife for REDAC September 11.pptx	slide5.xml	Visio.Drawing.11	579.4x368.9	756.5	485.5	0.7659	0.7598
Wildlife for REDAC September 11.pptx	slide5.xml	Visio.Drawing.11	174.0x128.2	929.3	676.2	0.1872	0.1896
# zip presentations scanned : 251
# presentations of any kind : 302
# corpus documents          : 947
# p:graphicFrame seen       : 721
# p:oleObj seen             : 45 in 10 documents
