# MSODRAWINGGROUP bytes: 54329 ; MSODRAWING runs: 25
idx	btype	size	refs	foDelay	record	bytes	lone	paired	nblits
1	4	1227	1	0	0xF01A	1169	0	0	0
2	4	34676	1	0	0xF01A	34618	0	0	0
3	4	1200	1	0	0xF01A	1142	0	0	0
4	4	1223	1	0	0xF01A	1165	0	0	0
5	4	1226	1	0	0xF01A	1168	0	0	0
6	4	1229	1	0	0xF01A	1171	0	0	0
7	0	0	0	0	-	-	-	-	-
8	4	8131	1	0	0xF01A	8073	0	0	0
9	4	1198	1	0	0xF01A	1140	0	0	0
10	4	1224	1	0	0xF01A	1166	0	0	0
11	4	1114	1	0	0xF01A	1056	0	0	0
12	4	1223	1	0	0xF01A	1165	0	0	0

run	spid	shapetype	flags	pib	pictureId	fillBlip
0	5348	75	0xA10	8	1	0
1	5349	202	0xA00	0	0	0
3	5350	202	0xA00	0	0	0
5	2055	201	0xA10	6	1	0
6	2056	201	0xA10	4	1	0
7	2057	201	0xA10	3	1	0
8	1027	202	0xA00	0	0	0
10	1042	201	0xA10	10	1	0
11	1043	201	0xA10	12	1	0
12	1044	201	0xA10	11	1	0
13	1057	202	0xA00	0	0	0
15	1058	202	0xA00	0	0	0
17	1059	202	0xA00	0	0	0
19	3076	201	0xA10	5	1	0
20	3077	201	0xA10	1	1	0
21	3078	201	0xA10	9	1	0
22	4109	202	0xA00	0	0	0
24	4110	75	0xA00	2	0	0
