path	part	axis	crosses	crossesAt	tickLblPos	deleted	min	max	spans_zero
sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	164	0
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	167	0
sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	176	0
sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	122	0
sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	176	0
sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	125	0
sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	170	0
sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	170	0
sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	164	0
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	164	0
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	173	0
sheets/chartset-003/xlsx/008_advanced_excel_radar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	128	0
sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	167	0
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	170	0
sheets/chartset-003/xlsx/024_advanced_excel_radar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	131	0
sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	173	0
sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	173	0
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	82	176	0
sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	22	135	0
sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	xl/charts/chart1.xml	catAx	autoZero		none	0	0	50	0
sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	1	0	50	0
sheets/chartset-006/xlsx/005_Contextures_chart_sample_6e279b08.xlsx	xl/charts/chart2.xml	catAx	autoZero		nextTo	0	195	400	0
sheets/chartset-006/xlsx/005_Contextures_chart_sample_6e279b08.xlsx	xl/charts/chart3.xml	catAx	autoZero		nextTo	0	195	400	0
sheets/chartset-006/xlsx/006_Contextures_chart_sample_afa23b53.xlsx	xl/charts/chart1.xml	dateAx	autoZero		nextTo	0	100	375	0
sheets/chartset-006/xlsx/044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	xl/charts/chart11.xml	dateAx	autoZero		nextTo	0	0	1.878e+04	0
sheets/chartset-006/xlsx/052_Manufacturing_output_chart_88570318.xlsx	xl/charts/chart11.xml	catAx	autoZero		nextTo	0	25	73	0
sheets/chartset-006/xlsx/061_Regional_sales_chart_cb9eb690.xlsx	xl/charts/chart11.xml	catAx	autoZero		nextTo	0	1e+04	2.6e+04	0
sheets/chartset-007/xlsm/003_Contextures_chart_sample_9bda2719.xlsm	xl/charts/chart2.xml	catAx	autoZero		nextTo	0	1215	3982	0
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	xl/charts/chart21.xml	catAx	autoZero		nextTo	0	30	230	0
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	xl/charts/chart12.xml	catAx	autoZero		nextTo	1	0.7362	0.7362	0
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	xl/charts/chart11.xml	catAx	autoZero		nextTo	0	68	142	0
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	xl/charts/chart11.xml	catAx	autoZero		nextTo	1	68	142	0
sheets/chartset-007/xlsx/050_Financial_vision_d44241e1.xlsx	xl/charts/chart11.xml	catAx	autoZero		none	0	350	2500	0
sheets/chartset-007/xlsx/058_Social_media_engagement_data_cfa1cb18.xlsx	xl/charts/chart11.xml	catAx	autoZero		nextTo	0	25	73	0
sheets/chartset-007/xlsx/063_Sales_pipeline_aec57013.xlsx	xl/charts/chart11.xml	catAx	autoZero		nextTo	1	0	308	0
sheets/chartset-008/xlsx/008_Contextures_chart_sample_7ea7a1d7.xlsx	xl/charts/chart1.xml	catAx	autoZero		nextTo	0	13	88	0
