# words track re-swept 2026-09-06 at 559c86998 + this round's change
# ours: Paperless.Cli from /home/user/wt-diagram; reference: /usr/bin/soffice 24.2.7.2 420(Build:2)
# fonts: system fontconfig (Carlito, Caladea, Liberation, DejaVu, WenQuanYi, IPAGothic); PAPERLESS_BUNDLED_FONTS unset
# corpus /home/user/sample-files; scored against /home/user/gate-2f47/parity.tsv
# TOTAL 338  MATCH 313  MISMATCH 25  REF-CANNOT-RENDER 0   (banked: MATCH 312  MISMATCH 26)
# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
words/ceiling-001/doc/150_5300_13_chg8.doc	doc	18/18	8658/8518	8/6	0	match	8712/8579	41766/41329
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	docx	14/15	3835/3733	6/5	0	pages,words	3880/3786	18420/17751
words/ceiling-001/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	docx	2/2	141/135	3/4	0	match	153/147	772/764
words/chartset-001/docx/002_advanced_word_chart_report.docx	docx	1/1	96/96	4/4	0	match	102/102	536/536
words/chartset-001/docx/008_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	534/534
words/chartset-001/docx/014_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	531/531
words/chartset-001/docx/020_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	530/530
words/chartset-001/docx/026_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	533/533
words/chartset-001/docx/032_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	534/534
words/chartset-001/docx/clustered-column-result.docx	docx	1/1	68/68	2/2	0	match	68/68	389/389
words/chartset-001/docx/clustered-column-template.docx	docx	1/1	37/37	2/2	0	match	37/37	200/200
words/chartset-001/docx/pie-chart-result.docx	docx	1/1	40/40	2/2	0	match	40/40	234/234
words/chartset-001/docx/pie-chart-template.docx	docx	1/1	9/9	2/2	0	match	9/9	73/73
words/chartset-002/docx/005_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	529/529
words/chartset-002/docx/006_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	529/529
words/chartset-002/docx/011_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	530/530
words/chartset-002/docx/015_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	532/532
