doc	tagged_pages	untagged_pages	pages_diff	diff_px	max_frac
National-Finalists-2024-1__xlsx.pdf	30	30	0	0	0.000000
National-Reports__xlsx.pdf	6	6	0	0	0.000000
NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1__xls.pdf	8	8	2	1851	0.004537
ODs-February-2022-Airbus-Commercial-Aircraft__xlsx.pdf	175	175	0	0	0.000000
P1636e__xls.pdf	2	2	0	0	0.000000
PA_Delaware__xls.pdf	122	122	0	0	0.000000
PBN Matrix NAAs (V01)__xlsx.pdf	25	25	8	142399	0.083722
PC1000__xls.pdf	13	13	0	0	0.000000
Part_129_Operators__xlsx.pdf	23	23	0	0	0.000000
Part_375_Operators__xlsx.pdf	19	19	0	0	0.000000
Patent Index 2024 - Top 100 applicants 2024__xlsx.pdf	1	1	0	0	0.000000
Performance__xlsx.pdf	13	13	2	1259	0.003482
Praktikastellen_-_chinesischsprachiger_Kulturraum__xls.pdf	34	34	2	653	0.001645
Published_Issuances_2024__xlsx.pdf	1	1	0	0	0.000000
RCO_VOR_Master_List_082824__xlsx.pdf	80	80	5	33759	0.052950
REDAC_SCHEDULE_RPD_135__xls.pdf	1	1	0	0	0.000000
REDAC_SCHEDULE_RPD_137__xls.pdf	2	2	0	0	0.000000
RMP 2011-2014 and Inventory__xls.pdf	38	38	0	0	0.000000
RPA-Budgets-FY-17-19-20__xls.pdf	4	4	0	0	0.000000
RPD 155 REDAC SCHEDULE 2014-04-02__xls.pdf	1	1	0	0	0.000000
RVSM_Non_approved_list_2025_84c0b3f4ac__xlsx.pdf	2	2	0	0	0.000000
RegChangeReport__xlsx.pdf	12	12	0	0	0.000000
SIL_TDB605__xls.pdf	44	44	9	5256	0.005621
SIL_TDB609__xls.pdf	50	50	9	5256	0.005621
SIL_TDB648__xlsx.pdf	90	90	6	11480	0.016524
SLSA_Directory_031423__xlsx.pdf	10	10	0	0	0.000000
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx.pdf	4	4	2	1965	0.005345
STC_WebList__xlsx.pdf	4372	4372	0	0	0.000000
SectorAdvisoryGroupandStrategyBoards__xls.pdf	7	7	0	0	0.000000
Special-Procedures_2025-07-10__xls.pdf	22	22	0	0	0.000000
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx.pdf	18	18	0	0	0.000000
T0A0D0000090006XLSE__xls.pdf	162	162	0	0	0.000000
TDA_Smoke-Detectors__xlsx.pdf	28	28	0	0	0.000000
TICAPCapability_Final__xls.pdf	17	17	0	0	0.000000
TK-Syllabus-Comparison-Document-v2__xlsx.pdf	1235	1235	6	4866	0.004193
TOGAF9-Tool-ConfReqts-CSQ__xls.pdf	28	28	1	251	0.000719
Template Pilot Logbook JAR-FCL V3.0__xls.pdf	38	38	0	0	0.000000
Travel-Cost-Estimate-Calculator__xlsx.pdf	3	3	0	0	0.000000
UAE Type Accepted Aircraft Models__xlsx.pdf	6	6	0	0	0.000000
UASEventsNov2014-Aug2015__xls.pdf	523	523	0	0	0.000000
Upload__hvv_Linie_150_2023__xlsx.pdf	1	1	0	0	0.000000
VOR Candidate Discontinuance List 2026-01-08__xlsx.pdf	7	7	0	0	0.000000
WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm__xlsx.pdf	1	1	0	0	0.000000
WG7_NCWF_Skills_Table__xls.pdf	44	44	0	0	0.000000
ZenithAviation_AuctionList__xls.pdf	33	33	0	0	0.000000
activespecs__xls.pdf	266	266	0	0	0.000000
afn-afn-20250801-fy25-jan25-mar25__xlsx.pdf	270	270	0	0	0.000000
aircraft_analysis-2018-06__xlsx.pdf	42	42	0	0	0.000000
aircraft_analysis_2016-04-27__xls.pdf	46	46	0	0	0.000000
airports_6__xlsx.pdf	17	17	0	0	0.000000
alle einzeln__xlsx.pdf	186	186	1	170	0.000487
ans_mappings_of_eccairs_terms__xlsx.pdf	191	191	55	1119701	0.288222
apron-area__xls.pdf	3	3	0	0	0.000000
arp-sop-300-Exhibit-A-Table-Templates__xlsx.pdf	11	11	0	0	0.000000
atspp_pay_tables__xlsx.pdf	101	101	0	0	0.000000
capa-liste-nse-1__xls.pdf	108	108	0	0	0.000000
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013__xlsx.pdf	343	343	0	0	0.000000
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx.pdf	82	82	2	496	0.001206
commander-authorisation-tasks-spreadsheet-october-2025__xlsx.pdf	23	23	0	0	0.000000
cy01_state__xls.pdf	36	36	0	0	0.000000
cy06_primary_np_comm__xls.pdf	11	11	0	0	0.000000
cy10_primary_enplanements__xls.pdf	12	12	0	0	0.000000
data_20121018181533__xls.pdf	57	57	0	0	0.000000
disclosures_ecm__xls.pdf	1	1	0	0	0.000000
dragon-175066A__xlsx.pdf	13	13	0	0	0.000000
e-pass-contact-details-template__xlsx.pdf	4	4	0	0	0.000000
ecopy of 2016 statistical bulletin_public finance statistics_final__xlsx.pdf	17	17	0	0	0.000000
edb-emissions-databank v27-NewFormat (web)__xlsx.pdf	368	368	5	2539	0.004738
einvoice-summary-worksheet__xlsx.pdf	2	2	0	0	0.000000
environment-edb-docs-edb-emissions-databank__xls.pdf	195	195	9	8191	0.009533
essd-16-3433-2024-t02__xlsx.pdf	4	4	3	45174	0.083752
esurf-12-135-2024-t01__xlsx.pdf	1	1	0	0	0.000000
flightstandards-doc-Cross-reference-table_version02__xlsx.pdf	464	464	3	615	0.000705
flying-log-passenger-23rd-september-2014__xls.pdf	7	7	0	0	0.000000
fm-provider-service-measures__xlsx.pdf	38	38	1	129	0.000383
fse_identification_form__xlsx.pdf	3	3	1	273	0.000637
fy20-may20-sep20__xlsx.pdf	96	96	1	916	0.002721
fy2010-aip-grants__xls.pdf	100	100	0	0	0.000000
fy2011-aip-grants__xls.pdf	93	93	0	0	0.000000
grants-2005__xls.pdf	201	201	45	49447	0.007796
hdss-bulletin-index-2019-2022__xlsx.pdf	24	24	0	0	0.000000
jobs-bulletin-51-22-december-2025__xlsx.pdf	12	12	3	3736	0.007932
june_2025_published__xlsx.pdf	15	15	0	0	0.000000
