doc	page	diff_px	xmin	xmax	width	ink_tagged	ink_untagged
fm-provider-service-measures__xlsx.pdf	27	129	42	50	510	0	107
fse_identification_form__xlsx.pdf	3	273	732	777	840	10562	10562
fy20-may20-sep20__xlsx.pdf	96	916	112	365	510	880	1595
grants-2005__xls.pdf	157	1326	44	421	497	0	1042
grants-2005__xls.pdf	158	31	44	50	497	0	27
grants-2005__xls.pdf	159	168	44	86	497	0	133
grants-2005__xls.pdf	160	69	44	60	497	0	63
grants-2005__xls.pdf	161	1051	44	322	497	0	836
grants-2005__xls.pdf	162	728	44	221	497	0	588
grants-2005__xls.pdf	163	1429	44	421	497	0	1128
grants-2005__xls.pdf	164	1391	44	421	497	0	1101
grants-2005__xls.pdf	165	1400	44	421	497	0	1087
grants-2005__xls.pdf	166	2458	44	421	497	0	1941
grants-2005__xls.pdf	167	1359	44	421	497	0	1082
grants-2005__xls.pdf	168	1312	44	258	497	0	1042
grants-2005__xls.pdf	169	1437	44	421	497	0	1131
grants-2005__xls.pdf	170	2720	44	421	497	0	2158
grants-2005__xls.pdf	171	27	44	49	497	0	24
grants-2005__xls.pdf	172	1405	44	421	497	0	1136
grants-2005__xls.pdf	173	549	46	195	497	0	443
grants-2005__xls.pdf	174	1262	44	367	497	0	992
grants-2005__xls.pdf	175	1458	44	420	497	0	1115
grants-2005__xls.pdf	176	1322	44	421	497	0	1044
grants-2005__xls.pdf	177	1412	44	421	497	0	1132
grants-2005__xls.pdf	178	1483	44	421	497	0	1165
grants-2005__xls.pdf	179	890	44	274	497	0	708
grants-2005__xls.pdf	180	1424	44	421	497	0	1121
grants-2005__xls.pdf	181	1169	44	345	497	0	908
grants-2005__xls.pdf	182	1485	44	421	497	0	1161
grants-2005__xls.pdf	183	151	44	89	497	0	128
grants-2005__xls.pdf	184	429	44	165	497	0	338
grants-2005__xls.pdf	185	181	44	89	497	0	144
grants-2005__xls.pdf	186	1366	44	421	497	0	1058
grants-2005__xls.pdf	187	344	44	129	497	0	272
grants-2005__xls.pdf	188	1461	44	421	497	0	1118
grants-2005__xls.pdf	189	1399	44	421	497	0	1098
grants-2005__xls.pdf	190	183	44	85	497	0	139
grants-2005__xls.pdf	191	1290	44	421	497	0	989
grants-2005__xls.pdf	192	1408	44	421	497	0	1100
grants-2005__xls.pdf	193	1355	44	421	497	0	1061
grants-2005__xls.pdf	194	1328	44	421	497	0	1070
grants-2005__xls.pdf	195	1477	44	421	497	0	1141
grants-2005__xls.pdf	196	1385	44	420	497	0	1081
grants-2005__xls.pdf	197	964	44	321	497	0	737
grants-2005__xls.pdf	198	193	44	89	497	0	145
grants-2005__xls.pdf	199	1385	44	421	497	0	1099
grants-2005__xls.pdf	200	1352	44	421	497	0	1077
grants-2005__xls.pdf	201	1031	44	337	497	0	826
jobs-bulletin-51-22-december-2025__xlsx.pdf	4	2670	62	419	510	14932	17351
jobs-bulletin-51-22-december-2025__xlsx.pdf	7	775	60	208	510	12196	12865
jobs-bulletin-51-22-december-2025__xlsx.pdf	10	291	216	262	510	11774	12012
orbus_togaf_tool_csq__xls.pdf	60	22124	47	420	497	213	17281
orbus_togaf_tool_csq__xls.pdf	61	8683	47	420	497	211	6896
orbus_togaf_tool_csq__xls.pdf	62	10033	47	420	497	211	8007
orbus_togaf_tool_csq__xls.pdf	63	3980	47	420	497	215	3305
orbus_togaf_tool_csq__xls.pdf	64	11561	47	420	497	216	9160
orbus_togaf_tool_csq__xls.pdf	65	1362	47	202	497	215	1256
orbus_togaf_tool_csq__xls.pdf	66	2733	47	420	497	216	2294
orbus_togaf_tool_csq__xls.pdf	67	10019	47	420	497	208	8029
orbus_togaf_tool_csq__xls.pdf	68	4914	47	337	497	218	4036
orbus_togaf_tool_csq__xls.pdf	69	1567	47	229	497	214	1416
orbus_togaf_tool_csq__xls.pdf	70	1660	47	232	497	204	1462
orbus_togaf_tool_csq__xls.pdf	71	2197	47	260	497	202	1879
orbus_togaf_tool_csq__xls.pdf	72	1158	47	225	497	202	1132
orbus_togaf_tool_csq__xls.pdf	73	84	47	70	497	206	274
orbus_togaf_tool_csq__xls.pdf	74	351	47	139	497	207	469
orbus_togaf_tool_csq__xls.pdf	75	2863	47	232	497	206	2411
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	5	94	42	70	497	5400	5473
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	6	96	42	62	497	41	131
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	11	94	42	70	497	5400	5473
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	12	96	42	62	497	41	131
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	17	94	42	70	497	5402	5475
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	18	96	42	62	497	41	131
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	23	94	42	70	497	5400	5473
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	24	96	42	62	497	41	131
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	29	94	42	70	497	5400	5473
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	30	96	42	62	497	41	131
