document	pages_ref	pages_off	pages_on	glyph_ref	glyph_off	glyph_on	ink_off	ink_on	major_off	major_on	turn_ref	turn_off	turn_on
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	3	3	3	2650	2720	2720	12.65	12.36	1	1	12	0	12
sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	10	10	10	7949	7932	7932	3.03	3.03	1	1	8	0	0
sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	46	46	46	27201	27295	27295	10.79	10.79	11	11	0	0	0
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	30	30	30	28278	28178	28695	3.29	2.05	1	0	0	19	19
slides/ceiling-002/pptx/Demick_JetBlue.pptx	10	10	10	3179	3519	3519	5.51	5.51	2	2	0	68	68
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	23	23	23	10946	10979	10979	10.15	10.15	4	4	38	38	38
slides/chartset-008/pptx/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	3	3	3	1449	1585	1585	1.78	1.03	1	1	0	0	10
slides/done-011/pptx/3495.pptx	26	26	26	4375	4375	4375	9.80	9.80	3	3	0	0	0
