fixture           n  height pt   width pt
acc-frac          1     28.462      8.899
acc-tilde         1     13.349      6.804
acc               1     13.349      6.660
bar-bot           1     13.349      6.660
bar-top           1     13.349      6.660
box               1     13.349      6.660
delim-frac        1     31.406     18.252
delim-nest        1     34.495     42.091
delim-sq          1     14.738     12.499
delim             1     14.796     12.816
eqarr-2           1     27.295      6.494
eqarr-3           1     41.184      6.494
frac-lin          1     13.349     18.144
frac-nest-both    1     58.651     11.311
frac-nest-den     1     43.538     11.311
frac-nest-num     1     43.538     11.311
frac-nest3        1     58.651     13.694
frac-nobar        1     27.295      6.494
frac-scripts      1     32.062     12.614
frac-skw          1     28.462      8.899
frac              1     28.462      8.899
func              1     14.515     39.542
groupchr          1     26.784     18.310
leaf-abc          1     13.349     18.115
leaf-beta         1     13.349      7.452
leaf-caps         1     13.349     46.346
leaf-digit        1     13.349      6.091
leaf-paren        1     14.515     17.093
leaf-plus         1     13.349     22.255
leaf-rho          1     13.349      6.998
leaf-two-runs     1     13.349     15.509
leaf-x            1     13.349      6.660
limlow            1     21.348     24.890
limupp            1     21.348      6.660
mat-1x2           1     13.349     23.810
mat-2x2-frac      1     42.804     26.359
mat-2x2           1     27.691     23.897
mat-3x2           1     42.041     25.085
mixed             1     45.641     58.594
nary-frac         1     32.544     25.056
nary-int          1     34.214     44.388
nary-nolim        1     16.553     22.846
nary-sum          1     32.544     25.056
phant             1     13.349    100.008
pre               1     16.841     10.346
rad-deg           1     15.588     14.090
rad-frac          1     30.895     16.358
rad-rad           1     15.559     21.542
rad               1     14.400     14.090
seq-frac-then-x   1     28.462     16.754
seq-x-then-frac   1     28.462     16.754
sub-deep          1     16.157     13.406
sub-of-frac       1     29.851     12.499
sub-tall-script   1     24.206     11.959
sub               1     15.134     10.260
subsup            1     16.841     10.346
sup-deep          1     16.099     13.493
sup-tall-base     1     30.161     12.614
sup               1     15.055     10.346
sz20-frac         1     28.462      8.899
sz20-sub          1     15.134     10.260
sz20              1     13.349      6.660
sz8               1     13.349      6.660
