fixture           model    26.2     Δ pt
rad-rad             562     549    0.369
rad-frac           1100    1090    0.283
mat-3x2            1489    1483    0.170
sup-deep            573     568    0.142
rad                 513     508    0.142
delim               517     522   -0.142
sub-tall-script     850     854   -0.113
mat-2x2-frac       1514    1510    0.113
frac-scripts       1127    1131   -0.113
frac-nest3         2073    2069    0.113
frac-nest-both     2073    2069    0.113
rad-deg             553     550    0.085
mat-2x2             980     977    0.085
frac-nest-num      1539    1536    0.085
frac-nest-den      1539    1536    0.085
delim-sq            517     520   -0.085
delim-frac         1105    1108   -0.085
sz20-sub            532     534   -0.057
sup-tall-base      1066    1064    0.057
sub-of-frac        1051    1053   -0.057
sub                 532     534   -0.057
eqarr-3            1455    1453    0.057
delim-nest         1215    1217   -0.057
sz20-frac          1005    1004    0.028
sup                 532     531    0.028
subsup              593     594   -0.028
sub-deep            569     570   -0.028
seq-x-then-frac    1005    1004    0.028
seq-frac-then-x    1005    1004    0.028
pre                 593     594   -0.028
frac-skw           1005    1004    0.028
frac               1005    1004    0.028
acc-frac           1005    1004    0.028
sz8                 471     471    0.000
sz20                471     471    0.000
phant               471     471    0.000
mat-1x2             471     471    0.000
leaf-x              471     471    0.000
leaf-two-runs       471     471    0.000
leaf-rho            471     471    0.000
leaf-plus           471     471    0.000
leaf-digit          471     471    0.000
leaf-caps           471     471    0.000
leaf-beta           471     471    0.000
leaf-abc            471     471    0.000
frac-nobar          963     963    0.000
frac-lin            471     471    0.000
eqarr-2             963     963    0.000
box                 471     471    0.000
bar-top             471     471    0.000
bar-bot             471     471    0.000
acc-tilde           471     471    0.000
acc                 471     471    0.000

53 scored, worst |Δ| = 0.369 pt, within 0.25 pt: 51
