doc	pages	ink_signed	ink_abs	residual	residual_per_page	ceiling_pages	major	major_on_ceiling
032_BCG_Growth-Share_Matrix_560d0485__pptx	3	1.39	1.42	1.42	0.473	0	1	0
redac-fullComm-201705-EE-FRs-briefing__pptx	8	1.12	1.41	1.41	0.176	0	0	0
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt	13	0.55	1.39	1.39	0.107	0	2	0
Liturgical-Commission-2025-Convention-Presentation__pptx	9	1.02	1.38	1.38	0.153	0	1	0
047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6__pptx	4	0.34	1.36	1.36	0.340	0	2	0
scatter_chart__pptx	1	1.25	1.34	1.34	1.340	0	1	0
038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6__pptx	3	0.61	1.33	1.33	0.443	0	2	0
072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0__pptx	3	1.23	1.33	1.33	0.443	0	0	0
hofman__ppt	13	1.05	1.33	1.33	0.102	0	0	0
079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63__pptx	3	1.06	1.32	1.32	0.440	0	0	0
026_6-Part_Hexagon_Radial_Diagram_b8ca3f40__pptx	3	0.02	1.22	1.22	0.407	0	2	0
Presentation - Identify Components of the Airport (1)__pptx	12	0.80	1.20	1.20	0.100	0	0	0
Curriculum-Schematic-E22-11052025__pptx	12	0.11	1.19	1.19	0.099	0	8	0
027_6-Point_Dual_Hub_Comparison_13f9af30__pptx	3	0.12	1.09	1.09	0.363	0	2	0
028_8-Point_Dual_Hub_Comparison_d6c5dde5__pptx	3	0.14	1.09	1.09	0.363	0	0	0
Stakeholders-v08052017 - v5__pptx	13	0.59	1.08	1.08	0.083	0	0	0
NWD-GLA-Community-Outreach-Day-Oct-2025__pptx	13	0.76	1.06	1.06	0.082	0	1	0
manufacturing_process_simulation_working_group_overview_2023__pptx	7	0.76	1.06	1.06	0.151	0	0	0
[Christophe]NLP_reseau_inge_stat__pptx	17	0.90	1.05	1.05	0.062	0	2	0
BasicMed_AME_Presentation__pptx	18	0.79	1.04	1.04	0.058	0	0	0
item_3-environmental_process_briefing__pptx	12	0.97	1.01	1.01	0.084	0	0	0
Session 21- The option to expand & abandon__pptx	12	0.91	1.00	1.00	0.083	0	0	0
060_Four-Part_Radial_Core_Diagram_40d6614e__pptx	3	0.10	0.98	0.98	0.327	0	2	0
c_291533__pptx	19	0.68	0.98	0.98	0.052	0	0	0
wopanets-innovationdays-06-16__pptx	15	0.70	0.98	0.98	0.065	0	0	0
ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016__pptx	19	0.67	0.97	0.97	0.051	0	0	0
033_Battery_Percentage_Chart_c99c24b5__pptx	3	0.88	0.96	0.96	0.320	0	2	0
048_Five-Arrows_Converging_Cycle_bb192e27__pptx	3	0.01	0.96	0.96	0.320	0	0	0
111006 COMSTAC STOWG Aero spaceports IFG__pptx	8	0.90	0.96	0.96	0.120	0	1	0
Airport Planning 09112013__ppt	9	0.86	0.96	0.96	0.107	0	0	0
John_Broggio__RSS_Campion_event_John_Broggio__pptx	25	0.76	0.93	0.93	0.037	0	0	0
073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b__pptx	3	0.41	0.88	0.88	0.293	0	0	0
001_1-2-3_Horizontal_Hierarchy_39795b4d__pptx	3	0.02	0.87	0.87	0.290	0	1	0
043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e__pptx	3	0.12	0.79	0.79	0.263	0	1	0
049_Five-Block_Hub_Spoke_42ee8593__pptx	3	0.37	0.78	0.78	0.260	0	0	0
stacked_bar_chart__pptx	1	0.41	0.78	0.78	0.780	0	0	0
056_Four-Block_Hub_Spoke_134b89d1__pptx	3	0.30	0.77	0.77	0.257	0	0	0
vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c__pptx	19	0.46	0.71	0.71	0.037	0	0	0
vvsummit2022-SAIC-PRESENTATION__pptx	19	0.46	0.71	0.71	0.037	0	0	0
085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f__pptx	3	0.12	0.69	0.69	0.230	0	2	0
002_10-Point_Dual_Hub_Comparison_4ee242c9__pptx	3	0.11	0.67	0.67	0.223	0	1	0
005_2-Step_Funnel_On_left_With_Text_767f0490__pptx	1	0.42	0.65	0.65	0.650	0	1	0
017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5__pptx	1	0.37	0.65	0.65	0.650	0	1	0
068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7__pptx	1	0.43	0.65	0.65	0.650	0	1	0
004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80__pptx	1	0.38	0.63	0.63	0.630	0	1	0
011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd__pptx	1	0.38	0.63	0.63	0.630	0	1	0
030_Abstract_Petal_Diagram_71aa5e3a__pptx	3	0.01	0.63	0.63	0.210	0	0	0
058_Four-Direction_Divergence_Diagram_for_PowerPoint_and_Google_Slides_9838e28d__pptx	3	0.44	0.63	0.63	0.210	0	0	0
23-session-2-pptx__pptx	16	0.38	0.61	0.61	0.038	0	1	0
090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891__pptx	3	0.10	0.59	0.59	0.197	0	2	0
iris07.12.12__pptx	21	0.26	0.59	0.59	0.028	0	1	0
091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6__pptx	3	0.09	0.57	0.57	0.190	0	2	0
WC_Update-Aug03__ppt	11	0.40	0.57	0.57	0.052	0	0	0
023_5-Step_Progress_Cards_91d5ff57__pptx	3	0.27	0.56	0.56	0.187	0	0	0
010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0__pptx	3	0.53	0.55	0.55	0.183	0	2	0
