doc	page	face	size	kind	branch	drawn_off	drawn_w	want_off	want_w	verdict
067_Basic_invoice_Use_this_template_1d35c3e9__xlsx.pdf	0	LiberationSans	7.6990	single	descent	0.8930	0.3970	0.9071	0.3969	MISS
067_Basic_invoice_Use_this_template_1d35c3e9__xlsx.pdf	0	LiberationSans	7.6990	single	descent	0.8930	0.3970	0.9071	0.3969	MISS
135__doc.pdf	8	LiberationSerif	12.0000	single	descent	1.3000	0.6000	1.4000	0.7000	MISS
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX__doc.pdf	0	Carlito-Regular	11.9248	single	harfbuzz	1.3000	1.2000	1.2000	1.2000	MISS
Company_Seniority_Date_Calculator__xlsx.pdf	0	Carlito-Regular	6.0040	single	harfbuzz	0.6970	0.5950	0.7087	0.5953	MISS
DRX-Ascend System Course Description__docx.pdf	1	FreeSerif	10.0000	single	harfbuzz	1.1000	0.5000	1.0000	0.5000	MISS
DRX-Ascend System Course Description__docx.pdf	1	FreeSerif	10.0000	single	harfbuzz	1.1000	0.5000	1.0000	0.5000	MISS
DRX-Ascend System Course Description__docx.pdf	1	FreeSerif	10.0000	single	harfbuzz	1.1000	0.5000	1.0000	0.5000	MISS
MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

MuPDF error: unsupported error: cannot create appearance stream for Screen annotations

HC-Bulletin-template__docx.pdf	2	LiberationSans	10.0000	single	descent	2.2500	0.2500	1.1000	0.5000	MISS
HC-Bulletin-template__docx.pdf	2	LiberationSans	10.0000	single	descent	2.2500	0.2500	1.1000	0.5000	MISS
HC-Bulletin-template__docx.pdf	2	LiberationSans	10.0000	single	descent	2.2500	0.2500	1.1000	0.5000	MISS
License App Instructions 2-22__docx.pdf	1	LiberationSerif-Bold	12.0000	single	descent	1.4000	1.3000	1.4000	0.7000	MISS
License App Instructions 2-22__docx.pdf	1	LiberationSerif	12.0000	single	descent	1.4000	1.3000	1.4000	0.7000	MISS
License App Instructions 2-22__docx.pdf	1	LiberationSerif-Bold	12.0000	single	descent	1.4000	1.3000	1.4000	0.7000	MISS
License App Instructions 2-22__docx.pdf	1	LiberationSerif	12.0000	single	descent	1.4000	1.3000	1.4000	0.7000	MISS
OM template for non-complex NCC operators_August 2016__docx.pdf	64	LiberationSans-Bold	17.0000	single	descent	1.9000	1.8000	1.9000	0.9000	MISS
OM template for non-complex NCC operators_August 2016__docx.pdf	64	LiberationSans-Bold	17.0748	single	descent	1.9000	1.8000	1.9000	0.9000	MISS
RobertQ_Service__doc.pdf	0	LiberationSerif-Bold	16.0000	single	descent	1.2000	0.6000	1.8000	0.9000	MISS
RobertQ_Service__doc.pdf	0	LiberationSerif-Bold	16.0000	single	descent	3.0000	0.6000	1.8000	0.9000	MISS
RobertQ_Service__doc.pdf	0	LiberationSerif	14.0000	single	descent	1.1000	0.5000	1.6000	0.8000	MISS
RobertQ_Service__doc.pdf	0	LiberationSerif	14.0000	single	descent	2.6000	0.5000	1.6000	0.8000	MISS
RobertQ_Service__doc.pdf	3	LiberationSerif-Bold	16.0000	single	descent	1.2000	0.6000	1.8000	0.9000	MISS
RobertQ_Service__doc.pdf	3	LiberationSerif-Bold	16.0000	single	descent	3.0000	0.6000	1.8000	0.9000	MISS
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx.pdf	5	DejaVuSans	10.0000	single	harfbuzz	1.1000	0.5000	0.4000	0.5000	MISS
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx.pdf	7	DejaVuSans	10.0000	single	harfbuzz	1.1000	0.5000	0.4000	0.5000	MISS
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx.pdf	14	LiberationSans	11.0000	single	descent	0.5000	0.5000	1.2000	0.6000	MISS
UG.CAO.00133 Foreign Part 145 approvals - Language__docx.pdf	5	DejaVuSans	10.0000	single	harfbuzz	1.1000	0.5000	0.4000	0.5000	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	1.2190	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	2.8070	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	1.2200	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	2.8060	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	1.2190	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	2.8070	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	1.2190	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	2.8070	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	1.2200	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	2.8060	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	1.2200	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	2.8060	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	1.2190	0.9920	2.0126	0.9921	MISS
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt.pdf	2	LiberationSans-Bold	18.0000	single	descent	2.8070	0.9920	2.0126	0.9921	MISS
