path	total_sprm	kul3_double	breakdown
words/done-001/doc/FAA-2013-0422-0009_attachment_1.doc	0	0	
words/done-001/doc/GLACIERBG.ETT.doc	4	0	single=4
words/done-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	2	0	single=2
words/done-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	1	0	single=1
words/done-001/doc/foca_form_1.doc	0	0	
words/done-002/doc/FMRBullletinB-28.doc	10	0	none=1 single=9
words/done-002/doc/Bull01-06-Reserve Training Standards.doc	0	0	
words/done-002/doc/prison-population-bulletin-june.doc	0	0	
words/done-003/doc/10795.doc	9	0	single=9
words/done-003/doc/Temp16.doc	0	0	
words/done-003/doc/II.1.2_Hypoxia.doc	7	0	none=3 single=3 115=1
words/done-003/doc/96-3-clement-data.doc	0	0	
words/done-003/doc/DEP2008-1900.doc	5	0	none=1 single=4
words/done-004/doc/07-04.doc	4	0	single=4
words/done-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	1	0	single=1
words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	10	0	single=10
words/done-004/doc/RobertQ_Service.doc	46	2	none=36 single=8 DOUBLE=2
words/done-005/doc/316r_a_f.doc	4	0	single=4
words/done-005/doc/316r_a_e.doc	5	0	none=1 single=4
words/done-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	1	0	146=1
words/done-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	0	0	
words/done-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	3	0	single=2 124=1
words/done-006/doc/003.doc	3	0	single=2 26=1
words/done-006/doc/P200904290238_0238_51880.doc	1	0	single=1
words/done-006/doc/1244277 1 Comment.doc	2	0	single=1 165=1
words/done-006/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	10	0	single=10
words/done-007/doc/RNW167A-150428.doc	1	0	single=1
words/done-007/doc/congregationalhistories_ky_2023.doc	3	0	107=1 248=2
words/done-007/doc/chapter 12.doc	1	0	92=1
words/done-008/doc/2024-2nd-quarter-case-summaries.doc	3	0	single=3
words/done-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	4	0	single=3 32=1
words/done-008/doc/1245685 1 Comment.doc	1	0	165=1
words/done-008/doc/FlightLaws.doc	5	0	single=5
words/done-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	2	0	69=1 134=1
words/done-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	6	0	single=6
words/done-009/doc/A380MaenPressRel.doc	1	0	none=1
words/done-009/doc/237287_0486190101_0486190101_geolink2neu.doc	2	0	single=2
words/done-009/doc/CP-ETSO template_v2020.DOC	1	0	single=1
words/done-010/doc/361400CSLegislation1RF01PUBLIC1.doc	19	0	single=19
words/done-010/doc/f111.doc	26	0	single=26
words/done-010/doc/1528364855.doc	3	0	single=2 255=1
words/done-011/doc/135.doc	11	0	single=11
words/done-011/doc/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	5	0	single=5
words/done-012/doc/AirbusCallouts.doc	19	0	single=19
words/done-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	3	0	single=2 147=1
words/done-013/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	7	0	word=2 36=1 49=1 83=1 244=1 247=1
words/done-013/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	5	0	word=1 69=1 75=1 139=1 185=1
words/done-013/doc/omrIMInterpretiveGuideLine.doc	4	0	109=1 127=1 236=1 252=1
words/done-013/doc/Reid.doc	5	0	none=1 single=4
words/done-014/doc/644730BRI0mna000BOX361539B00public0.doc	14	0	none=1 single=10 35=1 163=1 176=1
words/done-014/doc/PK_FlugzeugeStricken.doc	9	0	none=2 single=7
words/done-014/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	12	0	single=3 19=1 33=1 39=1 40=1 88=1 121=1 134=1 204=1 254=1
words/done-015/doc/SFSP_2013-02_Bulletin.doc	16	0	none=1 single=11 dotdotdash=1 66=1 158=1 226=1
words/done-015/doc/2013_11.doc	6	0	single=6
words/done-016/doc/120509coss.doc	32	0	none=1 single=26 240=2 241=1 248=1 253=1
words/done-016/doc/150_5335_5a.doc	100	0	single=100
words/extra-001/doc/info-bulletin-601.doc	8	0	single=2 14=1 15=1 236=1 239=1 246=1 251=1
words/extra-001/doc/762.doc	7	0	single=7
words/metrics-001/doc/手机免提系统TSB.doc	0	0	
words/metrics-001/doc/A320SimNotes.doc	28	0	single=28
words/pagination-001/doc/1447.doc	0	0	
words/pagination-002/doc/absrc-pac-01-info-note-en.doc	20	0	single=16 205=2 208=1 252=1
words/pagination-001/doc/A_320.doc	5	0	single=3 208=1 231=1
words/pagination-002/doc/150_5300_13_chg12.doc	51	0	none=2 single=31 13=1 26=1 44=1 73=1 97=1 106=1 118=1 124=1 132=1 133=2 156=1 161=1 164=1 168=1 181=1 200=1 246=1
words/ceiling-001/doc/150_5300_13_chg8.doc	51	0	single=43 dash=1 42=1 102=1 120=1 147=1 157=1 177=1 223=1
words/table-001/doc/150_5300_13_chg10.doc	126	0	none=2 single=118 77=1 118=1 119=1 164=1 203=1 234=1
