label	count	rules
P0	1	0.7086@0.3118
P1	2	0.3968@0.1984 1.3039@0.1984
P2	1	-1.5024@0.3118
P3	1	0.9071@0.3969
P4	2	0.5102@0.3118 1.6157@0.3118
P5	1	-2.0976@0.3969
P6	1	1.1056@0.5102
P7	2	0.7086@0.3118 1.8141@0.3118
P8	1	-2.6078@0.5102
P9	1	1.3040@0.5953
P10	2	0.9071@0.3969 2.2110@0.3969
P11	1	-3.0898@0.5953
P12	1	1.8143@0.9071
P13	2	1.3039@0.5102 2.8063@0.5102
P14	1	-4.1953@0.9071
P15	1	2.6079@1.3039
P16	2	1.8141@0.7937 4.1953@0.7937
P17	1	-6.2929@1.3039
P18	1	5.1873@2.6079
P19	2	3.6000@1.5874 8.3906@1.5874
P20	1	-12.6143@2.6079
P21	1	0.7087@0.3118
P22	2	0.3968@0.1984 1.3039@0.1984
P23	1	-1.5023@0.3118
P24	1	0.9070@0.3969
P25	2	0.5102@0.3118 1.6157@0.3118
P26	1	-2.0976@0.3969
P27	1	1.1905@0.5953
P28	2	0.7936@0.3969 2.0975@0.3969
P29	1	-2.6078@0.5953
P30	1	1.3889@0.7087
P31	2	0.9922@0.3969 2.2961@0.3969
P32	1	-3.0898@0.7087
P33	1	1.8141@0.9071
P34	2	1.1906@0.5953 3.0048@0.5953
P35	1	-4.1103@0.9071
P36	1	2.6930@1.3039
P37	2	1.8993@0.7937 4.2804@0.7937
P38	1	-6.2078@1.3039
P39	1	5.3008@2.6079
P40	2	3.6000@1.7008 8.7024@1.7008
P41	1	-12.5007@2.6079
P42	1	0.9920@0.3969
P43	2	0.5952@0.3118 1.7008@0.3118
P44	1	-1.3891@0.3969
P45	1	1.3039@0.5953
P46	2	0.9070@0.3969 2.2111@0.3969
P47	1	-1.8143@0.5953
P48	1	1.5874@0.7087
P49	2	1.1906@0.3969 2.4944@0.3969
P50	1	-2.2961@0.7087
P51	1	1.8992@0.7937
P52	2	1.3890@0.5102 2.9197@0.5102
P53	1	-2.8062@0.7937
P54	1	2.4944@1.1055
P55	2	1.8141@0.7087 3.9117@0.7087
P56	1	-3.7134@1.1055
P57	1	3.7133@1.7008
P58	2	2.6079@1.1055 5.8960@1.1055
P59	1	-5.6126@1.7008
P60	1	7.3134@3.2882
P61	2	5.1874@2.0975 11.5087@2.0976
P62	1	-11.1968@3.2882
P63	1	0.7086@0.5953
P64	2	0.3117@0.3969 1.5023@0.3969
P65	1	-1.3039@0.3969
P66	1	0.9070@0.7937
P67	2	0.3968@0.5953 2.1826@0.5953
P68	1	-1.7008@0.5953
P69	1	1.1056@0.9921
P70	2	0.3968@0.7087 2.5229@0.7087
P71	1	-2.2110@0.7087
P72	1	1.3039@1.1906
P73	2	0.5103@0.7937 2.8914@0.7937
P74	1	-2.6078@0.7937
P75	1	1.7008@1.5874
P76	2	0.5952@1.1055 3.9117@1.1055
P77	1	-3.4867@1.1055
P78	1	2.4095@2.2961
P79	2	0.9071@1.5874 5.6977@1.5874
P80	1	-5.1874@1.5874
P81	1	4.7906@4.5921
P82	2	1.7008@3.0898 10.9984@3.0898
P83	1	-10.4030@3.2031
P84	1	0.5953@0.3118
P85	2	0.3969@0.1984 0.9922@0.1984
P86	1	-1.5023@0.3118
P87	1	0.7936@0.3969
P88	2	0.5103@0.3118 1.4174@0.3118
P89	1	-2.0127@0.3969
P90	1	0.9922@0.5102
P91	2	0.7086@0.3969 1.8991@0.3969
P92	1	-2.6079@0.5102
P93	1	1.1906@0.5953
P94	2	0.7937@0.3969 1.9843@0.3969
P95	1	-3.0047@0.5953
P96	1	1.5875@0.7937
P97	2	1.1055@0.5953 2.8913@0.5953
P98	1	-3.9968@0.7937
P99	1	2.4094@1.1906
P100	2	1.5874@0.7937 3.9968@0.7937
P101	1	-6.0945@1.1906
P102	1	4.7906@2.4094
P103	2	3.2031@1.5874 7.9937@1.5874
P104	1	-12.1889@2.4094
P105	1	0.3118@0.3118
P106	2	0.1134@0.1984 0.7086@0.1984
P107	1	-1.3889@0.3118
P108	1	0.3967@0.3969
P109	2	0.1134@0.3118 1.0205@0.3118
P110	1	-1.8143@0.3969
P111	1	0.3968@0.5102
P112	2	0.1134@0.3118 1.0205@0.3118
P113	1	-2.2961@0.5102
P114	1	0.5952@0.5953
P115	2	0.1985@0.3969 1.3889@0.3969
P116	1	-2.8064@0.5953
P117	1	0.7938@0.7937
P118	2	0.1984@0.5102 1.7008@0.5102
P119	1	-3.7135@0.7937
P120	1	0.9920@1.1055
P121	2	0.3969@0.7937 2.8063@0.7937
P122	1	-5.6126@1.1907
P123	1	2.0977@2.2110
P124	2	0.5953@1.5024 5.1024@1.5024
P125	1	-11.1968@2.4094
