row	ref_height_pt	ours_height_pt	delta_pt
0	15.10	15.15	+0.05
1	12.40	12.35	-0.05
2	23.50	23.00	-0.50
3	12.30	11.85	-0.45
4	16.80	16.75	-0.05
5	12.30	11.85	-0.45
6	12.40	11.85	-0.55
7	12.30	18.90	+6.60
8	12.40	11.85	-0.55
9	12.30	11.85	-0.45
10	12.40	11.85	-0.55
11	16.70	16.75	+0.05
12	12.40	12.35	-0.05
13	12.30	12.35	+0.05
14	12.40	12.35	-0.05
15	12.30	12.35	+0.05
16	12.40	12.35	-0.05
17	12.30	12.35	+0.05
18	16.80	16.75	-0.05
19	12.30	11.85	-0.45
20	12.40	11.85	-0.55
21	12.30	11.85	-0.45
22	16.80	16.75	-0.05
23	12.30	12.35	+0.05
24	12.40	12.35	-0.05
25	12.30	12.35	+0.05
26	16.80	16.75	-0.05
27	12.30	12.35	+0.05
28	12.15	12.35	+0.20
29	12.55	12.35	-0.20
30	12.40	12.35	-0.05
31	12.05	12.35	+0.30
32	12.65	12.35	-0.30
