# ours = fresh render; ref columns = banked from gate-odf-rows.tsv (odf-gate-01)
path	ext	pages	words	fonts	unemb	verdict	rawwords	glyphs
words/ceiling-001/rtf/150_5300_13_chg8.rtf	rtf	17/19	7125/8595	7/6	0	pages,words	7171/8656	34230/41729
words/ceiling-001/rtf/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.rtf	rtf	17/14	4084/3747	10/8	0	pages,words	4268/3814	18654/17751
words/ceiling-001/rtf/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.rtf	rtf	2/2	135/129	3/6	0	match	147/141	737/729
words/chartset-001/rtf/002_advanced_word_chart_report.rtf	rtf	1/1	96/96	4/4	0	match	102/102	536/536
words/chartset-001/rtf/008_advanced_word_chart_report.rtf	rtf	1/1	94/94	4/4	0	match	100/100	534/534
words/chartset-001/rtf/014_advanced_word_chart_report.rtf	rtf	1/1	94/94	4/4	0	match	100/100	531/531
words/chartset-001/rtf/020_advanced_word_chart_report.rtf	rtf	1/1	94/94	4/4	0	match	100/100	530/530
words/chartset-001/rtf/026_advanced_word_chart_report.rtf	rtf	1/1	94/94	4/4	0	match	100/100	533/533
words/chartset-001/rtf/032_advanced_word_chart_report.rtf	rtf	1/1	94/94	4/4	0	match	100/100	534/534
words/chartset-001/rtf/clustered-column-result.rtf	rtf	1/1	68/44	2/2	0	words	68/44	389/253
words/chartset-001/rtf/clustered-column-template.rtf	rtf	1/1	37/16	2/2	0	words	37/16	200/121
words/chartset-001/rtf/pie-chart-result.rtf	rtf	1/1	40/24	2/2	0	words	40/24	234/157
words/chartset-001/rtf/pie-chart-template.rtf	rtf	1/1	9/6	2/2	0	words	9/6	73/57
words/chartset-002/rtf/005_advanced_word_chart_report.rtf	rtf	1/1	94/94	4/4	0	match	100/100	529/529
words/chartset-002/rtf/006_advanced_word_chart_report.rtf	rtf	1/1	94/94	4/4	0	match	100/100	529/529
words/chartset-002/rtf/011_advanced_word_chart_report.rtf	rtf	1/1	94/94	4/4	0	match	100/100	530/530
