slides/ceiling-001/odp/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.odp	odp	27/27	2476/2576	8/8	0	match	2664/2764	13921/13959
slides/ceiling-001/odp/Fundamentals_Module_1_basics.odp	odp	26/26	1083/1089	5/5	0	match	1174/1180	6464/6471
slides/ceiling-001/odp/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.odp	odp	20/20	812/812	6/6	0	match	862/862	4473/4473
slides/ceiling-002/odp/16 - UTM - (NASA).odp	odp	37/37	2449/2260	12/11	0	words	2653/2447	15121/13981
slides/ceiling-002/odp/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.odp	odp	51/51	1949/1955	7/7	0	match	2120/2134	13001/13007
slides/chartset-001/odp/008_advanced_powerpoint_bubble.odp	odp	1/1	42/42	3/3	0	match	48/48	284/284
slides/chartset-001/odp/031_advanced_powerpoint_scatter.odp	odp	1/1	42/42	3/3	0	match	48/48	278/278
slides/chartset-001/odp/line_chart.odp	odp	1/1	23/23	1/2	0	match	23/23	113/113
slides/chartset-001/odp/stacked_bar_chart.odp	odp	1/1	29/29	1/2	0	match	29/29	173/173
slides/chartset-002/odp/007_advanced_powerpoint_scatter.odp	odp	1/1	42/42	3/3	0	match	48/48	282/282
slides/chartset-002/odp/023_advanced_powerpoint_scatter.odp	odp	1/1	42/42	3/3	0	match	48/48	283/283
slides/chartset-002/odp/032_advanced_powerpoint_bubble.odp	odp	1/1	42/42	3/3	0	match	48/48	284/284
slides/chartset-003/odp/003_advanced_powerpoint_line.odp	odp	1/1	62/62	4/4	0	match	68/68	332/332
slides/chartset-003/odp/010_advanced_powerpoint_column.odp	odp	1/1	61/61	4/4	0	match	67/67	332/332
slides/chartset-003/odp/019_advanced_powerpoint_line.odp	odp	1/1	61/61	4/4	0	match	67/67	331/331
slides/chartset-004/odp/004_advanced_powerpoint_pie.odp	odp	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-004/odp/020_advanced_powerpoint_pie.odp	odp	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-004/odp/025_advanced_powerpoint_bar.odp	odp	1/1	61/61	4/4	0	match	67/67	323/323
slides/chartset-005/odp/004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80.odp	odp	1/1	69/69	3/3	0	match	69/69	340/340
slides/chartset-005/odp/011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd.odp	odp	1/1	74/74	3/3	0	match	74/74	352/352
slides/chartset-005/odp/070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642.odp	odp	1/1	14/14	3/3	0	match	14/14	73/73
slides/chartset-005/odp/084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c.odp	odp	3/3	213/253	5/3	0	match	213/253	1128/1128
slides/chartset-006/odp/017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5.odp	odp	1/1	79/79	3/3	0	match	79/79	364/364
slides/chartset-006/odp/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.odp	odp	4/4	483/534	4/3	0	match	486/537	2628/2628
slides/chartset-006/odp/094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb.odp	odp	3/3	270/308	5/3	0	match	272/310	1405/1405
slides/chartset-007/odp/039_Consumer_Decision_Journey_for_PowerPoint_319207e1.odp	odp	1/1	86/86	4/4	0	match	88/88	554/554
slides/chartset-007/odp/057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c.odp	odp	3/3	148/180	4/3	0	match	150/182	805/805
slides/chartset-007/odp/091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6.odp	odp	3/3	422/454	4/3	0	match	424/456	2073/2073
slides/chartset-008/odp/009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9.odp	odp	2/2	136/136	5/4	0	match	136/136	692/692
slides/chartset-008/odp/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.odp	odp	3/3	298/270	5/4	0	words	300/272	1585/1449
slides/chartset-008/odp/065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419.odp	odp	3/3	272/298	4/3	0	match	274/300	1401/1401
slides/chartset-008/odp/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.odp	odp	5/5	422/495	5/3	0	match	428/501	2032/2032
slides/chartset-009/odp/022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e.odp	odp	3/3	432/454	5/3	0	match	432/454	2063/2063
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	odp	3/3	224/264	5/5	0	match	229/269	1117/1117
slides/chartset-009/odp/075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021.odp	odp	3/3	210/238	5/3	0	match	212/240	1029/1029
slides/chartset-010/odp/027_6-Point_Dual_Hub_Comparison_13f9af30.odp	odp	3/3	90/122	5/5	0	match	95/127	443/443
slides/chartset-010/odp/042_Diamond_Hub_Infographic_a60cfaa1.odp	odp	3/3	284/320	5/5	0	match	289/325	1403/1403
slides/chartset-010/odp/063_Four-Step_Infinity_Loop_3480185b.odp	odp	3/3	128/152	5/5	0	match	133/157	573/573
slides/chartset-011/odp/010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0.odp	odp	3/3	144/174	5/3	0	match	146/176	715/715
slides/chartset-011/odp/046_Eight-Point_Strategic_Compass_35ee62de.odp	odp	3/3	196/232	5/5	0	match	201/237	877/875
slides/chartset-011/odp/060_Four-Part_Radial_Core_Diagram_40d6614e.odp	odp	3/3	292/328	5/5	0	match	297/333	1349/1349
slides/chartset-011/odp/098_Leaning_Cards_Process_dadb3738.odp	odp	3/3	212/240	5/5	0	match	217/245	967/967
slides/chartset-012/odp/013_3-Step_Segmented_Cycle_Process_5232f82d.odp	odp	3/3	220/254	5/5	0	match	225/259	1113/1113
slides/chartset-012/odp/067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647.odp	odp	4/4	464/464	4/4	0	match	488/488	2392/2392
slides/chartset-012/odp/080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f.odp	odp	3/3	275/309	4/3	0	match	275/309	1406/1406
slides/chartset-013/odp/016_4-Position_Org_Chart_1d3640b6.odp	odp	3/3	132/156	4/3	0	match	134/158	745/745
slides/chartset-013/odp/049_Five-Block_Hub_Spoke_42ee8593.odp	odp	3/3	266/284	5/5	0	match	273/291	1333/1331
slides/chartset-013/odp/066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec.odp	odp	5/5	580/580	4/4	0	match	610/610	2975/2975
slides/chartset-014/odp/029_8-Step_Neumorphic_Cycle_Diagram_b9b75044.odp	odp	3/3	342/382	5/5	0	match	347/387	1503/1501
slides/chartset-014/odp/019_4-Step_Segmented_Cycle_Process_2ff93c19.odp	odp	3/3	282/316	5/5	0	match	287/321	1417/1417
slides/chartset-014/odp/086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83.odp	odp	3/3	53/89	5/3	0	match	53/91	324/324
slides/chartset-014/odp/081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31.odp	odp	3/3	397/437	5/3	0	match	397/439	2006/2006
slides/done-001/odp/Definitions commodity chains.odp	odp	4/4	261/261	2/2	0	match	279/279	1556/1556
slides/done-001/odp/WC_Update-Aug03.odp	odp	11/11	452/452	2/2	0	match	519/519	2874/2874
slides/done-001/odp/policy-pesentation.odp	odp	16/16	389/389	3/3	0	match	478/478	2288/2288
slides/done-002/odp/Curriculum-Schematic-E22-11052025.odp	odp	12/12	1134/1134	5/5	0	match	1322/1322	6925/6925
slides/done-002/odp/gfopportunitiesforlinkagespres_2010_en.odp	odp	27/27	1648/1654	7/7	0	match	1718/1724	10366/10371
slides/done-002/odp/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.odp	odp	20/20	909/909	3/4	0	match	932/932	5043/5043
slides/done-003/odp/010605Vul.odp	odp	21/21	947/944	6/6	0	match	1094/1091	5746/5746
slides/done-003/odp/Inducement-to-Insurance-Business.odp	odp	22/22	2600/2577	5/5	0	match	2611/2589	13032/12899
slides/done-003/odp/outlook_of_nigerian_pension_sector.odp	odp	12/12	1032/1021	5/6	0	match	1129/1118	5802/5802
slides/done-003/odp/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.odp	odp	38/38	2663/2662	4/5	0	match	2713/2712	14835/14835
slides/done-004/odp/Item 6b - UNSD - Dissemination through APIs.odp	odp	10/10	421/421	3/3	0	match	453/453	2420/2420
slides/done-004/odp/undp_presentation_revised_17_may.odp	odp	22/22	1839/1835	7/7	0	match	1960/1956	10590/10556
slides/done-005/odp/NAS-Infrastructure-Roadmaps-Weather.odp	odp	11/11	2168/2120	4/4	0	match	2200/2152	12081/12083
slides/done-006/odp/Course Selection 2025-26 Current Grade 09.odp	odp	10/10	694/694	3/3	0	match	698/698	3343/3343
slides/done-004/odp/attendance-updates-for-governors.odp	odp	30/30	3059/3055	7/7	0	match	3231/3227	17325/17298
slides/done-006/odp/nabiyeleul_1_aviation_service_28_july_2020.odp	odp	9/9	556/554	4/4	0	match	607/604	3170/3146
slides/done-005/odp/ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016.odp	odp	19/19	1880/1885	5/5	0	match	2002/2007	11581/11586
slides/done-007/odp/71393_pp7.odp	odp	39/39	2157/2151	6/6	0	match	2379/2373	12475/12475
slides/done-005/odp/manufacturing_process_simulation_working_group_overview_2023.odp	odp	7/7	726/714	4/4	0	match	769/756	4793/4733
slides/done-007/odp/introduction_to_bea_tuxedo.odp	odp	40/40	1818/1767	7/7	0	match	1885/1831	9928/9893
slides/done-006/odp/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.odp	odp	18/18	2119/2119	6/6	0	match	2223/2223	12620/12620
slides/done-008/odp/Framing Europe.odp	odp	24/24	2237/2237	4/4	0	match	2300/2301	11542/11542
slides/done-006/odp/ws_prod-g-doc-Events-r-6.-ESM.odp	odp	25/25	1951/1951	4/6	0	match	2120/2120	11330/11330
slides/done-007/odp/PAL Block Intro 2023.odp	odp	20/20	1449/1463	6/6	0	match	1550/1564	8211/8225
slides/done-008/odp/AATF-Fact-Sheet-2025.odp	odp	9/9	847/848	8/8	0	match	893/894	4611/4611
slides/ceiling-001/odp/N2_E_Maestroni_Swarm_COP.odp	odp	30/30	5121/5152	4/4	0	match	5289/5325	28247/28279
slides/done-008/odp/ROK-PI Climate Bulletin - Edition 2017-06.odp	odp	2/2	409/409	3/3	0	match	416/416	2332/2332
slides/ceiling-001/odp/Sylva%20introduction%20session.odp	odp	15/15	958/1527	7/7	0	match	1046/1623	5696/5700
slides/done-009/odp/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.odp	odp	18/18	1356/1361	7/7	0	match	1443/1448	7639/7644
slides/done-009/odp/Employment-Based_I-485.odp	odp	42/42	2516/2516	3/3	0	match	2709/2709	13353/13353
slides/done-009/odp/[Christophe]NLP_reseau_inge_stat.odp	odp	17/17	884/885	5/5	0	match	988/989	4532/4532
slides/ceiling-001/odp/architecture6.odp	odp	31/31	1926/2544	5/5	0	match	2011/2642	10724/10715
slides/done-009/odp/redac-sas-201403-ppt-portfolio-rev-sim.odp	odp	14/14	2009/2014	8/8	0	match	2200/2205	13014/13014
slides/done-010/odp/Copy of Full deck with references Promotion of Outside Interests at Work final(1).odp	odp	33/33	3115/3118	7/7	0	match	3249/3252	17378/17384
slides/ceiling-002/odp/8_P-Pavese_AIRBUS-ATB-journee-CRATB.odp	odp	26/26	2130/2010	11/11	0	words	2318/2199	10496/9914
