id	page	dist_b	dist_a	dist_r	over_b	over_a	over_r	dup_b	dup_a	dup_r	shr_b	shr_a	shr_r
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	1	247	53	53	142.70	0.00	0.00	0.00	0.00	933.62	247	53	53
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	2	445	55	55	289.50	0.00	0.00	0.00	0.00	852.66	445	55	55
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	3	148	52	52	71.80	0.00	0.00	0.00	0.00	307.16	148	52	52
00514292__xlsx.pdf	1	87	12	12	22.80	0.00	0.00	0.00	0.00	720.51	87	12	12
00514292__xlsx.pdf	2	97	15	15	20.40	0.00	0.00	0.00	0.00	172.06	0	0	0
00514292__xlsx.pdf	3	73	12	12	14.90	0.00	0.00	0.00	0.00	190.23	73	12	12
00514292__xlsx.pdf	4	66	8	8	9.60	0.00	0.00	0.00	0.00	801.24	66	8	8
