document	imgs_ours	imgs_ref	missing	area_pt2	our_marks_inside
091_Volunteer_Sign_Up_Sheet_Template_Colored_Backgro	0	1	1	3769	0
093_Volunteer_Sign_Up_Sheet_Template_Customizable_Fo	0	1	1	3885	0
095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format	0	1	1	3704	4
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f	0	1	1	3671	5
098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_0	0	1	1	3761	4
092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_	0	1	1	3750	10
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format	1	2	1	3778	5
099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_	0	1	1	3673	6
100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_	1	2	1	3744	0
097_Volunteer_Sign_Up_Sheet_Template_Professional_Fo	1	2	1	3724	0
TOTAL	3	13		37460
