identity	track	prior	imgs_ours	imgs_ref	missing	media_parts	container	draws_ours	draws_ref
Demick_JetBlue__pptx	slides	33	296639	300409	3770	6	zip	708	1392
redac-fullComm-201705-EE-FRs-briefing__pptx	slides	0	259551	262852	3301	1	zip	16	104
Reporting_responsibilities_matrix__pptx	slides	4	582	1049	467	11	zip	4289	4090
apron-area__xls	sheets	10	434	780	346	-1	ole2	678	416
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	slides	1	124	385	261	76	zip	2389	6377
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx	sheets	0	5	205	200	1	zip	641	997
ws_prod-g-doc-Events-2007-september-M.017-(French)-France__ppt	slides	3	240	415	175	-1	ole2	175	230
429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3__pptx	slides	0	0	160	160	0	zip	380	240
SIL_TDB648__xlsx	sheets	35	1	155	154	6	zip	784	733
ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ__ppt	slides	0	177	324	147	-1	ole2	166	209
introduction_to_bea_tuxedo__ppt	slides	12	139	274	135	-1	ole2	476	759
Application_Compliance_Checklist_5_Apr_2021__xlsx	sheets	9	0	133	133	3	zip	6134	2364
ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles__ppt	slides	0	120	206	86	-1	ole2	65	85
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	sheets	1	3	87	84	9	zip	1006	709
WC_Update-Aug03__ppt	slides	4	330	407	77	-1	ole2	20	34
SRDMG(16)024_60 GHz onboard airplanes__pptx	slides	1	64	121	57	20	zip	814	274
N2_E_Maestroni_Swarm_COP__pptx	slides	17	98	152	54	10	zip	869	1020
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt	slides	3	61	103	42	-1	ole2	79	343
RESPA_-_Section_8_Webinar__ppt	slides	8	1	36	35	0	zip	279	234
1_Country-Updates_DRC_English__pptx	slides	6	160	195	35	29	zip	274	263
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011__ppt	slides	0	106	139	33	-1	ole2	90	4734
029_8-Step_Neumorphic_Cycle_Diagram_b9b75044__pptx	slides	0	4	32	28	0	zip	85	245
066_Agile_Gantt_chart_08f9de45__xlsx	sheets	9	0	27	27	2	zip	3022	950
nabiyeleul_1_aviation_service_28_july_2020__pptx	slides	0	0	26	26	1	zip	99	82
passiv__pptx	slides	2	18	43	25	5	zip	205	227
Thailand17__ppt	slides	26	181	206	25	-1	ole2	626	782
ws_prod-g-doc-Events-2007-Privileges__ppt	slides	0	39	63	24	-1	ole2	110	162
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx	words	1	3	26	23	1	zip	60	72
036_Chevron_Process_Cards_3c8f0ea1__pptx	slides	0	0	20	20	5	zip	167	146
ws_prod-g-doc-Events-Part-M-presentation__ppt	slides	6	105	125	20	-1	ole2	124	154
c_291533__pptx	slides	0	39	58	19	3	zip	70	70
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx	slides	3	96	115	19	43	zip	372	404
150_5300_13_chg10__doc	words	22	8	26	18	-1	ole2	18175	2999
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0__docx	words	0	1	17	16	1	zip	93	159
SPA-06_mcar_part-6_and_IS_v2.9__docx	words	5	3	18	15	2	zip	612	777
010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0__pptx	slides	1	7	20	13	6	zip	117	127
014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e__pptx	slides	0	11	24	13	2	zip	133	251
078_Modern_inventory_list_Use_this_template_41abd5bf__xlsx	sheets	0	0	12	12	0	zip	249	46
050_Five-Point_Radial_Hub_00793e08__pptx	slides	0	0	11	11	7	zip	167	166
023_5-Step_Progress_Cards_91d5ff57__pptx	slides	0	0	10	10	5	zip	89	88
16 - UTM - (NASA)__pptx	slides	14	296	306	10	82	zip	25132	2308
Sol PJ14-03-04 Solution Contextual__docx	words	0	5	15	10	3	zip	432	156
schematicplay__pptx	slides	3	44	54	10	48	zip	198	119
schematicplaymar21__pptx	slides	1	44	54	10	48	zip	204	125
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx	slides	3	31	41	10	8	zip	162	176
1-secretariat__ppt	slides	9	13	22	9	-1	ole2	735	19
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	sheets	0	7	16	9	9	zip	724	85
NAS-Infrastructure-Roadmaps-v16.0__pptx	slides	13	487	496	9	34	zip	14626	15021
017_Timeline_Templates_for_Excel_b88faee6__xlsx	sheets	6	3	10	7	3	zip	101	59
097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592__pptx	slides	0	7	14	7	2	zip	63	85
NWD-GLA-Community-Outreach-Day-Oct-2025__pptx	slides	5	25	32	7	16	zip	85	91
redac-nasops-201503-RIRP-portfolio-update__pptx	slides	4	87	94	7	45	zip	416	457
060_Human_Body_Concept_Map_Template_ac872cfb__docx	words	0	2	8	6	4	zip	8	8
ROK-PI Climate Bulletin - Edition 2017-06__pptx	slides	1	5	11	6	6	zip	150	152
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a__xlsx	sheets	1	6	12	6	2	zip	308	468
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	sheets	0	0	5	5	0	zip	151	23
055_Organogram_Template_Horizontal_Structure_28a7e725__docx	words	2	1	6	5	2	zip	96	91
150_5335_5a__doc	words	18	4	9	5	-1	ole2	6892	3002
058_Four-Direction_Divergence_Diagram_for_PowerPoint_and_Google_Slides_9838e28d__pptx	slides	0	5	10	5	9	zip	35	71
072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0__pptx	slides	0	5	10	5	11	zip	61	89
003_2-Circle_Venn_Diagram_7ab74e5c__pptx	slides	1	0	4	4	6	zip	63	58
075_Idea_planner_tasks_f44ebd73__xlsx	sheets	7	1	5	4	1	zip	90	32
iaeg_work_group_leader_updates__pptx	slides	0	1	5	4	2	zip	31	34
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1__docx	words	3	1	5	4	1	zip	101	101
FAAAIandtheArtandScienceofV&Vfinal__pptx	slides	10	156	160	4	93	zip	586	641
073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b__pptx	slides	0	5	8	3	3	zip	47	77
075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021__pptx	slides	0	7	10	3	2	zip	69	89
8_P-Pavese_AIRBUS-ATB-journee-CRATB__pptx	slides	19	10	13	3	12	zip	595	724
Sylva%20introduction%20session__pptx	slides	3	101	104	3	76	zip	222	241
redac-sas-201703-hf-research-division__pptx	slides	2	69	72	3	46	zip	740	775
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3__xlsx	sheets	0	0	2	2	0	zip	157	28
TOGAF9-Tool-ConfReqts-CSQ__xls	sheets	22	0	2	2	-1	ole2	2284	2364
orbus_togaf_tool_csq__xls	sheets	26	0	2	2	-1	ole2	3025	3252
008_3-Circle_Venn_Diagram_024a12c5__pptx	slides	0	0	2	2	14	zip	83	80
064_Four-Step_Success_Cycle_30c0a917__pptx	slides	0	0	2	2	4	zip	105	106
wopanets-innovationdays-06-16__pptx	slides	1	26	28	2	2	zip	47	135
Stakeholders-v08052017 - v5__pptx	slides	4	22	24	2	6	zip	94	105
CRIF - SpÃ©cification technique - Socle applicatif__docx	words	0	33	35	2	9	zip	362	402
