document	objects	pages	d_chars	d_images	d_draws	dup_text_chars
f2_registro_de_aprovacao_com_pbcs_EN	18	2/2	0	0	162	0
FO.FCTOA_.000129 Application for activities related to FSTD	2	6/6	45	2	0	45
5709.16 ch.40_mgfinal	1	32/32	384	1	0	384
eTAR_External_Web_tool_Tip_Sheet_mh	1	4/4	29	1	0	29
airbus-pdf-information-package_v1-4	1	9/9	0	2	0	0
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders	1	29/29	580	0	38	580
EHEST-SMS-Safety-Management-Manual-V2	1	82/82	159	5	19	159
A1. EASA Form 2	1	7/7	17	1	0	17
TOTAL			1214	12	219	page-count moves 0
