mso_spt	odf_type	preset	source_defaults	binary_modifiers	agree
97	vertical-scroll	verticalScroll	2700	2700	yes
98	horizontal-scroll	horizontalScroll	2700	2700	yes
99	circular-arrow	circularArrow	180,0,5500	180,0,5500	yes
101	mso-spt101	uturnArrow			yes
102	mso-spt102	curvedRightArrow	12960,19440,14400	12960,19440,14400	yes
103	mso-spt103	curvedLeftArrow	12960,19440,7200	12960,19440,7200	yes
104	mso-spt104	curvedUpArrow	12960,19440,7200	12960,19440,7200	yes
105	mso-spt105	curvedDownArrow	12960,19440,14400	12960,19440,14400	yes
106	cloud-callout	cloudCallout	1350,25920	1350,25920	yes
107	mso-spt107	ellipseRibbon	5400,5400,18900	5400,5400,18900	yes
108	mso-spt108	ellipseRibbon2	5400,16200,2700	5400,16200,2700	yes
109	flowchart-process	flowChartProcess			yes
110	flowchart-decision	flowChartDecision			yes
111	flowchart-data	flowChartInputOutput			yes
112	flowchart-predefined-process	flowChartPredefinedProcess			yes
113	flowchart-internal-storage	flowChartInternalStorage			yes
114	flowchart-document	flowChartDocument			yes
115	flowchart-multidocument	flowChartMultidocument			yes
116	flowchart-terminator	flowChartTerminator			yes
117	flowchart-preparation	flowChartPreparation			yes
118	flowchart-manual-input	flowChartManualInput			yes
119	flowchart-manual-operation	flowChartManualOperation			yes
120	flowchart-connector	flowChartConnector			yes
121	flowchart-card	flowChartPunchedCard			yes
122	flowchart-punched-tape	flowChartPunchedTape			yes
123	flowchart-summing-junction	flowChartSummingJunction			yes
124	flowchart-or	flowChartOr			yes
125	flowchart-collate	flowChartCollate			yes
126	flowchart-sort	flowChartSort			yes
127	flowchart-extract	flowChartExtract			yes
128	flowchart-merge	flowChartMerge			yes
129	mso-spt129	flowChartOfflineStorage			yes
130	flowchart-stored-data	flowChartOnlineStorage			yes
131	flowchart-sequential-access	flowChartMagneticTape			yes
132	flowchart-magnetic-disk	flowChartMagneticDisk			yes
133	flowchart-direct-access-storage	flowChartMagneticDrum			yes
134	flowchart-display	flowChartDisplay			yes
135	flowchart-delay	flowChartDelay			yes
176	flowchart-alternate-process	flowChartAlternateProcess			yes
177	flowchart-off-page-connector	flowChartOffpageConnector			yes
178	mso-spt178	callout1	-1800,24500,-1800,4000	-1800,24500,-1800,4000	yes
179	mso-spt179	accentCallout1	-1800,24500,-1800,4000	-1800,24500,-1800,4000	yes
180	mso-spt180	borderCallout1	-1800,24500,-1800,4000	-1800,24500,-1800,4000	yes
181	line-callout-3	accentBorderCallout1	-1800,24500,-1800,4000	-1800,24500,-1800,4000	yes
182	mso-spt182	leftRightUpArrow	6500,8600,6200	6500,8600,6200	yes
183	sun	sun	5400	5400	yes
184	moon	moon	10800	10800	yes
185	bracket-pair	bracketPair	3700	3700	yes
186	brace-pair	bracePair	1800	1800	yes
187	star4	star4	8100	8100	yes
188	mso-spt188	doubleWave	1400,10800	1400,10800	yes
189	mso-spt189	actionButtonBlank	1400	1400	yes
190	mso-spt190	actionButtonHome	1400	1400	yes
191	mso-spt191	actionButtonHelp	1400	1400	yes
192	mso-spt192	actionButtonInformation	1400	1400	yes
193	mso-spt193	actionButtonForwardNext	1400	1400	yes
194	mso-spt194	actionButtonBackPrevious	1400	1400	yes
195	mso-spt195	actionButtonEnd	1400	1400	yes
196	mso-spt196	actionButtonBeginning	1400	1400	yes
197	mso-spt197	actionButtonReturn	1400	1400	yes
198	mso-spt198	actionButtonDocument	1400	1400	yes
199	mso-spt199	actionButtonSound	1400	1400	yes
200	mso-spt200	actionButtonMovie	1400	1400	yes
