mso_spt	preset	odf_type	verdict	chamfer_identity	chamfer_mirrorV	chamfer_mirrorH	chamfer_rot180
2	roundRect	round-rectangle	identical	0.0004	0.0004	0.0004	0.0004
3	ellipse	ellipse	identical	0.0012	0.0012	0.0012	0.0012
4	diamond	diamond	identical	0.0000	0.0000	0.0000	0.0000
5	triangle	isosceles-triangle	identical	0.0000	0.1871	0.0000	0.1871
6	rtTriangle	right-triangle	identical	0.0000	0.2066	0.2078	0.2072
7	parallelogram	parallelogram	identical	0.0000	0.0762	0.0762	0.0000
8	trapezoid	trapezoid	mirror-V	0.0766	0.0000	0.0766	0.0000
9	hexagon	hexagon	identical	0.0000	0.0000	0.0000	0.0000
10	octagon	octagon	identical	0.0002	0.0002	0.0002	0.0002
11	plus	cross	identical	0.0000	0.0000	0.0000	0.0000
12	star5	star5	identical	0.0016	0.1046	0.0016	0.1046
13	rightArrow	right-arrow	differs	0.0498	0.0498	0.0734	0.0734
15	homePlate	pentagon-right	differs	0.0358	0.0358	0.1128	0.1128
16	cube	cube	identical	0.0000	0.0498	0.0498	0.0417
17	wedgeRoundRectCallout	mso-spt17	differs	0.0479	0.0475	0.0489	0.0476
18	star16	mso-spt18	identical	0.0040	0.0040	0.0040	0.0040
19	arc	mso-spt19	identical	0.0009	0.3728	0.3728	0.8256
20	line	mso-spt20	identical	0.0000	0.3546	0.3546	0.0000
21	plaque	mso-spt21	identical	0.0004	0.0004	0.0004	0.0004
22	can	can	identical	0.0007	0.0353	0.0007	0.0353
23	donut	ring	identical	0.0012	0.0012	0.0012	0.0012
32	straightConnector1	mso-spt32	identical	0.0000	0.3546	0.3546	0.0000
33	bentConnector2	mso-spt33	identical	0.0000	0.2505	0.2505	0.4990
34	bentConnector3	mso-spt34	identical	0.0000	0.1257	0.1257	0.0000
35	bentConnector4	mso-spt35	identical	0.0000	0.2691	0.2691	0.2495
36	bentConnector5	mso-spt36	identical	0.0000	0.1255	0.1255	0.0000
37	curvedConnector2	mso-spt37	identical	0.0000	0.4004	0.4004	0.3283
38	curvedConnector3	mso-spt38	identical	0.0000	0.2696	0.2696	0.0000
39	curvedConnector4	mso-spt39	identical	0.0000	0.3544	0.3544	0.2507
40	curvedConnector5	mso-spt40	identical	0.0003	0.1886	0.1886	0.0003
41	callout1	mso-spt41	identical	0.0018	0.1652	1.4056	1.3535
42	callout2	mso-spt42	identical	0.0035	0.1692	1.4728	1.4296
43	callout3	mso-spt43	mirror-H	1.2668	1.2707	0.0013	0.0583
44	accentCallout1	mso-spt44	identical	0.0009	0.0634	1.2412	1.2412
45	accentCallout2	mso-spt45	identical	0.0018	0.0760	1.2790	1.2790
46	accentCallout3	mso-spt46	mirror-H	1.2044	1.2046	0.0008	0.0140
47	borderCallout1	line-callout-1	identical	0.0004	0.0312	0.0466	0.0466
48	borderCallout2	line-callout-2	identical	0.0007	0.0340	0.0638	0.0638
49	borderCallout3	mso-spt49	mirror-H	0.0334	0.0334	0.0003	0.0088
50	accentBorderCallout1	mso-spt50	identical	0.0003	0.0211	0.0528	0.0528
51	accentBorderCallout2	mso-spt51	identical	0.0006	0.0260	0.0670	0.0670
52	accentBorderCallout3	mso-spt52	mirror-H	0.0417	0.0417	0.0003	0.0047
53	ribbon	mso-spt53	identical	0.0084	0.0390	0.0084	0.0390
54	ribbon2	mso-spt54	identical	0.0085	0.0412	0.0085	0.0412
55	chevron	chevron	differs	0.0676	0.0676	0.1234	0.1234
56	pentagon	pentagon	identical	0.0012	0.0701	0.0012	0.0701
57	noSmoking	forbidden	differs	0.0236	0.0299	0.0299	0.0236
58	star8	star8	identical	0.0043	0.0043	0.0043	0.0043
59	star16	mso-spt59	identical	0.0040	0.0040	0.0040	0.0040
60	star32	mso-spt60	identical	0.0035	0.0035	0.0035	0.0035
61	wedgeRectCallout	rectangular-callout	identical	0.0076	0.0131	0.0131	0.0131
62	wedgeRoundRectCallout	round-rectangular-callout	identical	0.0086	0.0147	0.0148	0.0148
63	wedgeEllipseCallout	round-callout	differs	0.0176	0.0232	0.0232	0.0233
64	wave	mso-spt64	differs	0.0310	0.0600	0.0600	0.0310
65	foldedCorner	paper	identical	0.0034	0.0101	0.0101	0.0104
66	leftArrow	left-arrow	differs	0.0498	0.0498	0.0734	0.0734
67	downArrow	down-arrow	differs	0.0500	0.0735	0.0500	0.0735
68	upArrow	up-arrow	differs	0.0500	0.0735	0.0500	0.0735
69	leftRightArrow	left-right-arrow	differs	0.0945	0.0945	0.0945	0.0945
70	upDownArrow	up-down-arrow	differs	0.0948	0.0948	0.0948	0.0948
71	irregularSeal1	mso-spt71	identical	0.0043	0.0331	0.0293	0.0239
72	irregularSeal2	bang	identical	0.0002	0.0552	0.0570	0.0399
73	lightningBolt	lightning	identical	0.0015	0.1803	0.1801	0.0577
74	heart	heart	differs	0.0413	0.1412	0.0413	0.1412
76	quadArrow	quad-arrow	identical	0.0084	0.0084	0.0084	0.0084
77	leftArrowCallout	left-arrow-callout	differs	0.0105	0.0105	0.1424	0.1424
78	rightArrowCallout	right-arrow-callout	differs	0.0104	0.0104	0.1429	0.1429
79	upArrowCallout	up-arrow-callout	differs	0.0105	0.1424	0.0105	0.1424
