mso_spt	preset	verdict	worst_identity_square	worst_identity_wide	worst_mirror_square	worst_mirror_wide	square_values	wide_values
185	bracketPair	rescale-correct	0.0011	0.0011	0.0010	0.0011	0.0003,0.0008,0.0011	0.0003,0.0006,0.0011
186	bracePair	rescale-wrong	0.0857	0.0626	0.0857	0.0626	0.0006,0.0014,0.0857	0.0005,0.0012,0.0626
187	star4	rescale-wrong	0.1481	0.1481	0.1481	0.1481	0.1400,0.0171,0.1481	0.1400,0.0172,0.1481
188	doubleWave	rescale-wrong	0.0777	0.0777	0.0777	0.0777	0.0620,0.0651,0.0777	0.0620,0.0651,0.0777
189	actionButtonBlank	rescale-wrong	0.0486	0.0340	0.0486	0.0340	0.0160,0.0330,0.0486	0.0121,0.0242,0.0340
190	actionButtonHome	rescale-wrong	0.0414	0.0435	0.0413	0.0437	0.0234,0.0262,0.0414	0.0167,0.0292,0.0435
191	actionButtonHelp	rescale-wrong	0.0327	0.0374	0.0316	0.0369	0.0204,0.0266,0.0327	0.0145,0.0220,0.0374
192	actionButtonInformation	rescale-wrong	0.0374	0.0398	0.0374	0.0397	0.0243,0.0266,0.0374	0.0179,0.0261,0.0398
193	actionButtonForwardNext	rescale-wrong	0.0360	0.0364	0.0357	0.0362	0.0208,0.0307,0.0360	0.0171,0.0290,0.0364
194	actionButtonBackPrevious	rescale-wrong	0.0360	0.0364	0.0358	0.0362	0.0208,0.0306,0.0360	0.0171,0.0290,0.0364
195	actionButtonEnd	rescale-wrong	0.0288	0.0413	0.0289	0.0413	0.0189,0.0264,0.0288	0.0173,0.0283,0.0413
196	actionButtonBeginning	rescale-wrong	0.0289	0.0413	0.0289	0.0413	0.0188,0.0263,0.0289	0.0174,0.0283,0.0413
197	actionButtonReturn	rescale-wrong	0.0357	0.0364	0.0355	0.0364	0.0240,0.0259,0.0357	0.0178,0.0262,0.0364
198	actionButtonDocument	rescale-wrong	0.0424	0.0427	0.0425	0.0427	0.0235,0.0277,0.0424	0.0163,0.0302,0.0427
199	actionButtonSound	rescale-wrong	0.0360	0.0374	0.0361	0.0373	0.0202,0.0273,0.0360	0.0161,0.0255,0.0374
200	actionButtonMovie	rescale-wrong	0.0362	0.0306	0.0362	0.0303	0.0206,0.0323,0.0362	0.0166,0.0306,0.0276
