mso_spt	preset	verdict_own_defaults	verdict_rescaled	chamfer_identity	best_mirror
2	roundRect	identical	identical	0.0004	0.0004
3	ellipse	identical	identical	0.0012	0.0012
4	diamond	identical	identical	0.0000	0.0000
5	triangle	identical	identical	0.0000	0.0000
6	rtTriangle	identical	identical	0.0000	0.2066
7	parallelogram	identical	identical	0.0000	0.0000
8	trapezoid	mirror-V	mirror-V	0.0766	0.0000
9	hexagon	identical	identical	0.0000	0.0000
10	octagon	identical	identical	0.0000	0.0000
11	plus	identical	identical	0.0000	0.0000
12	star5	identical	identical	0.0016	0.0016
13	rightArrow	differs	differs	0.0518	0.0518
15	homePlate	differs	differs	0.0727	0.0727
16	cube	identical	identical	0.0000	0.0417
17	wedgeRoundRectCallout	differs	differs	0.1111	0.0924
18	star16	identical	differs	0.0728	0.0728
19	arc	identical	differs	0.1968	0.1968
20	line	identical	identical	0.0000	0.0000
21	plaque	identical	identical	0.0004	0.0004
22	can	identical	identical	0.0007	0.0007
23	donut	identical	identical	0.0012	0.0012
32	straightConnector1	identical	identical	0.0000	0.0000
33	bentConnector2	identical	identical	0.0000	0.2505
34	bentConnector3	identical	identical	0.0000	0.0000
35	bentConnector4	identical	identical	0.0000	0.2495
36	bentConnector5	identical	identical	0.0000	0.0000
37	curvedConnector2	identical	identical	0.0000	0.3283
38	curvedConnector3	identical	identical	0.0000	0.0000
39	curvedConnector4	identical	identical	0.0000	0.2507
40	curvedConnector5	identical	identical	0.0003	0.0003
41	callout1	identical	differs	0.8555	0.7240
42	callout2	identical	differs	0.8628	0.8562
43	callout3	mirror-H	differs	0.4546	0.6586
44	accentCallout1	identical	differs	0.8782	0.1836
45	accentCallout2	identical	differs	0.8751	0.2240
46	accentCallout3	mirror-H	differs	0.1443	0.1570
47	borderCallout1	identical	differs	0.0469	0.0466
48	borderCallout2	identical	differs	0.0639	0.0638
49	borderCallout3	mirror-H	differs	0.0291	0.0334
50	accentBorderCallout1	identical	differs	0.0572	0.0363
51	accentBorderCallout2	identical	differs	0.0713	0.0498
52	accentBorderCallout3	mirror-H	differs	0.0218	0.0240
53	ribbon	identical	differs	0.0563	0.0563
54	ribbon2	identical	differs	0.0440	0.0440
55	chevron	differs	differs	0.1289	0.1289
56	pentagon	identical	identical	0.0012	0.0012
57	noSmoking	differs	identical	0.0011	0.0011
58	star8	identical	differs	0.0958	0.0958
59	star16	identical	differs	0.0728	0.0728
60	star32	identical	differs	0.0596	0.0596
61	wedgeRectCallout	identical	differs	0.0592	0.0457
62	wedgeRoundRectCallout	identical	differs	0.0638	0.0488
63	wedgeEllipseCallout	differs	differs	0.0770	0.0742
64	wave	differs	differs	0.0550	0.0550
65	foldedCorner	identical	differs	0.0558	0.0525
66	leftArrow	differs	differs	0.0521	0.0521
67	downArrow	differs	differs	0.0518	0.0518
68	upArrow	differs	differs	0.0521	0.0521
69	leftRightArrow	differs	differs	0.0506	0.0506
70	upDownArrow	differs	differs	0.0324	0.0324
71	irregularSeal1	identical	identical	0.0043	0.0239
72	irregularSeal2	identical	identical	0.0002	0.0399
73	lightningBolt	identical	identical	0.0015	0.0577
74	heart	differs	differs	0.0413	0.0413
76	quadArrow	identical	differs	0.0629	0.0629
77	leftArrowCallout	differs	differs	0.0498	0.0498
78	rightArrowCallout	differs	differs	0.0984	0.0984
79	upArrowCallout	differs	differs	0.0498	0.0498
80	downArrowCallout	differs	differs	0.0988	0.0988
81	leftRightArrowCallout	differs	differs	0.0211	0.0211
82	upDownArrowCallout	differs	differs	0.0211	0.0211
83	quadArrowCallout	differs	differs	0.0570	0.0570
84	bevel	identical	identical	0.0000	0.0000
85	leftBracket	identical	identical	0.0017	0.0017
86	rightBracket	identical	identical	0.0017	0.0017
87	leftBrace	identical	identical	0.0016	0.0016
88	rightBrace	identical	identical	0.0016	0.0016
89	leftUpArrow	differs	differs	0.1715	0.1014
90	bentUpArrow	differs	differs	0.0991	0.1083
91	bentArrow	differs	differs	0.0740	0.1396
92	star24	identical	differs	0.0641	0.0641
93	stripedRightArrow	differs	differs	0.0318	0.0318
94	notchedRightArrow	differs	differs	0.0572	0.0572
95	blockArc	identical	differs	0.2097	0.2090
96	smileyFace	identical	identical	0.0057	0.0057
97	verticalScroll	identical	identical	0.0004	0.0206
98	horizontalScroll	identical	identical	0.0005	0.0205
99	circularArrow	differs	differs	0.1070	0.1082
101	uturnArrow	differs	differs	0.0230	0.0750
102	curvedRightArrow	differs	differs	0.0802	0.0780
103	curvedLeftArrow	differs	differs	0.0770	0.0791
104	curvedUpArrow	differs	differs	0.0708	0.0767
105	curvedDownArrow	differs	differs	0.0665	0.0796
106	cloudCallout	differs	differs	0.0821	0.0933
107	ellipseRibbon	identical	differs	0.0424	0.0424
108	ellipseRibbon2	identical	differs	0.0304	0.0304
109	flowChartProcess	identical	identical	0.0000	0.0000
110	flowChartDecision	identical	identical	0.0000	0.0000
111	flowChartInputOutput	identical	identical	0.0012	0.0012
112	flowChartPredefinedProcess	identical	identical	0.0025	0.0025
113	flowChartInternalStorage	differs	differs	0.0202	0.0293
114	flowChartDocument	identical	identical	0.0015	0.0315
115	flowChartMultidocument	identical	identical	0.0023	0.0442
116	flowChartTerminator	identical	identical	0.0008	0.0008
117	flowChartPreparation	identical	identical	0.0010	0.0010
118	flowChartManualInput	identical	identical	0.0002	0.0276
119	flowChartManualOperation	identical	identical	0.0010	0.0010
120	flowChartConnector	identical	identical	0.0012	0.0012
121	flowChartPunchedCard	identical	identical	0.0003	0.0110
122	flowChartPunchedTape	identical	identical	0.0024	0.0024
123	flowChartSummingJunction	identical	identical	0.0012	0.0012
124	flowChartOr	identical	identical	0.0007	0.0007
125	flowChartCollate	identical	identical	0.0006	0.0006
126	flowChartSort	identical	identical	0.0000	0.0000
127	flowChartExtract	identical	identical	0.0000	0.0000
128	flowChartMerge	identical	identical	0.0000	0.0000
129	flowChartOfflineStorage	no-escher-geometry	no-escher-geometry		
130	flowChartOnlineStorage	identical	identical	0.0007	0.0007
131	flowChartMagneticTape	identical	identical	0.0023	0.0227
132	flowChartMagneticDisk	identical	identical	0.0051	0.0051
133	flowChartMagneticDrum	identical	identical	0.0051	0.0051
134	flowChartDisplay	identical	identical	0.0009	0.0009
135	flowChartDelay	identical	identical	0.0006	0.0006
176	flowChartAlternateProcess	identical	identical	0.0004	0.0004
177	flowChartOffpageConnector	identical	identical	0.0013	0.0013
178	callout1	differs	differs	0.7968	0.4265
179	accentCallout1	differs	differs	0.9053	0.1435
180	borderCallout1	differs	differs	0.0168	0.0147
181	accentBorderCallout1	differs	differs	0.0267	0.0159
182	leftRightUpArrow	differs	differs	0.0839	0.0839
183	sun	identical	identical	0.0010	0.0010
184	moon	identical	identical	0.0028	0.0028
185	bracketPair	identical	identical	0.0006	0.0006
186	bracePair	identical	identical	0.0005	0.0005
187	star4	identical	differs	0.1149	0.1149
188	doubleWave	identical	differs	0.0613	0.0613
189	actionButtonBlank	differs	differs	0.0101	0.0101
190	actionButtonHome	differs	differs	0.0176	0.0192
191	actionButtonHelp	differs	differs	0.0146	0.0165
192	actionButtonInformation	differs	differs	0.0200	0.0205
193	actionButtonForwardNext	differs	differs	0.0170	0.0170
194	actionButtonBackPrevious	differs	differs	0.0170	0.0170
195	actionButtonEnd	differs	differs	0.0195	0.0195
196	actionButtonBeginning	differs	differs	0.0195	0.0195
197	actionButtonReturn	differs	differs	0.0185	0.0225
198	actionButtonDocument	differs	differs	0.0197	0.0229
199	actionButtonSound	differs	differs	0.0151	0.0151
200	actionButtonMovie	differs	differs	0.0155	0.0161
