label	face	size	kind	group	tabtwips	page	x0	x1	rx	nrules	cover	contiguous	spans
L065	Liberation Sans	14	over	span	0	3	56.80	320.11	320.11	1	263.30	1	56.80-320.10
L066	Liberation Sans	14	over	span	0	3	56.80	393.16	393.16	1	336.35	1	56.80-393.15
L067	Liberation Sans	14	over	span	0	3	56.80	466.41	466.41	1	409.60	1	56.80-466.40
L068	Liberation Sans	14	strike	span	0	3	56.80	246.91	246.91	1	190.10	1	56.80-246.90
L069	Liberation Sans	14	strike	span	0	3	56.80	320.11	320.11	1	263.30	1	56.80-320.10
L070	Liberation Sans	14	strike	span	0	3	56.80	393.16	393.16	1	336.35	1	56.80-393.15
L071	Liberation Sans	14	strike	span	0	3	56.80	466.41	466.41	1	409.60	1	56.80-466.40
L072	Carlito	8	under	span	0	3	56.80	72.30		1	184.30	1	56.70-241.00
L073	Carlito	8	under	span	0	3	56.80	72.30		1	257.50	1	56.70-314.20
L074	Carlito	8	under	span	0	3	56.80	72.30		1	330.55	1	56.70-387.25
L075	Carlito	8	under	span	0	3	56.80	72.30		1	403.80	1	56.70-460.50
L076	Carlito	8	over	span	0	3	56.80	241.14	241.14	1	184.30	1	56.80-241.10
L077	Carlito	8	over	span	0	3	56.80	314.34	314.34	1	257.50	1	56.80-314.30
L078	Carlito	8	over	span	0	3	56.80	387.39	387.39	1	330.55	1	56.80-387.35
L079	Carlito	8	over	span	0	3	56.80	460.64	460.64	1	403.80	1	56.80-460.60
L080	Carlito	8	strike	span	0	3	56.80	241.14	241.14	1	184.30	1	56.80-241.10
L081	Carlito	8	strike	span	0	3	56.80	314.34	314.34	1	257.50	1	56.80-314.30
L082	Carlito	8	strike	span	0	3	56.80	387.39	387.39	1	330.55	1	56.80-387.35
L083	Carlito	8	strike	span	0	3	56.80	460.64	460.64	1	403.80	1	56.80-460.60
L084	Carlito	10	under	span	0	4	56.80	76.16		1	185.40	1	56.70-242.10
L085	Carlito	10	under	span	0	4	56.80	76.16		1	258.60	1	56.70-315.30
L086	Carlito	10	under	span	0	4	56.80	76.16		1	331.65	1	56.70-388.35
L087	Carlito	10	under	span	0	4	56.80	76.16		1	404.90	1	56.70-461.60
L088	Carlito	10	over	span	0	4	56.80	242.22	242.22	1	185.40	1	56.80-242.20
L089	Carlito	10	over	span	0	4	56.80	315.42	315.42	1	258.60	1	56.80-315.40
L090	Carlito	10	over	span	0	4	56.80	388.47	388.47	1	331.65	1	56.80-388.45
L091	Carlito	10	over	span	0	4	56.80	461.72	461.72	1	404.90	1	56.80-461.70
L092	Carlito	10	strike	span	0	4	56.80	242.22	242.22	1	185.40	1	56.80-242.20
L093	Carlito	10	strike	span	0	4	56.80	315.42	315.42	1	258.60	1	56.80-315.40
L094	Carlito	10	strike	span	0	4	56.80	388.47	388.47	1	331.65	1	56.80-388.45
L095	Carlito	10	strike	span	0	4	56.80	461.72	461.72	1	404.90	1	56.80-461.70
L096	Carlito	14	under	span	0	4	56.80	83.90		1	187.60	1	56.70-244.30
L097	Carlito	14	under	span	0	4	56.80	83.90		1	260.80	1	56.70-317.50
L098	Carlito	14	under	span	0	4	56.80	83.90		1	333.85	1	56.70-390.55
L099	Carlito	14	under	span	0	4	56.80	83.90		1	407.10	1	56.70-463.80
L100	Carlito	14	over	span	0	4	56.80	244.39	244.39	1	187.60	1	56.80-244.40
L101	Carlito	14	over	span	0	4	56.80	317.59	317.59	1	260.80	1	56.80-317.60
L102	Carlito	14	over	span	0	4	56.80	390.64	390.64	1	333.85	1	56.80-390.65
L103	Carlito	14	over	span	0	4	56.80	463.89	463.89	1	407.10	1	56.80-463.90
L104	Carlito	14	strike	span	0	4	56.80	244.39	244.39	1	187.60	1	56.80-244.40
L105	Carlito	14	strike	span	0	4	56.80	317.59	317.59	1	260.80	1	56.80-317.60
L106	Carlito	14	strike	span	0	4	56.80	390.64	390.64	1	333.85	1	56.80-390.65
L107	Carlito	14	strike	span	0	4	56.80	463.89	463.89	1	407.10	1	56.80-463.90
L108	DejaVu Sans	8	under	span	0	4	56.80	76.48		1	185.50	1	56.70-242.20
L109	DejaVu Sans	8	under	span	0	4	56.80	76.48		1	258.70	1	56.70-315.40
L110	DejaVu Sans	8	under	span	0	5	56.80	76.48		1	331.75	1	56.70-388.45
L111	DejaVu Sans	8	under	span	0	5	56.80	76.48		1	405.00	1	56.70-461.70
L112	DejaVu Sans	8	over	span	0	5	56.80	242.35	242.35	1	185.50	1	56.80-242.30
L113	DejaVu Sans	8	over	span	0	5	56.80	315.55	315.55	1	258.70	1	56.80-315.50
L114	DejaVu Sans	8	over	span	0	5	56.80	388.60	388.60	1	331.75	1	56.80-388.55
L115	DejaVu Sans	8	over	span	0	5	56.80	461.85	461.85	1	405.00	1	56.80-461.80
L116	DejaVu Sans	8	strike	span	0	5	56.80	242.35	242.35	1	185.50	1	56.80-242.30
L117	DejaVu Sans	8	strike	span	0	5	56.80	315.55	315.55	1	258.70	1	56.80-315.50
L118	DejaVu Sans	8	strike	span	0	5	56.80	388.60	388.60	1	331.75	1	56.80-388.55
L119	DejaVu Sans	8	strike	span	0	5	56.80	461.85	461.85	1	405.00	1	56.80-461.80
L120	DejaVu Sans	10	under	span	0	5	56.80	81.41		1	186.90	1	56.70-243.60
L121	DejaVu Sans	10	under	span	0	5	56.80	81.41		1	260.10	1	56.70-316.80
L122	DejaVu Sans	10	under	span	0	5	56.80	81.41		1	333.15	1	56.70-389.85
L123	DejaVu Sans	10	under	span	0	5	56.80	81.41		1	406.40	1	56.70-463.10
L124	DejaVu Sans	10	over	span	0	5	56.80	243.74	243.74	1	186.90	1	56.80-243.70
L125	DejaVu Sans	10	over	span	0	5	56.80	316.94	316.94	1	260.10	1	56.80-316.90
L126	DejaVu Sans	10	over	span	0	5	56.80	389.99	389.99	1	333.15	1	56.80-389.95
L127	DejaVu Sans	10	over	span	0	5	56.80	463.24	463.24	1	406.40	1	56.80-463.20
L128	DejaVu Sans	10	strike	span	0	5	56.80	243.74	243.74	1	186.90	1	56.80-243.70
