label	face	size	kind	group	tabtwips	page	x0	x1	rx	nrules	cover	contiguous	spans
L117	DejaVu Sans	8	strike	span	0	5	56.69	76.41		2	25.29	0	56.69-76.42;309.89-315.45
L118	DejaVu Sans	8	strike	span	0	5	56.69	76.41		2	25.29	0	56.69-76.42;382.94-388.50
L119	DejaVu Sans	8	strike	span	0	5	56.69	76.41		2	25.29	0	56.69-76.42;456.24-461.80
L120	DejaVu Sans	10	under	span	0	5	56.69	81.34		2	31.61	0	56.69-81.35;236.69-243.64
L121	DejaVu Sans	10	under	span	0	5	56.69	81.34		2	31.61	0	56.69-81.35;309.89-316.84
L122	DejaVu Sans	10	under	span	0	5	56.69	81.34		2	31.61	0	56.69-81.35;382.94-389.89
L123	DejaVu Sans	10	under	span	0	5	56.69	81.34		2	31.61	0	56.69-81.35;456.24-463.19
L124	DejaVu Sans	10	over	span	0	5	56.69	81.34		0	0.00	0	
L125	DejaVu Sans	10	over	span	0	5	56.69	81.34		0	0.00	0	
L126	DejaVu Sans	10	over	span	0	5	56.69	81.34		0	0.00	0	
L127	DejaVu Sans	10	over	span	0	5	56.69	81.34		0	0.00	0	
L128	DejaVu Sans	10	strike	span	0	5	56.69	81.34		2	31.61	0	56.69-81.35;236.69-243.64
L129	DejaVu Sans	10	strike	span	0	5	56.69	81.34		2	31.61	0	56.69-81.35;309.89-316.84
L130	DejaVu Sans	10	strike	span	0	5	56.69	81.34		2	31.61	0	56.69-81.35;382.94-389.89
L131	DejaVu Sans	10	strike	span	0	5	56.69	81.34		2	31.61	0	56.69-81.35;456.24-463.19
L132	DejaVu Sans	14	under	span	0	5	56.69	91.20		2	44.25	0	56.69-91.21;236.69-246.42
L133	DejaVu Sans	14	under	span	0	5	56.69	91.20		2	44.25	0	56.69-91.21;309.89-319.62
L134	DejaVu Sans	14	under	span	0	5	56.69	91.20		2	44.25	0	56.69-91.21;382.94-392.67
L135	DejaVu Sans	14	under	span	0	5	56.69	91.20		2	44.25	0	56.69-91.21;456.24-465.97
L136	DejaVu Sans	14	over	span	0	5	56.69	91.20		0	0.00	0	
L137	DejaVu Sans	14	over	span	0	5	56.69	91.20		0	0.00	0	
L138	DejaVu Sans	14	over	span	0	6	56.69	91.20		0	0.00	0	
L139	DejaVu Sans	14	over	span	0	6	56.69	91.20		0	0.00	0	
L140	DejaVu Sans	14	strike	span	0	6	56.69	91.20		2	44.25	0	56.69-91.21;236.69-246.42
L141	DejaVu Sans	14	strike	span	0	6	56.69	91.20		2	44.25	0	56.69-91.21;309.89-319.62
L142	DejaVu Sans	14	strike	span	0	6	56.69	91.20		2	44.25	0	56.69-91.21;382.94-392.67
L143	DejaVu Sans	14	strike	span	0	6	56.69	91.20		2	44.25	0	56.69-91.21;456.24-465.97
L144	Liberation Serif	10	under	skip	0	6	56.69	77.80		2	27.78	0	56.69-77.80;309.89-316.56
L145	Liberation Serif	10	over	skip	0	6	56.69	77.80		0	0.00	0	
L146	Liberation Serif	10	strike	skip	0	6	56.69	77.80		2	27.78	0	56.69-77.80;309.89-316.56
L147	Liberation Sans	10	under	skip	0	6	56.69	78.93		2	29.47	0	56.69-78.94;309.89-317.11
L148	Liberation Sans	10	over	skip	0	6	56.69	78.93		0	0.00	0	
L149	Liberation Sans	10	strike	skip	0	6	56.69	78.93		2	29.47	0	56.69-78.94;309.89-317.11
L150	Carlito	10	under	skip	0	6	56.69	76.10		2	24.84	0	56.69-76.10;309.89-315.32
L151	Carlito	10	over	skip	0	6	56.69	76.10		0	0.00	0	
L152	Carlito	10	strike	skip	0	6	56.69	76.10		2	24.84	0	56.69-76.10;309.89-315.32
L153	DejaVu Sans	10	under	skip	0	6	56.69	81.34		2	31.61	0	56.69-81.35;309.89-316.84
L154	DejaVu Sans	10	over	skip	0	6	56.69	81.34		0	0.00	0	
L155	DejaVu Sans	10	strike	skip	0	6	56.69	81.34		2	31.61	0	56.69-81.35;309.89-316.84
L156	Liberation Mono	10	under	mono	30	6	56.69	124.19	124.19	2	66.01	0	56.69-116.70;118.19-124.19
L157	Liberation Mono	10	under	mono	90	6	56.69	127.19	127.19	2	66.01	0	56.69-116.70;121.19-127.19
L158	Liberation Mono	10	under	mono	119	6	56.69	128.64	128.64	2	66.01	0	56.69-116.70;122.64-128.64
L159	Liberation Mono	10	under	mono	121	6	56.69	128.74	128.74	2	66.01	0	56.69-116.70;122.74-128.74
L160	Liberation Mono	10	under	mono	180	6	56.69	116.69		2	66.01	0	56.69-116.70;125.69-131.69
L161	Liberation Mono	10	under	mono	361	6	56.69	116.69		2	66.01	0	56.69-116.70;134.74-140.74
L162	Liberation Sans	10	under	cliff	54	6	59.39	67.17		1	7.78	1	59.39-67.17
L163	Liberation Sans	10	under	cliff	55	6	59.44	67.22		1	7.78	1	59.44-67.22
L164	Liberation Sans	10	under	cliff	56	6	59.49	67.27		1	7.78	1	59.49-67.27
L165	Liberation Sans	10	under	cliff	57	7	59.54	67.32		1	7.78	1	59.54-67.32
L166	Liberation Mono	10	under	resid	200	7	66.69	72.69		1	6.00	1	66.69-72.69
L167	Liberation Mono	10	under	resid	260	7	69.69	75.69		1	6.00	1	69.69-75.69
L168	Liberation Mono	10	under	resid	340	7	73.69	79.69		1	6.00	1	73.69-79.69
L169	Liberation Mono	10	under	resid	460	7	79.69	85.69		1	6.00	1	79.69-85.69
L170	Liberation Mono	10	under	resid	580	7	85.69	91.69		1	6.00	1	85.69-91.69
