name	ours_pages	ref_pages	ours_glyphs	ref_glyphs	unemb	verdict
053_Organogram_Template_Creative_Theme_21657a3d	1	1	0	0	0	match
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8	1	1	0	0	0	match
055_Organogram_Template_Horizontal_Structure_28a7e725	1	1	0	0	0	match
056_Organogram_Template_Square_Theme_38f373d4	1	1	8	8	0	match
057_Organogram_Template_Vertical_Colorful_Theme_724b143c	1	1	0	0	0	match
058_Organogram_Template_With_Picture_Theme_44b79368	1	1	0	0	0	match
059_Disease_Concept_Map_Template_4acf63f2	1	1	141	130	0	match
060_Human_Body_Concept_Map_Template_ac872cfb	1	1	148	138	0	match
061_Nursing_Concept_Map_Template_fb9816f0	1	1	150	150	0	match
062_Vocabulary_Concept_Map_Template_2f7c1c09	1	1	76	76	0	match
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992	1	1	402	402	0	match
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06	1	1	184	184	0	match
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62	1	1	80	85	0	match
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248	1	1	79	70	0	match
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b	1	1	112	112	0	match
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8	1	1	135	135	0	match
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1	1	1	127	127	0	match
07-04	3	3	5485	5485	0	match
070_Storyboard_Template_Blank_Format_fc41673a	1	1	0	0	0	match
071_Storyboard_Template_Cartoon_Theme_ae113de2	1	1	20	15	0	match
072_Storyboard_Template_Colored_Theme_28524a15	1	1	0	0	0	match
073_Storyboard_Template_Easy_to_Use_44ce05fc	1	1	0	0	0	match
074_Storyboard_Template_Editable_Design_132436d1	1	1	32	32	0	match
075_Storyboard_Template_Fillable_Format_7fa01641	1	1	0	0	0	match
076_Storyboard_Template_Gray_Theme_1e5fd5e5	1	1	10	10	0	match
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab	1	1	20	15	0	match
078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f	1	1	0	0	0	match
079_Storyboard_Template_Simple_Format_81653703	1	1	20	20	0	match
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1	1	1	27	27	0	match
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb	1	1	25	25	0	match
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b	1	1	14	14	0	match
083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3	1	1	14	14	0	match
084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820	1	1	19	19	0	match
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a	1	1	19	19	0	match
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7	1	1	19	19	0	match
087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04	1	1	27	27	0	match
088_Printable_Graph_Paper_Template_Quality_layout_33051f6e	1	1	10	10	0	match
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88	1	1	10	10	0	match
09	2	2	2608	2608	0	match
090_Business_Case_Template_Blue_Theme_108ff0f1	1	1	263	263	0	match
091_Business_Case_Template_Complete_Guide_cb91a140	5	5	3134	3134	0	match
092_Business_Case_Template_Convenient_Format_00786cce	7	8	5699	5699	0	pages
093_Business_Case_Template_Customizable_Layout_510c25e7	1	1	201	201	0	match
094_Business_Case_Template_Decent_Layout_e7722f2b	1	2	189	189	0	pages
095_Business_Case_Template_Easy_Format_61de7128	1	1	348	348	0	match
096_Business_Case_Template_Editable_Layout_41fe0bc0	1	2	235	235	0	pages
097_Business_Case_Template_Elegant_Layout_3ba9cbf2	2	2	276	276	0	match
098_Business_Case_Template_Fillable_Layout_d0c5410e	1	1	458	458	0	match
099_Business_Case_Template_Gray_Theme_ac3edbf4	1	1	294	294	0	match
0c662f5c948a7d81d32ffd833c5cc59421a5f522	1	1	2004	2004	0	match
100_Business_Case_Template_Modern_Format_ff9e7282	5	5	512	512	0	match
10795	4	4	5428	5428	0	match
120509coss	25	25	38126	38126	0	match
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759	12	11	14396	14300	0	pages
1244277 1 Comment	2	2	1745	1745	0	match
1245685 1 Comment	1	1	1619	1619	0	match
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080	9	9	10122	10122	0	match
135	14	14	26650	26620	0	match
1447	4	4	5153	5153	0	match
150-5370-10H	700	746	1504847	1504839	0	pages
150_5300_13_chg10	57	77	90076	116045	0	pages,words
150_5300_13_chg12	34	33	62062	61683	0	pages
150_5300_13_chg8	17	19	34230	41729	0	pages,words
150_5335_5a	64	65	95214	95111	0	pages
1528039320	1	2	1790	1916	0	pages,words
1528364855	3	3	6219	6219	0	match
1603642410-MoM-CASCOM-06-2020-draft04	9	9	24054	24054	0	match
19-06 Assistive Technology TAB Final - 508	8	8	18195	18195	0	match
191216_Lesefassung_Nachtflugregelung	3	3	5435	5435	0	match
195584360	22	51	45714	47918	0	pages,words
1_tpr_template__from_fy14_	10	10	18672	18672	0	match
20110608_psp	3	3	4704	4704	0	match
2013-op12-Annex III - Curriculum Vitae	3	3	2004	2004	0	match
2013_11	8	9	13594	13826	0	pages
2015-April-SWIM_Users_Forum-Q&A	5	5	8333	8333	0	match
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai	3	3	3631	3631	0	match
2024-2nd-quarter-case-summaries	10	10	28056	28056	0	match
231164_SystemDesignDocument	23	21	38502	38311	0	pages
237287_0486190101_0486190101_geolink2neu	6	8	9846	9990	0	pages
24-25_FAA_Holdover_Tables	162	223	300242	321294	0	pages,words
2ca950374241722b8ea7c132dfce63ae	3	3	5118	5118	0	match
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie	1	1	1887	1887	0	match
316r_a_e	14	14	24160	24160	0	match
316r_a_f	14	14	25186	25186	0	match
33004	47	47	60260	60265	0	match
361400CSLegislation1RF01PUBLIC1	35	35	68170	68170	0	match
4400-91_Proposal_To_Lease_Space_10-2024	6	7	16827	16891	0	pages
461249	5	5	8911	8911	0	match
5709.16 ch.40_mgfinal	32	29	59010	52691	0	pages,words
62599_FRANCE-BRAZIL- Air France Flight 447 crash	16	16	30134	30134	0	match
644730BRI0mna000BOX361539B00public0	4	4	12817	12817	0	match
762	21	24	22599	22605	0	pages
96-3-clement-data	7	7	10193	10193	0	match
A1. EASA Form 2	7	8	10077	10146	0	pages
A320SimNotes	41	42	67510	67512	0	pages
A380MaenPressRel	3	3	3944	3944	0	match
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX	22	21	38768	38766	0	pages
ABCD-FE-01-00 Flight Envelope - v1 08.03.16	14	14	18384	17751	0	words
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1	41	41	48122	47800	0	match
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16	12	12	13135	12934	0	match
AC-150-5370-10G-updated-201604	671	667	1430828	1430537	0	pages
AFS-050-004-F2_0i	8	8	13442	13442	0	match
AUWG min 4-3-24 final	2	2	3463	3463	0	match
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf	2	2	737	729	0	match
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024	11	10	10465	10701	0	pages,words
A_320	123	134	88854	88733	0	pages
Agile_Arc_SysDes	20	20	33434	33437	0	match
AirbusCallouts	25	25	43670	43670	0	match
Allegiant_Company_Profile_with_History	3	3	6588	6588	0	match
