# advance-width: the laid-out width of a repeated unit, by differencing two
# right-aligned lines. Measured 2026-09-06
# 24.2.7.2: /usr/bin/soffice -> LibreOffice 24.2.7.2 420(Build:2)
# 26.2.4.2: /opt/libreoffice26.2/program/soffice -> LibreOffice 26.2.4.2 0229ac93fcf0d7cbc6376066c6f35021cef002dc
# fonts: system /usr/share/fonts; the TDF tarball's bundled Latin duplicates and its
# Latin NotoSans-*/NotoSerif-* are moved aside, so 26.2.4.2 resolves the system faces.
# fc-match "DejaVu Sans" -> DejaVuSans.ttf: "DejaVu Sans" "Book"
# ours: /home/user/wt-advance/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli
binary	face	unit	size_pt	reps	glyphs_per_unit	design_pt	measured_pt	ratio_to_design
24.2.7.2	Liberation Mono	o	6	238	1	3.600586	3.600630	1.000012
24.2.7.2	Liberation Mono	o	8	238	1	4.800781	4.800840	1.000012
24.2.7.2	Liberation Mono	o	10	238	1	6.000977	6.001050	1.000012
24.2.7.2	Liberation Mono	o	10.5	238	1	6.301025	6.301050	1.000004
24.2.7.2	Liberation Mono	o	12	211	1	7.201172	7.201185	1.000002
24.2.7.2	Liberation Mono	o	14	181	1	8.401367	8.401381	1.000002
24.2.7.2	Liberation Mono	o	16	158	1	9.601562	9.601582	1.000002
24.2.7.2	Liberation Mono	o	20	126	1	12.001953	12.001984	1.000003
24.2.7.2	Liberation Mono	o	24	104	1	14.402344	14.402404	1.000004
24.2.7.2	Liberation Mono	o	32	78	1	19.203125	19.203205	1.000004
24.2.7.2	Liberation Mono	o	48	51	1	28.804688	28.804902	1.000007
24.2.7.2	Liberation Mono	i	6	238	1	3.600586	3.600630	1.000012
24.2.7.2	Liberation Mono	i	8	238	1	4.800781	4.800840	1.000012
24.2.7.2	Liberation Mono	i	10	238	1	6.000977	6.001050	1.000012
24.2.7.2	Liberation Mono	i	10.5	238	1	6.301025	6.301050	1.000004
24.2.7.2	Liberation Mono	i	12	211	1	7.201172	7.201185	1.000002
24.2.7.2	Liberation Mono	i	14	181	1	8.401367	8.401381	1.000002
24.2.7.2	Liberation Mono	i	16	158	1	9.601562	9.601582	1.000002
24.2.7.2	Liberation Mono	i	20	126	1	12.001953	12.001984	1.000003
24.2.7.2	Liberation Mono	i	24	104	1	14.402344	14.402404	1.000004
24.2.7.2	Liberation Mono	i	32	78	1	19.203125	19.203205	1.000004
24.2.7.2	Liberation Mono	i	48	51	1	28.804688	28.804902	1.000007
24.2.7.2	Liberation Mono	space_o	6	211	2	7.201172	7.201185	1.000002
24.2.7.2	Liberation Mono	space_o	8	158	2	9.601562	9.601582	1.000002
24.2.7.2	Liberation Mono	space_o	10	126	2	12.001953	12.001984	1.000003
24.2.7.2	Liberation Mono	space_o	10.5	120	2	12.602051	12.602083	1.000003
24.2.7.2	Liberation Mono	space_o	12	104	2	14.402344	14.402404	1.000004
24.2.7.2	Liberation Mono	space_o	14	89	2	16.802734	16.802809	1.000004
24.2.7.2	Liberation Mono	space_o	16	78	2	19.203125	19.203205	1.000004
24.2.7.2	Liberation Mono	space_o	20	62	2	24.003906	24.004032	1.000005
24.2.7.2	Liberation Mono	space_o	24	51	2	28.804688	28.804902	1.000007
24.2.7.2	Liberation Mono	space_o	32	38	2	38.406250	38.406579	1.000009
24.2.7.2	Liberation Mono	space_o	48	24	2	57.609375	57.610417	1.000018
24.2.7.2	Liberation Mono	hamburgefonstiv	6	26	15	54.008789	54.009615	1.000015
24.2.7.2	Liberation Mono	hamburgefonstiv	8	19	15	72.011719	72.013158	1.000020
24.2.7.2	Liberation Mono	hamburgefonstiv	10	15	15	90.014648	90.013333	0.999985
24.2.7.2	Liberation Mono	hamburgefonstiv	10.5	14	15	94.515381	94.514286	0.999988
