track   binary    face               sz   n   offset    pixel     err    exact     err  spread
slides  26.2.4.2  Carlito            16  10    5.269    5.244  +0.025    5.469  -0.200   0.025
slides  24.2.7.2  Carlito            18  10    6.374    6.378  -0.004    6.152  +0.222   0.026
slides  26.2.4.2  Carlito            18  10    6.402    6.378  +0.024    6.152  +0.250   0.026
slides  24.2.7.2  Carlito            20  10    7.139    7.129  +0.010    6.836  +0.303   0.026
slides  26.2.4.2  Carlito            20  10    7.168    7.129  +0.039    6.836  +0.332   0.027
slides  24.2.7.2  Carlito            24   5    7.879    7.880  -0.002    8.203  -0.324   0.023
slides  26.2.4.2  Carlito            24   5    7.908    7.880  +0.027    8.203  -0.296   0.023
words   24.2.7.2  Liberation Sans     7  10    2.259    2.254  +0.006    2.312  -0.053   0.021
words   26.2.4.2  Liberation Sans     7  10    2.288    2.254  +0.034    2.312  -0.025   0.022
words   24.2.7.2  Liberation Sans     8  10    2.998    3.005  -0.007    2.643  +0.356   0.040
words   26.2.4.2  Liberation Sans     8  10    3.027    3.005  +0.022    2.643  +0.384   0.041
words   24.2.7.2  Liberation Sans     9  10    2.996    3.005  -0.008    2.973  +0.023   0.028
words   26.2.4.2  Liberation Sans     9  10    3.025    3.005  +0.020    2.973  +0.052   0.027
words   24.2.7.2  Liberation Sans    10  10    3.392    3.387  +0.005    3.303  +0.089   0.047
words   26.2.4.2  Liberation Sans    10  10    3.420    3.387  +0.033    3.303  +0.117   0.046
words   24.2.7.2  Liberation Sans    11   5    4.091    4.110  -0.020    3.634  +0.457   0.019
words   26.2.4.2  Liberation Sans    11   5    4.119    4.110  +0.009    3.634  +0.485   0.019
words   24.2.7.2  Liberation Sans    12   5    4.091    4.110  -0.020    3.964  +0.127   0.019
words   26.2.4.2  Liberation Sans    12   5    4.119    4.110  +0.009    3.964  +0.155   0.019
words   24.2.7.2  Liberation Sans    13   5    4.137    4.124  +0.013    4.294  -0.157   0.026
words   26.2.4.2  Liberation Sans    13   5    4.166    4.124  +0.041    4.294  -0.129   0.026
words   24.2.7.2  Liberation Sans    14   5    4.870    4.876  -0.005    4.625  +0.246   0.021
words   26.2.4.2  Liberation Sans    14   5    4.899    4.876  +0.023    4.625  +0.274   0.022
words   24.2.7.2  Liberation Sans    16   5    5.628    5.627  +0.001    5.285  +0.343   0.039
words   26.2.4.2  Liberation Sans    16   5    5.656    5.627  +0.029    5.285  +0.371   0.039
words   24.2.7.2  Liberation Sans    18   5    6.377    6.378  -0.001    5.946  +0.431   0.037
