track	binary	face	size	drawn	pitch	spread	predicted	exact
slides	24.2.7.2	Liberation Sans	7	7.001	7.5110	0.0000	7.5118	8.0493
slides	26.2.4.2	Liberation Sans	7	7.001	7.5110	0.0000	7.5118	8.0493
slides	24.2.7.2	Liberation Sans	8	7.993	9.0130	0.0000	9.0142	9.1992
slides	26.2.4.2	Liberation Sans	8	7.993	9.0135	0.0010	9.0142	9.1992
slides	24.2.7.2	Liberation Sans	9	9.013	10.4875	0.0010	10.4882	10.3491
slides	26.2.4.2	Liberation Sans	9	9.013	10.4875	0.0010	10.4882	10.3491
slides	24.2.7.2	Liberation Sans	10	10.005	11.2530	0.0000	11.2535	11.4990
slides	26.2.4.2	Liberation Sans	10	10.005	11.2525	0.0010	11.2535	11.4990
slides	24.2.7.2	Liberation Sans	11	10.998	12.7550	0.0000	12.7559	12.6489
slides	26.2.4.2	Liberation Sans	11	10.998	12.7545	0.0010	12.7559	12.6489
slides	24.2.7.2	Liberation Sans	12	11.990	12.7550	0.0000	12.7559	13.7988
slides	26.2.4.2	Liberation Sans	12	11.990	12.7545	0.0010	12.7559	13.7988
slides	24.2.7.2	Liberation Sans	13	13.010	14.2570	0.0000	14.2583	14.9487
slides	26.2.4.2	Liberation Sans	13	13.010	14.2570	0.0000	14.2583	14.9487
slides	24.2.7.2	Liberation Sans	14	14.002	15.7595	0.0010	15.7606	16.0986
slides	26.2.4.2	Liberation Sans	14	14.002	15.7595	0.0010	15.7606	16.0986
slides	24.2.7.2	Liberation Sans	16	15.986	17.2615	0.0010	17.2630	18.3984
slides	26.2.4.2	Liberation Sans	16	15.986	17.2615	0.0010	17.2630	18.3984
slides	24.2.7.2	Liberation Sans	18	17.999	20.2380	0.0000	20.2394	20.6982
slides	26.2.4.2	Liberation Sans	18	17.999	20.2380	0.0000	20.2394	20.6982
slides	24.2.7.2	Liberation Sans	20	20.011	22.5050	0.0000	22.5071	22.9980
slides	26.2.4.2	Liberation Sans	20	20.011	22.5050	0.0000	22.5071	22.9980
slides	24.2.7.2	Liberation Sans	24	24.007	27.0120	0.0000	27.0142	27.5977
slides	26.2.4.2	Liberation Sans	24	24.007	27.0120	0.0000	27.0142	27.5977
slides	24.2.7.2	Liberation Serif	7	7.001	7.5110	0.0000	7.5118	8.0493
slides	26.2.4.2	Liberation Serif	7	7.001	7.5110	0.0000	7.5118	8.0493
slides	24.2.7.2	Liberation Serif	8	7.993	9.0130	0.0000	9.0142	9.1992
slides	26.2.4.2	Liberation Serif	8	7.993	9.0135	0.0010	9.0142	9.1992
slides	24.2.7.2	Liberation Serif	9	9.013	10.4875	0.0010	10.4882	10.3491
slides	26.2.4.2	Liberation Serif	9	9.013	10.4875	0.0010	10.4882	10.3491
slides	24.2.7.2	Liberation Serif	10	10.005	11.2530	0.0000	11.2535	11.4990
slides	26.2.4.2	Liberation Serif	10	10.005	11.2525	0.0010	11.2535	11.4990
slides	24.2.7.2	Liberation Serif	11	10.998	11.9895	0.0010	11.9906	12.6489
slides	26.2.4.2	Liberation Serif	11	10.998	11.9895	0.0010	11.9906	12.6489
slides	24.2.7.2	Liberation Serif	12	11.990	12.7550	0.0000	12.7559	13.7988
slides	26.2.4.2	Liberation Serif	12	11.990	12.7545	0.0010	12.7559	13.7988
slides	24.2.7.2	Liberation Serif	13	13.010	14.2570	0.0000	14.2583	14.9487
slides	26.2.4.2	Liberation Serif	13	13.010	14.2570	0.0000	14.2583	14.9487
slides	24.2.7.2	Liberation Serif	14	14.002	15.7595	0.0010	15.7606	16.0986
slides	26.2.4.2	Liberation Serif	14	14.002	15.7595	0.0010	15.7606	16.0986
slides	24.2.7.2	Liberation Serif	16	15.986	17.9985	0.0010	18.0000	18.3984
slides	26.2.4.2	Liberation Serif	16	15.986	17.9985	0.0010	18.0000	18.3984
slides	24.2.7.2	Liberation Serif	18	17.999	19.5010	0.0000	19.5024	20.6982
slides	26.2.4.2	Liberation Serif	18	17.999	19.5005	0.0010	19.5024	20.6982
slides	24.2.7.2	Liberation Serif	20	20.011	22.5050	0.0000	22.5071	22.9980
slides	26.2.4.2	Liberation Serif	20	20.011	22.5050	0.0000	22.5071	22.9980
slides	24.2.7.2	Liberation Serif	24	24.007	27.0120	0.0000	27.0142	27.5977
slides	26.2.4.2	Liberation Serif	24	24.007	27.0120	0.0000	27.0142	27.5977
slides	24.2.7.2	Carlito	7	7.001	8.2480	0.0000	8.2488	8.5449
slides	26.2.4.2	Carlito	7	7.001	8.2485	0.0010	8.2488	8.5449
slides	24.2.7.2	Carlito	8	7.993	9.7500	0.0000	9.7512	9.7656
slides	26.2.4.2	Carlito	8	7.993	9.7505	0.0010	9.7512	9.7656
slides	24.2.7.2	Carlito	9	9.013	10.4875	0.0010	10.4882	10.9863
slides	26.2.4.2	Carlito	9	9.013	10.4875	0.0010	10.4882	10.9863
slides	24.2.7.2	Carlito	10	10.005	11.2530	0.0000	11.2535	12.2070
slides	26.2.4.2	Carlito	10	10.005	11.2525	0.0010	11.2535	12.2070
slides	24.2.7.2	Carlito	11	10.998	13.4920	0.0000	13.4929	13.4277
slides	26.2.4.2	Carlito	11	10.998	13.4915	0.0010	13.4929	13.4277
slides	24.2.7.2	Carlito	12	11.990	14.2570	0.0000	14.2583	14.6484
slides	26.2.4.2	Carlito	12	11.990	14.2570	0.0000	14.2583	14.6484
slides	24.2.7.2	Carlito	13	13.010	15.7595	0.0010	15.7606	15.8691
slides	26.2.4.2	Carlito	13	13.010	15.7590	0.0000	15.7606	15.8691
slides	24.2.7.2	Carlito	14	14.002	17.2615	0.0010	17.2630	17.0898
slides	26.2.4.2	Carlito	14	14.002	17.2615	0.0010	17.2630	17.0898
slides	24.2.7.2	Carlito	16	15.986	19.5010	0.0000	19.5024	19.5312
slides	26.2.4.2	Carlito	16	15.986	19.5010	0.0000	19.5024	19.5312
slides	24.2.7.2	Carlito	18	17.999	21.7685	0.0010	21.7701	21.9727
slides	26.2.4.2	Carlito	18	17.999	21.7680	0.0000	21.7701	21.9727
slides	24.2.7.2	Carlito	20	20.011	24.7445	0.0010	24.7465	24.4141
slides	26.2.4.2	Carlito	20	20.011	24.7445	0.0010	24.7465	24.4141
slides	24.2.7.2	Carlito	24	24.007	29.2510	0.0000	29.2535	29.2969
slides	26.2.4.2	Carlito	24	24.007	29.2515	0.0010	29.2535	29.2969
words	24.2.7.2	Liberation Sans	7	6.997	7.5075	0.0010	7.5118	8.0493
words	26.2.4.2	Liberation Sans	7	6.997	7.5070	0.0000	7.5118	8.0493
words	24.2.7.2	Liberation Sans	8	7.989	9.0085	0.0010	9.0142	9.1992
words	26.2.4.2	Liberation Sans	8	7.989	9.0085	0.0010	9.0142	9.1992
words	24.2.7.2	Liberation Sans	9	9.008	10.4815	0.0010	10.4882	10.3491
words	26.2.4.2	Liberation Sans	9	9.008	10.4815	0.0010	10.4882	10.3491
words	24.2.7.2	Liberation Sans	10	10.000	11.2465	0.0010	11.2535	11.4990
words	26.2.4.2	Liberation Sans	10	10.000	11.2465	0.0010	11.2535	11.4990
words	24.2.7.2	Liberation Sans	11	10.991	12.7480	0.0000	12.7559	12.6489
words	26.2.4.2	Liberation Sans	11	10.991	12.7480	0.0000	12.7559	12.6489
words	24.2.7.2	Liberation Sans	12	12.011	12.7480	0.0000	12.7559	13.7988
words	26.2.4.2	Liberation Sans	12	12.011	12.7480	0.0000	12.7559	13.7988
words	24.2.7.2	Liberation Sans	13	13.003	14.2495	0.0010	14.2583	14.9487
words	26.2.4.2	Liberation Sans	13	13.003	14.2495	0.0010	14.2583	14.9487
words	24.2.7.2	Liberation Sans	14	13.994	15.7505	0.0010	15.7606	16.0986
words	26.2.4.2	Liberation Sans	14	13.994	15.7505	0.0010	15.7606	16.0986
words	24.2.7.2	Liberation Sans	16	16.006	17.2525	0.0010	17.2630	18.3984
words	26.2.4.2	Liberation Sans	16	16.006	17.2520	0.0000	17.2630	18.3984
words	24.2.7.2	Liberation Sans	18	17.989	20.2265	0.0010	20.2394	20.6982
words	26.2.4.2	Liberation Sans	18	17.989	20.2270	0.0000	20.2394	20.6982
words	24.2.7.2	Liberation Sans	20	20.000	22.4930	0.0000	22.5071	22.9980
words	26.2.4.2	Liberation Sans	20	20.000	22.4930	0.0000	22.5071	22.9980
words	24.2.7.2	Liberation Sans	24	23.994	26.9970	0.0000	27.0142	27.5977
words	26.2.4.2	Liberation Sans	24	23.994	26.9970	0.0000	27.0142	27.5977
words	24.2.7.2	Liberation Serif	7	6.997	7.5075	0.0010	7.5118	8.0493
words	26.2.4.2	Liberation Serif	7	6.997	7.5070	0.0000	7.5118	8.0493
words	24.2.7.2	Liberation Serif	8	7.989	9.0085	0.0010	9.0142	9.1992
words	26.2.4.2	Liberation Serif	8	7.989	9.0085	0.0010	9.0142	9.1992
words	24.2.7.2	Liberation Serif	9	9.008	10.4815	0.0010	10.4882	10.3491
words	26.2.4.2	Liberation Serif	9	9.008	10.4815	0.0010	10.4882	10.3491
words	24.2.7.2	Liberation Serif	10	10.000	11.2465	0.0010	11.2535	11.4990
words	26.2.4.2	Liberation Serif	10	10.000	11.2465	0.0010	11.2535	11.4990
words	24.2.7.2	Liberation Serif	11	10.991	11.9830	0.0000	11.9906	12.6489
words	26.2.4.2	Liberation Serif	11	10.991	11.9830	0.0000	11.9906	12.6489
words	24.2.7.2	Liberation Serif	12	12.011	12.7480	0.0000	12.7559	13.7988
words	26.2.4.2	Liberation Serif	12	12.011	12.7480	0.0000	12.7559	13.7988
words	24.2.7.2	Liberation Serif	13	13.003	14.2495	0.0010	14.2583	14.9487
words	26.2.4.2	Liberation Serif	13	13.003	14.2495	0.0010	14.2583	14.9487
words	24.2.7.2	Liberation Serif	14	13.994	15.7505	0.0010	15.7606	16.0986
words	26.2.4.2	Liberation Serif	14	13.994	15.7505	0.0010	15.7606	16.0986
words	24.2.7.2	Liberation Serif	16	16.006	17.9890	0.0000	18.0000	18.3984
words	26.2.4.2	Liberation Serif	16	16.006	17.9885	0.0010	18.0000	18.3984
words	24.2.7.2	Liberation Serif	18	17.989	19.4900	0.0000	19.5024	20.6982
words	26.2.4.2	Liberation Serif	18	17.989	19.4900	0.0000	19.5024	20.6982
words	24.2.7.2	Liberation Serif	20	20.000	22.4930	0.0000	22.5071	22.9980
words	26.2.4.2	Liberation Serif	20	20.000	22.4930	0.0000	22.5071	22.9980
words	24.2.7.2	Liberation Serif	24	23.994	26.9970	0.0000	27.0142	27.5977
words	26.2.4.2	Liberation Serif	24	23.994	26.9970	0.0000	27.0142	27.5977
words	24.2.7.2	Carlito	7	6.997	8.2435	0.0010	8.2488	8.5449
words	26.2.4.2	Carlito	7	6.997	8.2435	0.0010	8.2488	8.5449
words	24.2.7.2	Carlito	8	7.989	9.7450	0.0000	9.7512	9.7656
words	26.2.4.2	Carlito	8	7.989	9.7450	0.0000	9.7512	9.7656
words	24.2.7.2	Carlito	9	9.008	10.4815	0.0010	10.4882	10.9863
words	26.2.4.2	Carlito	9	9.008	10.4815	0.0010	10.4882	10.9863
words	24.2.7.2	Carlito	10	10.000	11.2465	0.0010	11.2535	12.2070
words	26.2.4.2	Carlito	10	10.000	11.2465	0.0010	11.2535	12.2070
words	24.2.7.2	Carlito	11	10.991	13.4845	0.0010	13.4929	13.4277
words	26.2.4.2	Carlito	11	10.991	13.4845	0.0010	13.4929	13.4277
words	24.2.7.2	Carlito	12	12.011	14.2490	0.0000	14.2583	14.6484
words	26.2.4.2	Carlito	12	12.011	14.2495	0.0010	14.2583	14.6484
words	24.2.7.2	Carlito	13	13.003	15.7505	0.0010	15.7606	15.8691
words	26.2.4.2	Carlito	13	13.003	15.7510	0.0000	15.7606	15.8691
words	24.2.7.2	Carlito	14	13.994	17.2520	0.0000	17.2630	17.0898
words	26.2.4.2	Carlito	14	13.994	17.2520	0.0000	17.2630	17.0898
words	24.2.7.2	Carlito	16	16.006	19.4900	0.0000	19.5024	19.5312
words	26.2.4.2	Carlito	16	16.006	19.4900	0.0000	19.5024	19.5312
words	24.2.7.2	Carlito	18	17.989	21.7565	0.0010	21.7701	21.9727
words	26.2.4.2	Carlito	18	17.989	21.7565	0.0010	21.7701	21.9727
words	24.2.7.2	Carlito	20	20.000	24.7310	0.0000	24.7465	24.4141
words	26.2.4.2	Carlito	20	20.000	24.7305	0.0010	24.7465	24.4141
words	24.2.7.2	Carlito	24	23.994	29.2350	0.0000	29.2535	29.2969
words	26.2.4.2	Carlito	24	23.994	29.2350	0.0000	29.2535	29.2969
