path	pages_base	pages_after	glyphs_base	glyphs_after	moved
sheets/chartset-009/ods/029_Annual_budget_Use_this_template_30324a97.ods	2	2	791	791	-
sheets/chartset-009/ods/041_Business_budget_ef942467.ods	4	4	1338	1338	-
sheets/chartset-009/ods/053_Personal_asset_inventory_5446d84b.ods	4	4	263	263	-
sheets/chartset-009/ods/056_Quarterly_sale_report_baa6bb0d.ods	4	4	633	633	-
sheets/chartset-010/ods/047_Date_tracker_Gantt_chart_bf34f3a8.ods	8	8	3556	3556	-
sheets/chartset-010/ods/062_Run_chart_cb7476ea.ods	2	2	661	661	-
sheets/chartset-010/ods/065_Weight_loss_tracker_ff1c89af.ods	2	2	354	354	-
sheets/chartset-011/ods/010_Contextures_chart_sample_e6ea06a3.ods	4	4	981	981	-
sheets/chartset-011/ods/028_Budget_summary_report_4aeefd13.ods	4	4	2931	2931	-
sheets/chartset-011/ods/030_Basic_balance_sheet_Use_this_template_10ed9144.ods	8	8	1683	1683	-
sheets/chartset-011/ods/042_Business_monthly_budget_4e4d092f.ods	4	4	1575	1575	-
sheets/chartset-011/ods/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	3	3	2179	2179	-
sheets/chartset-011/ods/060_Monthly_company_budget_47b2a99a.ods	4	4	1668	1668	-
sheets/chartset-012/ods/002_Contextures_chart_sample_f605e7bc.ods	8	8	1953	1953	-
sheets/chartset-012/ods/012_Contextures_chart_sample_9900da76.ods	5	5	615	615	-
sheets/chartset-012/ods/013_Contextures_chart_sample_21b98e22.ods	5	5	801	801	-
sheets/chartset-012/ods/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.ods	11	11	7879	7879	-
sheets/chartset-012/ods/036_Simple_to-do_list_Use_this_template_ba44373b.ods	4	4	345	345	-
sheets/chartset-013/ods/001_Contextures_chart_sample_b089bc34.ods	13	13	2982	2982	-
sheets/chartset-013/ods/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.ods	9	9	3278	3278	-
sheets/chartset-013/ods/031_Business_expense_budget_f3a46278.ods	8	8	7714	7714	-
sheets/chartset-013/ods/032_Business_expenses_budget_d377eaab.ods	4	4	4873	4873	-
sheets/chartset-013/ods/033_Event_planning_tracker_Use_this_template_f29a848e.ods	3	3	2678	2678	-
sheets/chartset-013/ods/035_Project_plan_for_law_firms_aa2d4462.ods	4	4	3879	3879	-
sheets/chartset-013/ods/043_Buy_a_car_vs._rideshare_ff07c7e6.ods	7	7	1412	1412	-
sheets/chartset-013/ods/049_Expenses_calculator_c351f3d0.ods	4	4	1548	1548	-
sheets/chartset-013/ods/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.ods	3	3	1935	1935	-
sheets/chartset-014/ods/027_Simple_personal_cash_flow_statement_675c6584.ods	10	10	7964	7964	-
sheets/chartset-014/ods/038_Baby_growth_chart_bb9cd672.ods	2	2	561	561	-
sheets/chartset-014/ods/039_Baby_growth_tracker_e295ae56.ods	2	2	590	590	-
sheets/chartset-014/ods/045_Check_register_with_chart_4becb8a0.ods	1	1	764	764	-
sheets/chartset-014/ods/048_Expense_trends_budget_18d1e8ba.ods	14	14	4083	4083	-
sheets/chartset-014/ods/064_Small_business_cash_flow_Use_this_template_0a640756.ods	7	7	1803	1803	-
sheets/done-002/ods/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.ods	3	3	2447	2447	-
sheets/done-002/ods/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.ods	5	5	2986	2986	-
sheets/done-009/ods/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.ods	24	24	40106	40106	-
sheets/done-010/ods/Keywords_Mapping_Graphs_and_Charts.ods	46	46	27214	27214	-
sheets/done-010/ods/TOGAF9-Tool-ConfReqts-CSQ.ods	28	28	155662	155662	-
sheets/missing-001/ods/orbus_togaf_tool_csq.ods	75	75	301361	301361	-
slides/ceiling-001/odp/Fundamentals_Module_1_basics.odp	26	26	6464	6464	-
slides/ceiling-001/odp/N2_E_Maestroni_Swarm_COP.odp	30	30	28671	28671	-
slides/ceiling-001/odp/Sylva%20introduction%20session.odp	15	15	5696	5696	-
slides/ceiling-001/odp/Thailand17.odp	54	54	14380	14380	-
slides/ceiling-002/odp/8_P-Pavese_AIRBUS-ATB-journee-CRATB.odp	26	26	10496	10496	-
slides/ceiling-002/odp/Demick_JetBlue.odp	10	10	3236	3236	-
slides/chart-001/odp/southern-classic-kennesaw-state-university-final.odp	23	23	10999	10999	-
slides/chartset-001/odp/008_advanced_powerpoint_bubble.odp	1	1	284	284	-
slides/chartset-001/odp/015_advanced_powerpoint_scatter.odp	1	1	283	283	-
slides/chartset-001/odp/016_advanced_powerpoint_bubble.odp	1	1	287	287	-
slides/chartset-001/odp/031_advanced_powerpoint_scatter.odp	1	1	278	278	-
slides/chartset-001/odp/bar_chart.odp	1	1	131	131	-
slides/chartset-001/odp/combo_bar_line_chart.odp	1	1	219	219	-
slides/chartset-001/odp/line_chart.odp	1	1	113	113	-
slides/chartset-001/odp/scatter_chart.odp	1	1	105	105	-
slides/chartset-001/odp/stacked_area_chart.odp	1	1	174	174	-
slides/chartset-001/odp/stacked_bar_chart.odp	1	1	173	173	-
slides/chartset-002/odp/001_advanced_powerpoint_bar.odp	1	1	334	334	-
slides/chartset-002/odp/006_advanced_powerpoint_area.odp	1	1	328	328	-
slides/chartset-002/odp/007_advanced_powerpoint_scatter.odp	1	1	282	282	-
slides/chartset-002/odp/014_advanced_powerpoint_area.odp	1	1	330	330	-
slides/chartset-002/odp/017_advanced_powerpoint_bar.odp	1	1	339	339	-
slides/chartset-002/odp/023_advanced_powerpoint_scatter.odp	1	1	283	283	-
slides/chartset-002/odp/024_advanced_powerpoint_bubble.odp	1	1	286	286	-
slides/chartset-002/odp/030_advanced_powerpoint_area.odp	1	1	327	327	-
