path	pages_base	pages_after	glyphs_base	glyphs_o51	glyphs_after	moved_by
sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	38	38	5638	5638	5638	-
sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	3	3	472	472	472	-
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	3	3	466	466	466	-
sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	3	3	447	447	447	-
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	3	3	420	420	420	-
sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	3	3	422	422	422	-
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	3	3	422	422	422	-
sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	3	3	440	440	440	-
sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	3	3	374	374	374	-
sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	3	3	412	412	412	-
sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	3	3	454	454	454	-
sheets/chartset-002/xlsx/003_advanced_excel_pie.xlsx	3	3	479	479	479	-
sheets/chartset-002/xlsx/007_advanced_excel_bubble.xlsx	3	3	418	418	418	-
sheets/chartset-002/xlsx/011_advanced_excel_pie.xlsx	3	3	457	457	457	-
sheets/chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	3	3	400	400	400	-
sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	3	3	433	433	433	-
sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	3	3	455	455	455	-
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	3	3	454	454	454	-
sheets/chartset-002/xlsx/027_advanced_excel_pie.xlsx	3	3	451	451	451	-
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	3	3	421	421	421	-
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	3	3	465	465	465	-
sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	3	3	375	375	375	-
sheets/chartset-003/xlsx/008_advanced_excel_radar.xlsx	3	3	415	415	415	-
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	3	3	432	432	432	-
sheets/chartset-003/xlsx/015_advanced_excel_bubble.xlsx	3	3	428	428	428	-
sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	3	3	488	488	488	-
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	3	3	447	447	447	-
sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	3	3	374	374	374	-
sheets/chartset-003/xlsx/024_advanced_excel_radar.xlsx	3	3	423	423	423	-
sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	3	3	444	444	444	-
sheets/chartset-003/xlsx/031_advanced_excel_bubble.xlsx	3	3	404	404	404	-
sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	3	3	495	495	495	-
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	3	3	461	461	461	-
sheets/chartset-004/xlsx/019_advanced_excel_pie.xlsx	3	3	476	476	476	-
sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	3	3	425	425	425	-
sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	5	5	1723	1723	1723	-
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	5	5	839	839	839	-
sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	4	4	879	879	879	-
sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	2	2	941	941	941	-
