variant	spans_removed	spans_added	what_the_labels_read
axis_hash	51	51	45021.00 x2 45040.00 x2 45047.00 x1 45051.00 x1
axis_linked	0	0	identical to the control
axis_mmmm	51	51	April x7 August x6 December x4 February x3
axis_yyyy	51	51	2023 x22 2024 x12 2025 x12 2026 x5
c0	0	0	identical to the control
cell_hash	0	0	identical to the control
cell_yyyy	0	0	identical to the control
