084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c__pptx	3	1128	34c05f27759dad31c8d1a435172eea94
001_1-2-3_Horizontal_Hierarchy_39795b4d__pptx	3	1247	5ae78f68b1644b0a5e8010642c25fe8c
007_3_Circles_Diagram_for_PowerPoint_dac9f170__pptx	3	1378	eda004eece463ce9c15dc39800e8c82e
017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5__pptx	1	364	07e3802d0716decf4ffe28facc92749d
031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05__pptx	3	1865	537315c7293dd58b682a9684e45bea3d
043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e__pptx	3	693	bfaadd114a3ad876986628571f485f10
044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a__pptx	4	2628	4e644fface5bc13ff8f61b7702ab1cb1
055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18__pptx	3	1705	02e8f2b86d2307871f57979dee5b8f40
077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020__pptx	3	961	2cf7a2ce592d7abe85e9ae37acc3820c
094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb__pptx	3	1405	3235cb612b5bb17b72a03a56a61d9a86
099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33__pptx	3	1395	2bc73baa35e284ccf865ec31415e9427
035_Chemistry_Column_PowerPoint_Chart_45bf8a76__pptx	3	1482	828e2e756c25d35dfe3a7650ea12af3a
039_Consumer_Decision_Journey_for_PowerPoint_319207e1__pptx	1	554	970d588b1a8080a8f69ff231add0953c
047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6__pptx	4	2720	dd5ade3faef365fd1c333204ce73b237
054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962__pptx	3	967	2c0a1d2167b5a6bdf37b68214d9c4459
057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c__pptx	3	805	d7c14fba9272c89938858ce5c72898f0
083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12__pptx	3	1037	4bf6663377ea8b12b5cad891c8c99cfa
090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891__pptx	3	625	3801b4065a27833f219517b3d485b231
091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6__pptx	3	2073	4b8f4ec39a2bb83f14e0a6ac0217d927
092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00__pptx	3	1293	8a84c0332a7fbdbf1b9f8babad129818
096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5__pptx	3	1009	6f92c2452a9b441468366bfbaac79dcf
009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9__pptx	2	692	883c57a6e2170f9477f3b0633ffad70d
012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5__pptx	3	1307	b219993e0edd39bad62338728d92e0d1
018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce__pptx	3	1685	5697a98566271d2edd046b1b830d6bb4
038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6__pptx	3	1585	b4d30a3dd8527423984cd1aa59ce52f1
040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3__pptx	3	633	dab60883f2c601899917c6d83f320d7a
