name	ref_only	ours_only
075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021		Carlito-Italic,DejaVuSans
076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835		DejaVuSans
077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020		Carlito-Italic,DejaVuSans
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a		DejaVuSans
079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63		DejaVuSans
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop		
080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f		DejaVuSans
081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31		Carlito-Italic,DejaVuSans
082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125		Carlito-Italic,DejaVuSans
083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12		Carlito-Italic,DejaVuSans
084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c		Carlito-Italic,DejaVuSans
085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f		Carlito-Italic,DejaVuSans
086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83		Carlito-Italic,DejaVuSans
087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912		Carlito-Italic,DejaVuSans
088_Infographic_Quadrant_Pie_Chart_7b1e8abd		
089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2		Carlito-Italic,DejaVuSans
090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891		Carlito-Italic,DejaVuSans
091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6		DejaVuSans
092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00		Carlito-Italic,DejaVuSans
093_Insightful_Zoom_Chart_22b5464e		
094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb		Carlito-Italic,DejaVuSans
095_Interwoven_Bars_e5aa46c2		
096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5		DejaVuSans,LiberationSans
097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592		Carlito-Italic,DejaVuSans
098_Leaning_Cards_Process_dadb3738		
