name	ref_only	ours_only
070_Equipment_inventory_list_Use_this_template_fd524c8a	LiberationSerif	
071_Four-week_project_timeline_Use_this_template_4f05db49		
072_Gantt_project_planner_dde00e33		
073_Graph_paper_6e1a30eb		
074_Idea_planner_bacaa123		
075_Idea_planner_tasks_f44ebd73		
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19		
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a		
078_Modern_inventory_list_Use_this_template_41abd5bf		
079_Org_charts_visual_248d1dcf		
080_Profit_and_loss_income_statement_3566dae9		
081_Project_performance_report_Use_this_template_be2468b3		
082_Project_to_do_list_28f80082		
083_Project_tracker_Use_this_template_b38d057c		
084_Service_invoice_Use_this_template_c92b43dc	DejaVuSansCondensed-BoldOblique	
085_Simple_Gantt_chart_d65b8377		
086_Simple_grey_invoice_Use_this_template_063b3773		
087_Simple_personal_budget_3cf9b1af		
088_To-do_list_with_progress_tracker_Use_this_template_8c438912		
089_Vintage_inventory_list_Use_this_template_f616cac0		
090_Weekly_time_sheet_Use_this_template_0499cc43		
091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01		
092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_31fe4d22		
093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58		
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281		
095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009		
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d		
097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed		
098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_080a06a1		
099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_c0cc35a6		
100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e		
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication		
16424782563923		
18-02RD301_ILS_components_Master_9-13-18		
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2		
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2		
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit		
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1	DejaVuSans,DejaVuSans-Bold	
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1	DejaVuSans,DejaVuSans-Bold	
2023-qhp-form-and-rate-combined-checklist-final		
2025_Active_Civil_Airmen_Statistics_FINAL		
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements		
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web	Rubik-Bold,Rubik-Italic,Rubik-Regular	DejaVuSans,DejaVuSans-Bold
6f9e605c-fded-11e3-bd0e-00144feab7de		
7-memento-2015-transports-aeriens-b		
ACRONYM		
AFCforPtF-Digital-Certificate-Publication-Report		
AFS-400_Contacts		
AIM_OPR_LIST		
AIRBUS_station_evaluation_checklist_v2		
AMOC-Digital-Certificate-Publication-Report		
Air_Boss_Master_List	Carlito-Bold	
Aircraft_Database		
Airplanes-MTOW		
Application_Compliance_Checklist_5_Apr_2021	DejaVuSans,DejaVuSans-Bold	
Application_for_authorisation_as_crowdfunding_service_provider	DejaVuSansCondensed-Oblique	
Aviation_Abbreviations		
Background_Declaration_Template		
Bulletin-37-Appendix-2-immediate-detriment-data-request		
CIS_Debian_Linux_8_Benchmark_v1.0.0		
CSA_CCM_v1.2		
CSJU List of Recipients of funds 2013-2020		
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted		
Chicago.List.2025		
Company_Seniority_Date_Calculator		
Computer and Software Services_50 State Comparison		
Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14		
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)		
Data-Architecture-Tool-Fit-Assessment-Template		
DynamicBubbleChart	LiberationSerif	LiberationSans
EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0		
EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31		
EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36		
EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32		
EASA_PRODUCT_LIST_-_ALL		
ECA Sinters		
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016	Carlito-Bold,Carlito-Regular	
EU_145s_with_TCCA_approval_-_31.01.2025		
Estero Rotary Awards		
ExampleWhiteListData		
FAA-2019-0995-0002_attachment_2		
FMMO_NMPF_37C		
FY2018_Q4_UAS_Sightings		
FY2021-AIP-grants		
FY2023-AIP-grants		
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0	LiberationSans	
Geo_Abschlussarbeiten		
Global_Market_Forecast_2016-2035_Airbus_Data_Set		
Hazard Analysis Template		
INDEX_Digital_Transformation_Toolkits	DejaVuSansCondensed-Oblique	
Infotabelle_WLAN im Flugzeug		
Keywords_Mapping_Graphs_and_Charts		LiberationSans
Laser Report 2024 FOIA __Oct (1)		
List of EQS securities_0		
List-of-Members-August-2017		
Liste-Zertifizierung-ChemKlimaschutzV-RPT		
MajCh-Digital-Certificate-Publication-Report		
MinCh-Digital-Certificate-Publication-Report		
NAARMO_Mexico_RVSM_Approvals		
NPA_21_21_Sentenced_Comments		
NPIAS_2007_App_A		
NPIAS_App_A	DejaVuSansCondensed-BoldOblique	
National-Finalists-2024-1		
National-Reports		
NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1		
ODs-February-2022-Airbus-Commercial-Aircraft		
P1636e		
PA_Delaware		
PBN Matrix NAAs (V01)		
PC1000		
Part_129_Operators	LiberationSerif	
Part_375_Operators	LiberationSerif	
Patent Index 2024 - Top 100 applicants 2024		
Performance		
Praktikastellen_-_chinesischsprachiger_Kulturraum		
Published_Issuances_2024		
RCO_VOR_Master_List_082824		
REDAC_SCHEDULE_RPD_135		
REDAC_SCHEDULE_RPD_137		
RMP 2011-2014 and Inventory		
RPA-Budgets-FY-17-19-20		
RPD 155 REDAC SCHEDULE 2014-04-02		
RVSM_Non_approved_list_2025_84c0b3f4ac		
RegChangeReport		
SIL_TDB605		
SIL_TDB609		
SIL_TDB648		
SLSA_Directory_031423		
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA	LiberationSans-Italic	
STC_WebList		
SectorAdvisoryGroupandStrategyBoards		
Special-Procedures_2025-07-10		
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing	DejaVuSansCondensed-Oblique	
T0A0D0000090006XLSE		DejaVuSans
TDA_Smoke-Detectors	LiberationSerif	
TICAPCapability_Final	LiberationMono,LiberationSerif,LiberationSerif-Bold,OpenSymbol	
TK-Syllabus-Comparison-Document-v2		
TOGAF9-Tool-ConfReqts-CSQ		
Template Pilot Logbook JAR-FCL V3.0		
Travel-Cost-Estimate-Calculator		
UAE Type Accepted Aircraft Models		
UASEventsNov2014-Aug2015		
Upload__hvv_Linie_150_2023		
VOR Candidate Discontinuance List 2026-01-08		
WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm		
WG7_NCWF_Skills_Table		
ZenithAviation_AuctionList		
activespecs		
afn-afn-20250801-fy25-jan25-mar25		
aircraft_analysis-2018-06		
aircraft_analysis_2016-04-27	Unifont	
airports_6		
alle einzeln		
ans_mappings_of_eccairs_terms		
apron-area		
arp-sop-300-Exhibit-A-Table-Templates		
atspp_pay_tables		
capa-liste-nse-1		
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013		
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013		
commander-authorisation-tasks-spreadsheet-october-2025		
cy01_state		
cy06_primary_np_comm		
cy10_primary_enplanements		
data_20121018181533		
disclosures_ecm		
dragon-175066A		
e-pass-contact-details-template		
ecopy of 2016 statistical bulletin_public finance statistics_final		DejaVuSerif
edb-emissions-databank v27-NewFormat (web)		
einvoice-summary-worksheet		
environment-edb-docs-edb-emissions-databank		
essd-16-3433-2024-t02		
esurf-12-135-2024-t01		
flightstandards-doc-Cross-reference-table_version02		
flying-log-passenger-23rd-september-2014		
fm-provider-service-measures		
fse_identification_form		
fy20-may20-sep20		
fy2010-aip-grants		
fy2011-aip-grants		
grants-2005		
hdss-bulletin-index-2019-2022		
jobs-bulletin-51-22-december-2025		
june_2025_published		
laufende-nip-vorhaben-hyland		
links-2026		
microsoft_learn_multi_chart_examples	Carlito-Bold	LiberationSans
npias_2009_appA		
oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software		
orbus_togaf_tool_csq		
permit-applications-determined-july-2015		
programs contact list as of 07-01-10		
redac-sas-201503-fy17-research-portfolio		
register-changes-in-may-2024---adujsted		
sectors-defense-and-aerospace		DejaVuSans
seihon_zassi_kikou_20221215		
sistem-rekod-markah-srm-_-rekod-master		
template-ECSPR-notifications		
tk-syllabus-comparison-document-v5		
underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund		
wiley-cancelled-title-list		
