document	page	over_px	over_pct	over_x0	over_x1	under_px	under_pct
001_advanced_excel_bar__xlsx	1	13	0.001	516.6	516.6	2911	0.209
001_advanced_excel_bar__xlsx	2	0	0.000	-1.0	-1.0	473	0.034
001_advanced_excel_bar__xlsx	3	0	0.000	-1.0	-1.0	305	0.022
002_advanced_excel_line__xlsx	1	17	0.001	516.6	516.6	3108	0.223
002_advanced_excel_line__xlsx	2	1	0.000	59.4	59.4	804	0.058
002_advanced_excel_line__xlsx	3	0	0.000	-1.0	-1.0	297	0.021
003_Contextures_chart_sample_9bda2719__xlsm	1	0	0.000	-1.0	-1.0	1810	0.134
003_Contextures_chart_sample_9bda2719__xlsm	3	0	0.000	-1.0	-1.0	3956	0.294
003_Contextures_chart_sample_9bda2719__xlsm	4	2	0.000	64.2	91.2	4978	0.370
003_Contextures_chart_sample_9bda2719__xlsm	5	0	0.000	-1.0	-1.0	770	0.057
003_Contextures_chart_sample_9bda2719__xlsm	6	0	0.000	-1.0	-1.0	865	0.064
003_advanced_excel_pie__xlsx	1	0	0.000	-1.0	-1.0	849	0.061
003_advanced_excel_pie__xlsx	2	0	0.000	-1.0	-1.0	260	0.019
003_advanced_excel_pie__xlsx	3	0	0.000	-1.0	-1.0	299	0.021
004_advanced_excel_doughnut__xlsx	1	0	0.000	-1.0	-1.0	9133	0.655
004_advanced_excel_doughnut__xlsx	2	0	0.000	-1.0	-1.0	290	0.021
004_advanced_excel_doughnut__xlsx	3	0	0.000	-1.0	-1.0	289	0.021
005_Contextures_chart_sample_6e279b08__xlsx	1	229	0.017	515.4	515.4	10089	0.749
005_Contextures_chart_sample_6e279b08__xlsx	2	0	0.000	-1.0	-1.0	764	0.057
005_Contextures_chart_sample_6e279b08__xlsx	3	0	0.000	-1.0	-1.0	2262	0.162
005_Contextures_chart_sample_6e279b08__xlsx	4	0	0.000	-1.0	-1.0	1128	0.081
005_Contextures_chart_sample_6e279b08__xlsx	5	0	0.000	-1.0	-1.0	1310	0.094
005_Contextures_chart_sample_6e279b08__xlsx	6	0	0.000	-1.0	-1.0	4581	0.329
005_Contextures_chart_sample_6e279b08__xlsx	7	0	0.000	-1.0	-1.0	759	0.056
005_Contextures_chart_sample_6e279b08__xlsx	8	0	0.000	-1.0	-1.0	847	0.063
005_advanced_excel_area__xlsx	1	303	0.022	516.6	516.6	2163	0.155
005_advanced_excel_area__xlsx	2	0	0.000	-1.0	-1.0	720	0.052
005_advanced_excel_area__xlsx	3	0	0.000	-1.0	-1.0	304	0.022
006_Contextures_chart_sample_afa23b53__xlsx	1	0	0.000	-1.0	-1.0	701	0.052
006_Contextures_chart_sample_afa23b53__xlsx	2	0	0.000	-1.0	-1.0	4309	0.320
006_Contextures_chart_sample_afa23b53__xlsx	3	0	0.000	-1.0	-1.0	2433	0.181
006_Contextures_chart_sample_afa23b53__xlsx	4	0	0.000	-1.0	-1.0	698	0.052
006_Contextures_chart_sample_afa23b53__xlsx	5	0	0.000	-1.0	-1.0	774	0.057
006_advanced_excel_scatter__xlsx	1	12	0.001	516.6	516.6	4940	0.354
006_advanced_excel_scatter__xlsx	2	0	0.000	-1.0	-1.0	1136	0.081
006_advanced_excel_scatter__xlsx	3	0	0.000	-1.0	-1.0	296	0.021
007_advanced_excel_bubble__xlsx	1	94	0.007	516.6	516.6	4139	0.297
007_advanced_excel_bubble__xlsx	2	0	0.000	-1.0	-1.0	1431	0.103
007_advanced_excel_bubble__xlsx	3	0	0.000	-1.0	-1.0	301	0.022
008_Contextures_chart_sample_7ea7a1d7__xlsx	1	0	0.000	-1.0	-1.0	1506	0.108
008_Contextures_chart_sample_7ea7a1d7__xlsx	2	0	0.000	-1.0	-1.0	290	0.021
008_Contextures_chart_sample_7ea7a1d7__xlsx	3	0	0.000	-1.0	-1.0	155	0.011
008_Contextures_chart_sample_7ea7a1d7__xlsx	4	0	0.000	-1.0	-1.0	767	0.057
008_Contextures_chart_sample_7ea7a1d7__xlsx	5	0	0.000	-1.0	-1.0	998	0.074
008_advanced_excel_radar__xlsx	1	0	0.000	-1.0	-1.0	3082	0.221
008_advanced_excel_radar__xlsx	2	0	0.000	-1.0	-1.0	179	0.013
008_advanced_excel_radar__xlsx	3	0	0.000	-1.0	-1.0	291	0.021
009_advanced_excel_bar__xlsx	1	27	0.002	516.6	516.6	3236	0.232
009_advanced_excel_bar__xlsx	2	0	0.000	-1.0	-1.0	476	0.034
009_advanced_excel_bar__xlsx	3	0	0.000	-1.0	-1.0	302	0.022
010_Contextures_chart_sample_e6ea06a3__xlsx	1	0	0.000	-1.0	-1.0	953	0.071
010_Contextures_chart_sample_e6ea06a3__xlsx	2	0	0.000	-1.0	-1.0	5746	0.412
010_Contextures_chart_sample_e6ea06a3__xlsx	3	0	0.000	-1.0	-1.0	110	0.008
010_Contextures_chart_sample_e6ea06a3__xlsx	4	0	0.000	-1.0	-1.0	47	0.003
010_Contextures_chart_sample_e6ea06a3__xlsx	5	0	0.000	-1.0	-1.0	802	0.060
010_Contextures_chart_sample_e6ea06a3__xlsx	6	0	0.000	-1.0	-1.0	1015	0.075
010_advanced_excel_line__xlsx	1	16	0.001	516.6	516.6	3942	0.283
010_advanced_excel_line__xlsx	2	0	0.000	-1.0	-1.0	1285	0.092
010_advanced_excel_line__xlsx	3	0	0.000	-1.0	-1.0	295	0.021
011_advanced_excel_pie__xlsx	1	0	0.000	-1.0	-1.0	820	0.059
011_advanced_excel_pie__xlsx	2	0	0.000	-1.0	-1.0	269	0.019
011_advanced_excel_pie__xlsx	3	0	0.000	-1.0	-1.0	300	0.022
012_Contextures_chart_sample_9900da76__xlsx	1	1470	0.109	508.2	568.8	1038	0.077
012_Contextures_chart_sample_9900da76__xlsx	2	7221	0.536	0.0	53.4	138	0.010
012_Contextures_chart_sample_9900da76__xlsx	3	0	0.000	-1.0	-1.0	768	0.055
012_Contextures_chart_sample_9900da76__xlsx	4	0	0.000	-1.0	-1.0	169	0.012
012_Contextures_chart_sample_9900da76__xlsx	5	0	0.000	-1.0	-1.0	1048	0.078
012_Contextures_chart_sample_9900da76__xlsx	6	0	0.000	-1.0	-1.0	1106	0.082
012_advanced_excel_doughnut__xlsx	1	0	0.000	-1.0	-1.0	9469	0.679
012_advanced_excel_doughnut__xlsx	2	0	0.000	-1.0	-1.0	290	0.021
012_advanced_excel_doughnut__xlsx	3	0	0.000	-1.0	-1.0	293	0.021
013_Contextures_chart_sample_21b98e22__xlsx	1	953	0.071	508.2	571.2	1718	0.128
013_Contextures_chart_sample_21b98e22__xlsx	2	7625	0.566	0.0	53.4	250	0.019
013_Contextures_chart_sample_21b98e22__xlsx	3	0	0.000	-1.0	-1.0	751	0.056
013_Contextures_chart_sample_21b98e22__xlsx	4	0	0.000	-1.0	-1.0	540	0.040
013_Contextures_chart_sample_21b98e22__xlsx	5	0	0.000	-1.0	-1.0	164	0.012
013_Contextures_chart_sample_21b98e22__xlsx	6	0	0.000	-1.0	-1.0	1048	0.078
013_Contextures_chart_sample_21b98e22__xlsx	7	0	0.000	-1.0	-1.0	1106	0.082
013_advanced_excel_area__xlsx	1	299	0.021	516.6	516.6	1847	0.132
013_advanced_excel_area__xlsx	2	0	0.000	-1.0	-1.0	721	0.052
013_advanced_excel_area__xlsx	3	0	0.000	-1.0	-1.0	304	0.022
014_Contextures_chart_sample_991ecfc5__xls	1	0	0.000	-1.0	-1.0	10271	0.763
014_Contextures_chart_sample_991ecfc5__xls	2	0	0.000	-1.0	-1.0	2	0.000
014_Contextures_chart_sample_991ecfc5__xls	3	0	0.000	-1.0	-1.0	849	0.061
014_advanced_excel_scatter__xlsx	1	11	0.001	516.6	516.6	3340	0.240
014_advanced_excel_scatter__xlsx	2	0	0.000	-1.0	-1.0	960	0.069
014_advanced_excel_scatter__xlsx	3	0	0.000	-1.0	-1.0	293	0.021
015_advanced_excel_bubble__xlsx	1	93	0.007	516.6	516.6	2868	0.206
015_advanced_excel_bubble__xlsx	2	0	0.000	-1.0	-1.0	983	0.071
015_advanced_excel_bubble__xlsx	3	0	0.000	-1.0	-1.0	299	0.021
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	1	0	0.000	-1.0	-1.0	15999	1.188
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	2	0	0.000	-1.0	-1.0	11631	0.864
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	3	0	0.000	-1.0	-1.0	6713	0.482
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	4	0	0.000	-1.0	-1.0	1	0.000
016_advanced_excel_radar__xlsx	1	0	0.000	-1.0	-1.0	3083	0.221
016_advanced_excel_radar__xlsx	2	0	0.000	-1.0	-1.0	179	0.013
016_advanced_excel_radar__xlsx	3	0	0.000	-1.0	-1.0	292	0.021
017_advanced_excel_bar__xlsx	1	22	0.002	516.6	516.6	3007	0.216
017_advanced_excel_bar__xlsx	2	0	0.000	-1.0	-1.0	509	0.037
017_advanced_excel_bar__xlsx	3	0	0.000	-1.0	-1.0	306	0.022
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	1	0	0.000	-1.0	-1.0	11755	0.873
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	2	0	0.000	-1.0	-1.0	6797	0.505
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	3	0	0.000	-1.0	-1.0	4899	0.364
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	4	0	0.000	-1.0	-1.0	1565	0.116
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	5	0	0.000	-1.0	-1.0	12581	0.934
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	6	0	0.000	-1.0	-1.0	6587	0.489
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	7	0	0.000	-1.0	-1.0	4694	0.349
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	8	0	0.000	-1.0	-1.0	1566	0.116
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	9	0	0.000	-1.0	-1.0	4616	0.343
018_advanced_excel_line__xlsx	1	17	0.001	516.6	516.6	2931	0.210
018_advanced_excel_line__xlsx	2	1	0.000	59.4	59.4	811	0.058
018_advanced_excel_line__xlsx	3	0	0.000	-1.0	-1.0	295	0.021
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	1	0	0.000	-1.0	-1.0	41918	3.113
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	2	0	0.000	-1.0	-1.0	16167	1.201
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	3	0	0.000	-1.0	-1.0	14999	1.114
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	4	0	0.000	-1.0	-1.0	65353	4.854
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	5	0	0.000	-1.0	-1.0	52741	3.917
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	6	0	0.000	-1.0	-1.0	52512	3.900
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	7	0	0.000	-1.0	-1.0	7470	0.555
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	8	0	0.000	-1.0	-1.0	2917	0.217
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	9	0	0.000	-1.0	-1.0	118	0.009
019_advanced_excel_pie__xlsx	1	2	0.000	516.6	516.6	775	0.056
019_advanced_excel_pie__xlsx	2	0	0.000	-1.0	-1.0	261	0.019
019_advanced_excel_pie__xlsx	3	0	0.000	-1.0	-1.0	297	0.021
020_advanced_excel_doughnut__xlsx	1	0	0.000	-1.0	-1.0	9018	0.647
020_advanced_excel_doughnut__xlsx	2	0	0.000	-1.0	-1.0	290	0.021
020_advanced_excel_doughnut__xlsx	3	0	0.000	-1.0	-1.0	291	0.021
021_advanced_excel_area__xlsx	1	295	0.021	516.6	516.6	2207	0.158
021_advanced_excel_area__xlsx	2	0	0.000	-1.0	-1.0	722	0.052
021_advanced_excel_area__xlsx	3	0	0.000	-1.0	-1.0	305	0.022
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx	1	0	0.000	-1.0	-1.0	16129	1.198
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx	2	0	0.000	-1.0	-1.0	2851	0.212
022_advanced_excel_scatter__xlsx	1	12	0.001	516.6	516.6	5260	0.377
022_advanced_excel_scatter__xlsx	2	0	0.000	-1.0	-1.0	1136	0.081
022_advanced_excel_scatter__xlsx	3	0	0.000	-1.0	-1.0	297	0.021
023_advanced_excel_bubble__xlsx	1	94	0.007	516.6	516.6	4315	0.310
023_advanced_excel_bubble__xlsx	2	0	0.000	-1.0	-1.0	1439	0.103
023_advanced_excel_bubble__xlsx	3	0	0.000	-1.0	-1.0	299	0.021
024_advanced_excel_radar__xlsx	1	0	0.000	-1.0	-1.0	3364	0.241
024_advanced_excel_radar__xlsx	2	0	0.000	-1.0	-1.0	179	0.013
024_advanced_excel_radar__xlsx	3	0	0.000	-1.0	-1.0	289	0.021
025_advanced_excel_bar__xlsx	1	13	0.001	516.6	516.6	2671	0.192
025_advanced_excel_bar__xlsx	2	0	0.000	-1.0	-1.0	421	0.030
025_advanced_excel_bar__xlsx	3	0	0.000	-1.0	-1.0	304	0.022
026_advanced_excel_line__xlsx	1	17	0.001	516.6	516.6	2868	0.206
026_advanced_excel_line__xlsx	2	1	0.000	59.4	59.4	803	0.058
026_advanced_excel_line__xlsx	3	0	0.000	-1.0	-1.0	296	0.021
027_advanced_excel_pie__xlsx	1	0	0.000	-1.0	-1.0	716	0.051
027_advanced_excel_pie__xlsx	2	0	0.000	-1.0	-1.0	258	0.019
027_advanced_excel_pie__xlsx	3	0	0.000	-1.0	-1.0	301	0.022
028_advanced_excel_doughnut__xlsx	1	0	0.000	-1.0	-1.0	8999	0.645
028_advanced_excel_doughnut__xlsx	2	0	0.000	-1.0	-1.0	289	0.021
028_advanced_excel_doughnut__xlsx	3	0	0.000	-1.0	-1.0	291	0.021
029_advanced_excel_area__xlsx	1	301	0.022	516.6	516.6	1976	0.142
029_advanced_excel_area__xlsx	2	0	0.000	-1.0	-1.0	717	0.051
029_advanced_excel_area__xlsx	3	0	0.000	-1.0	-1.0	302	0.022
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	1	0	0.000	-1.0	-1.0	18637	1.384
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	2	0	0.000	-1.0	-1.0	1065	0.079
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	3	0	0.000	-1.0	-1.0	9040	0.671
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	4	0	0.000	-1.0	-1.0	332	0.025
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	5	0	0.000	-1.0	-1.0	969	0.072
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	6	0	0.000	-1.0	-1.0	3727	0.277
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	7	0	0.000	-1.0	-1.0	1517	0.113
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	8	0	0.000	-1.0	-1.0	1552	0.115
030_advanced_excel_scatter__xlsx	1	11	0.001	516.6	516.6	3364	0.241
030_advanced_excel_scatter__xlsx	2	0	0.000	-1.0	-1.0	960	0.069
030_advanced_excel_scatter__xlsx	3	0	0.000	-1.0	-1.0	295	0.021
031_advanced_excel_bubble__xlsx	1	95	0.007	516.6	516.6	4030	0.289
031_advanced_excel_bubble__xlsx	2	0	0.000	-1.0	-1.0	1416	0.102
031_advanced_excel_bubble__xlsx	3	0	0.000	-1.0	-1.0	300	0.022
032_advanced_excel_radar__xlsx	1	0	0.000	-1.0	-1.0	3081	0.221
032_advanced_excel_radar__xlsx	2	0	0.000	-1.0	-1.0	179	0.013
032_advanced_excel_radar__xlsx	3	0	0.000	-1.0	-1.0	293	0.021
033_advanced_excel_bar__xlsx	1	13	0.001	516.6	516.6	2725	0.195
033_advanced_excel_bar__xlsx	2	0	0.000	-1.0	-1.0	460	0.033
033_advanced_excel_bar__xlsx	3	0	0.000	-1.0	-1.0	304	0.022
034_advanced_excel_line__xlsx	1	15	0.001	516.6	516.6	4101	0.294
034_advanced_excel_line__xlsx	2	0	0.000	-1.0	-1.0	1282	0.092
034_advanced_excel_line__xlsx	3	0	0.000	-1.0	-1.0	293	0.021
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	1	0	0.000	-1.0	-1.0	17262	1.282
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	2	0	0.000	-1.0	-1.0	185	0.014
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	3	0	0.000	-1.0	-1.0	8261	0.614
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	4	459	0.034	252.0	526.8	0	0.000
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	1	0	0.000	-1.0	-1.0	4943	0.367
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	2	0	0.000	-1.0	-1.0	7904	0.587
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	3	0	0.000	-1.0	-1.0	1	0.000
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	4	0	0.000	-1.0	-1.0	1798	0.134
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	5	0	0.000	-1.0	-1.0	2	0.000
056_Quarterly_sale_report_baa6bb0d__xlsx	1	0	0.000	-1.0	-1.0	1217	0.090
056_Quarterly_sale_report_baa6bb0d__xlsx	2	0	0.000	-1.0	-1.0	106	0.008
056_Quarterly_sale_report_baa6bb0d__xlsx	3	0	0.000	-1.0	-1.0	6217	0.462
056_Quarterly_sale_report_baa6bb0d__xlsx	4	0	0.000	-1.0	-1.0	364	0.027
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	1	0	0.000	-1.0	-1.0	3570	0.265
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	2	2	0.000	540.0	540.0	7000	0.502
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	3	1	0.000	540.0	540.0	709	0.051
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	4	0	0.000	-1.0	-1.0	9259	0.664
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	6	0	0.000	-1.0	-1.0	1936	0.139
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	7	0	0.000	-1.0	-1.0	111	0.008
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	1	0	0.000	-1.0	-1.0	2224	0.165
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	2	0	0.000	-1.0	-1.0	912	0.068
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	3	0	0.000	-1.0	-1.0	658	0.049
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	4	0	0.000	-1.0	-1.0	469	0.035
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	1	0	0.000	-1.0	-1.0	4274	0.317
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	2	0	0.000	-1.0	-1.0	1695	0.126
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	3	0	0.000	-1.0	-1.0	687	0.051
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	4	0	0.000	-1.0	-1.0	1243	0.092
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	5	0	0.000	-1.0	-1.0	41	0.003
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	6	0	0.000	-1.0	-1.0	3226	0.240
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	7	0	0.000	-1.0	-1.0	5863	0.435
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	8	0	0.000	-1.0	-1.0	11382	0.845
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	9	0	0.000	-1.0	-1.0	3271	0.243
AFS-400_Contacts__xlsx	1	0	0.000	-1.0	-1.0	1368	0.102
AFS-400_Contacts__xlsx	2	0	0.000	-1.0	-1.0	841	0.062
AFS-400_Contacts__xlsx	3	0	0.000	-1.0	-1.0	639	0.047
AFS-400_Contacts__xlsx	4	0	0.000	-1.0	-1.0	199	0.015
AFS-400_Contacts__xlsx	5	0	0.000	-1.0	-1.0	402	0.030
AFS-400_Contacts__xlsx	6	0	0.000	-1.0	-1.0	689	0.051
AFS-400_Contacts__xlsx	7	0	0.000	-1.0	-1.0	1359	0.101
AFS-400_Contacts__xlsx	8	0	0.000	-1.0	-1.0	984	0.073
AFS-400_Contacts__xlsx	9	0	0.000	-1.0	-1.0	411	0.031
AFS-400_Contacts__xlsx	10	0	0.000	-1.0	-1.0	681	0.051
AFS-400_Contacts__xlsx	11	0	0.000	-1.0	-1.0	1146	0.085
AFS-400_Contacts__xlsx	12	0	0.000	-1.0	-1.0	581	0.043
AFS-400_Contacts__xlsx	13	0	0.000	-1.0	-1.0	970	0.072
AFS-400_Contacts__xlsx	14	0	0.000	-1.0	-1.0	1143	0.085
AFS-400_Contacts__xlsx	15	0	0.000	-1.0	-1.0	1247	0.093
AFS-400_Contacts__xlsx	16	0	0.000	-1.0	-1.0	208	0.015
AFS-400_Contacts__xlsx	17	0	0.000	-1.0	-1.0	1477	0.110
AFS-400_Contacts__xlsx	18	0	0.000	-1.0	-1.0	1125	0.084
AFS-400_Contacts__xlsx	19	0	0.000	-1.0	-1.0	815	0.061
AFS-400_Contacts__xlsx	20	0	0.000	-1.0	-1.0	242	0.018
AFS-400_Contacts__xlsx	21	0	0.000	-1.0	-1.0	388	0.029
AFS-400_Contacts__xlsx	22	0	0.000	-1.0	-1.0	831	0.062
AFS-400_Contacts__xlsx	23	0	0.000	-1.0	-1.0	1641	0.122
AFS-400_Contacts__xlsx	24	0	0.000	-1.0	-1.0	757	0.056
AFS-400_Contacts__xlsx	25	0	0.000	-1.0	-1.0	381	0.028
AFS-400_Contacts__xlsx	26	0	0.000	-1.0	-1.0	582	0.043
AFS-400_Contacts__xlsx	27	0	0.000	-1.0	-1.0	812	0.060
AFS-400_Contacts__xlsx	28	0	0.000	-1.0	-1.0	349	0.026
AFS-400_Contacts__xlsx	29	0	0.000	-1.0	-1.0	586	0.044
AFS-400_Contacts__xlsx	30	0	0.000	-1.0	-1.0	1377	0.102
AFS-400_Contacts__xlsx	31	0	0.000	-1.0	-1.0	1652	0.123
AFS-400_Contacts__xlsx	32	0	0.000	-1.0	-1.0	215	0.016
AFS-400_Contacts__xlsx	33	0	0.000	-1.0	-1.0	3389	0.252
AFS-400_Contacts__xlsx	34	0	0.000	-1.0	-1.0	7809	0.580
AFS-400_Contacts__xlsx	35	0	0.000	-1.0	-1.0	6140	0.456
AFS-400_Contacts__xlsx	36	0	0.000	-1.0	-1.0	33429	2.483
AFS-400_Contacts__xlsx	37	0	0.000	-1.0	-1.0	8434	0.626
AFS-400_Contacts__xlsx	38	0	0.000	-1.0	-1.0	6763	0.502
AFS-400_Contacts__xlsx	39	0	0.000	-1.0	-1.0	5067	0.376
AFS-400_Contacts__xlsx	40	0	0.000	-1.0	-1.0	11179	0.830
AFS-400_Contacts__xlsx	41	0	0.000	-1.0	-1.0	9635	0.716
AFS-400_Contacts__xlsx	42	0	0.000	-1.0	-1.0	10395	0.772
AFS-400_Contacts__xlsx	43	0	0.000	-1.0	-1.0	5596	0.416
AFS-400_Contacts__xlsx	44	0	0.000	-1.0	-1.0	6897	0.512
AFS-400_Contacts__xlsx	45	0	0.000	-1.0	-1.0	8286	0.615
