track	path	ext	rawO	rawR	alnumO	alnumR	nonO	nonR
sheets	sheets/batch-005/xlsx/fse_identification_form.xlsx	xlsx	443	430	440	427	3	3
sheets	sheets/batch-006/xls/Hazard Analysis Template.xls	xls	682	682	679	679	3	3
sheets	sheets/batch-006/xls/WG7_NCWF_Skills_Table.XLS	xls	8532	8533	8511	8512	21	21
sheets	sheets/batch-006/xls/ZenithAviation_AuctionList.xls	xls	6626	6626	6621	6621	5	5
sheets	sheets/batch-006/xlsx/2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.xlsx	xlsx	2364	2545	2323	2498	41	47
sheets	sheets/batch-006/xlsx/2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.xlsx	xlsx	2364	2545	2323	2498	41	47
sheets	sheets/batch-006/xlsx/Infotabelle_WLAN im Flugzeug.xlsx	xlsx	442	411	394	363	48	48
sheets	sheets/batch-006/xlsx/Published_Issuances_2024.xlsx	xlsx	459	481	457	479	2	2
sheets	sheets/batch-006/xlsx/SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.xlsx	xlsx	548	540	547	540	1	0
sheets	sheets/batch-006/xlsx/june_2025_published.xlsx	xlsx	13191	13191	12936	12936	255	255
sheets	sheets/batch-006/xlsx/register-changes-in-may-2024---adujsted.xlsx	xlsx	798	798	784	784	14	14
sheets	sheets/batch-007/xls/CSA_CCM_v1.2.xls	xls	16025	15923	15768	15666	257	257
sheets	sheets/batch-007/xlsx/114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication.xlsx	xlsx	2381	2368	2339	2326	42	42
sheets	sheets/batch-007/xlsx/AFS-400_Contacts.xlsx	xlsx	6376	6375	6247	6246	129	129
sheets	sheets/batch-007/xlsx/National-Finalists-2024-1.xlsx	xlsx	4184	4184	4155	4155	29	29
sheets	sheets/batch-007/xlsx/Performance.xlsx	xlsx	2170	2137	2156	2123	14	14
sheets	sheets/batch-007/xlsx/dragon-175066A.xlsx	xlsx	8152	8152	7330	7329	822	823
