path	ext	pages	words	fonts	unemb	verdict
slides/batch-001/ppt/WC_Update-Aug03.ppt	ppt	11/11	519/519	2/2	0	match
slides/batch-001/ppt/policy-pesentation.ppt	ppt	16/16	478/478	3/3	0	match
slides/batch-001/ppt/wells08_basic.ppt	ppt	27/27	1172/1171	4/4	0	match
slides/batch-001/pptx/111006 COMSTAC STOWG Aero spaceports IFG.pptx	pptx	8/8	309/309	2/2	0	match
slides/batch-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	pptx	6/6	794/794	4/4	0	match
slides/batch-001/pptx/Definitions commodity chains.pptx	pptx	4/4	279/279	2/2	0	match
slides/batch-001/pptx/Statement of Work presentation.pptx	pptx	10/10	233/229	3/3	0	match
slides/batch-001/pptx/Trust Fund Excise Taxes Structure.pptx	pptx	1/1	189/189	2/2	0	match
slides/batch-001/pptx/fishbone-diagram-template-ppt-1.pptx	pptx	1/1	197/197	2/2	0	match
slides/batch-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	ppt	18/18	838/871	6/4	0	words
slides/batch-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	ppt	27/27	1722/1724	8/7	0	match
slides/batch-002/ppt/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	ppt	14/14	823/820	3/5	0	match
slides/batch-002/ppt/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	ppt	20/20	1025/932	3/3	0	words
slides/batch-002/ppt/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	ppt	10/10	587/587	3/3	0	match
slides/batch-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	ppt	30/30	1925/1878	3/3	0	words
slides/batch-002/pptx/Curriculum-Schematic-E22-11052025.pptx	pptx	12/12	1307/1322	5/5	0	match
slides/batch-002/pptx/diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1.pptx	pptx	1/1	98/98	3/3	0	match
slides/batch-002/pptx/iaeg_work_group_leader_updates.pptx	pptx	1/1	91/91	4/4	0	match
slides/batch-002/pptx/medicines_bulletin_february_2023_final.pptx	pptx	1/1	545/546	3/4	0	match
slides/batch-003/ppt/010605Vul.ppt	ppt	21/21	1094/1089	8/6	0	match
slides/batch-003/ppt/Inducement-to-Insurance-Business.ppt	ppt	22/22	2598/2589	4/5	0	match
slides/batch-003/ppt/outlook_of_nigerian_pension_sector.ppt	ppt	12/12	1119/1118	6/6	0	match
slides/batch-003/ppt/ws_prod-g-doc-Events-2007-Privileges.ppt	ppt	15/15	842/818	5/5	0	words
slides/batch-003/ppt/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.ppt	ppt	38/38	2855/2712	4/4	0	words
slides/batch-003/pptx/02_REDAC_New ATM briefing _March 2017v2.pptx	pptx	6/6	805/805	4/5	0	match
slides/batch-003/pptx/97936.pptx	pptx	15/15	1353/1353	4/5	0	match
slides/batch-003/pptx/NCW-2024-Guide-.pptx	pptx	1/1	222/226	4/4	0	match
slides/batch-003/pptx/dhs-293364.pptx	pptx	39/39	3826/3827	8/7	0	match
slides/batch-003/pptx/ev122_jj-liew-tort-of-bribery-webinar.pptx	pptx	24/24	1449/1449	5/4	0	match
slides/batch-004/ppt/undp_presentation_revised_17_may.ppt	ppt	22/22	1882/1957	7/7	0	words
slides/batch-004/ppt/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	ppt	55/55	6471/6291	3/3	0	words
slides/batch-004/ppt/ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative.ppt	ppt	10/10	389/343	4/4	0	words
slides/batch-004/pptx/DOE Interactive Exercise Presentation draft rev 2.pptx	pptx	10/10	650/655	5/5	0	match
slides/batch-004/pptx/Item 6b - UNSD - Dissemination through APIs.pptx	pptx	10/10	453/453	4/3	0	match
slides/batch-004/pptx/Liturgical-Commission-2025-Convention-Presentation.pptx	pptx	9/9	395/395	2/2	0	match
slides/batch-004/pptx/Session 21- The option to expand & abandon.pptx	pptx	12/12	968/967	5/5	0	match
slides/batch-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	pptx	52/52	4130/4131	10/9	0	match
slides/batch-004/pptx/redac-fullComm-201705-EE-FRs-briefing.pptx	pptx	8/8	384/384	4/4	0	match
slides/batch-004/pptx/solog_orientation_august_2019.pptx	pptx	15/15	730/746	5/6	0	words
slides/batch-005/ppt/0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	ppt	12/12	658/667	3/3	0	match
slides/batch-005/ppt/berlin.ppt	ppt	29/29	1524/1530	3/4	0	match
slides/batch-005/ppt/ws_prod-g-doc-Events-industrymeeting18112004-Aercap.ppt	ppt	12/12	1345/1345	4/3	0	match
slides/batch-005/pptx/5b_upasana_dasgupta_-_liability_and_registration.pptx	pptx	15/15	1016/1006	3/3	0	match
slides/batch-005/pptx/ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016.pptx	pptx	19/19	2007/2007	5/5	0	match
slides/batch-005/pptx/NAS-Infrastructure-Roadmaps-Weather.pptx	pptx	11/11	2151/2152	4/4	0	match
slides/batch-005/pptx/attendance-updates-for-governors.pptx	pptx	30/30	3219/3227	7/7	0	match
slides/batch-005/pptx/c_291533.pptx	pptx	19/19	1158/1159	7/7	0	match
slides/batch-005/pptx/manufacturing_process_simulation_working_group_overview_2023.pptx	pptx	7/7	771/756	5/4	0	match
slides/batch-006/ppt/ITE106-Chapter 4.ppt	ppt	47/47	3294/3294	8/7	0	match
slides/batch-006/ppt/Lepore.ppt	ppt	20/20	1942/1948	5/5	0	match
slides/batch-006/ppt/pods05.ppt	ppt	60/60	2086/2078	10/10	0	match
slides/batch-006/ppt/ws_prod-g-doc-Events-r-6.-ESM.ppt	ppt	25/25	2120/2120	5/6	0	match
slides/batch-006/pptx/Course Selection 2025-26 Current Grade 09.pptx	pptx	10/10	698/698	2/3	0	match
slides/batch-006/pptx/NAS-Infrastructure-Roadmaps-HSI.pptx	pptx	9/9	1469/1469	5/5	0	match
slides/batch-006/pptx/Stakeholders-v08052017 - v5.pptx	pptx	13/13	605/617	6/7	0	match
slides/batch-006/pptx/iris07.12.12.pptx	pptx	21/21	938/938	9/9	0	match
slides/batch-006/pptx/social-media-app-bulletin-january.pptx	pptx	4/4	792/792	4/4	0	match
slides/batch-006/pptx/wopanets-innovationdays-06-16.pptx	pptx	15/15	626/619	3/3	0	match
slides/batch-007/ppt/1-secretariat.ppt	ppt	10/10	210/216	2/3	0	words
slides/batch-007/ppt/architecture6.ppt	ppt	31/31	2011/2642	5/5	0	words
slides/batch-007/ppt/introduction_to_bea_tuxedo.ppt	ppt	40/40	1984/1831	7/7	0	words
slides/batch-007/pptx/Boeing 737 Max - Group 5.pptx	pptx	2/2	7/7	1/1	0	match
slides/batch-007/pptx/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.pptx	pptx	9/9	652/652	4/4	0	match
slides/batch-007/pptx/PAL Block Intro 2023.pptx	pptx	20/20	1562/1564	7/6	0	match
slides/batch-007/pptx/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.pptx	pptx	18/18	2223/2223	5/6	0	match
slides/batch-007/pptx/bitesize-writing-a-report.pptx	pptx	15/15	701/709	7/5	0	match
slides/batch-007/pptx/flying-by-numbers-presentation.pptx	pptx	10/10	576/577	7/7	0	match
slides/batch-007/pptx/nabiyeleul_1_aviation_service_28_july_2020.pptx	pptx	9/9	604/604	4/4	0	match
slides/batch-008/ppt/71393_pp7.ppt	ppt	39/39	2370/2373	6/6	0	match
slides/batch-008/ppt/Framing Europe.ppt	ppt	24/24	2300/2301	4/4	0	match
slides/batch-008/ppt/RESPA_-_Section_8_Webinar.ppt	ppt	35/35	2765/2770	5/5	0	match
slides/batch-008/ppt/concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	ppt	36/36	2635/2571	5/5	0	words
slides/batch-008/ppt/joint_user_outcomes_michael_fullerton_29.06.12.ppt	ppt	20/20	2012/2017	7/7	0	match
slides/batch-008/pptx/10. Drawings, circuit diagrams and schematics.pptx	pptx	23/23	1520/1521	4/4	0	match
slides/batch-008/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	26/26	2331/2199	8/11	0	words
slides/batch-008/pptx/AATF-Fact-Sheet-2025.pptx	pptx	9/9	899/894	7/8	0	match
slides/batch-008/pptx/BHCA Part II webinar #2 - 10.2020.pptx	pptx	21/21	1454/1450	6/6	0	match
slides/batch-008/pptx/FIT26-Presentation-Airservices-Update.pptx	pptx	11/11	241/241	4/4	0	match
slides/batch-009/ppt/8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	ppt	94/94	4512/4542	6/6	0	match
slides/batch-009/ppt/Airport Planning 09112013.ppt	ppt	9/9	656/656	6/6	0	match
slides/batch-009/ppt/EG1_dsrc tech.ppt	ppt	26/26	2178/2178	6/6	0	match
slides/batch-009/ppt/Employment-Based_I-485.ppt	ppt	42/42	2709/2709	3/3	0	match
slides/batch-009/pptx/G-InvoicingKeithJarboe.pptx	pptx	13/13	1175/1177	5/5	0	match
slides/batch-009/pptx/NWD-GLA-Community-Outreach-Day-Oct-2025.pptx	pptx	13/13	577/698	4/3	0	words
slides/batch-009/pptx/ROK-PI Climate Bulletin - Edition 2017-06.pptx	pptx	2/2	416/416	3/3	0	match
slides/batch-009/pptx/airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20.pptx	pptx	38/38	919/927	7/7	0	match
slides/batch-009/pptx/item_3-environmental_process_briefing.pptx	pptx	12/12	334/334	4/4	0	match
slides/batch-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	pptx	14/14	2197/2205	9/8	0	match
slides/batch-010/ppt/Fundamentals_Module_1_basics.ppt	ppt	26/26	1234/1180	6/5	0	words
slides/batch-010/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	ppt	20/20	948/862	6/6	0	words
slides/batch-010/ppt/iep-amount-frequency-for-webinar.ppt	ppt	39/39	1760/1774	6/6	0	match
slides/batch-010/pptx/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	pptx	18/18	1446/1448	7/7	0	match
slides/batch-010/pptx/COMSTAC_11_5_2021am_2.pptx	pptx	39/39	2858/2858	3/4	0	match
slides/batch-010/pptx/FIT26-Presentation-PR-Briefing-Debrief-Airbus.pptx	pptx	9/9	1533/1535	3/3	0	match
slides/batch-010/pptx/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.pptx	pptx	12/12	344/345	4/3	0	match
slides/batch-010/pptx/Tax factsheet 2022 (1).pptx	pptx	27/27	2913/2949	4/5	0	match
slides/batch-010/pptx/[Christophe]NLP_reseau_inge_stat.pptx	pptx	17/17	988/989	5/5	0	match
slides/batch-010/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	23/23	2268/2381	6/7	0	words
slides/batch-011/ppt/BUS-Chapter 05.ppt	ppt	50/50	2342/2342	5/5	0	match
slides/batch-011/pptx/171128IPAP.pptx	pptx	40/40	4919/4811	9/10	0	words
slides/batch-011/pptx/BasicMed_AME_Presentation.pptx	pptx	18/18	939/939	4/4	0	match
slides/batch-011/pptx/Copy of Full deck with references Promotion of Outside Interests at Work final(1).pptx	pptx	33/33	3248/3252	6/7	0	match
slides/batch-011/pptx/DoIRD Meeting 16JAN14 v1-1.pptx	pptx	15/15	1142/1142	8/6	0	match
slides/batch-011/pptx/John_Broggio__RSS_Campion_event_John_Broggio.pptx	pptx	25/25	1245/1246	2/3	0	match
slides/batch-011/pptx/REDAC Briefing_SSIT_CARA_08132014.ppt.pptx	pptx	14/14	521/521	5/3	0	match
slides/batch-011/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	pptx	24/24	4691/4771	5/6	0	match
slides/batch-011/pptx/passiv.pptx	pptx	21/21	1305/1304	8/8	0	match
slides/batch-011/pptx/section_1_our_rights_presentation.pptx	pptx	30/30	4257/4254	7/7	0	match
slides/batch-012/pptx/1_Country-Updates_DRC_English.pptx	pptx	16/16	844/846	5/5	0	match
slides/batch-012/pptx/23-session-2-pptx.pptx	pptx	16/16	333/333	4/4	0	match
slides/batch-012/pptx/3495.pptx	pptx	26/26	807/807	4/4	0	match
slides/batch-012/pptx/B2B-Center-Readiness-and-Student-Retention.pptx	pptx	33/33	1558/1555	6/6	0	match
slides/batch-012/pptx/NAS-Infrastructure-Roadmaps-v16.0.pptx	pptx	137/137	19370/19297	7/6	0	match
slides/batch-012/pptx/OnTrac_StarCertificationProgram-3Day.pptx	pptx	15/15	1416/1116	8/7	0	words
slides/batch-012/pptx/Session-1-Presentation-Reporting-Forms-Form-12-final.pptx	pptx	15/15	1162/1152	7/9	0	match
slides/batch-012/pptx/Sylva%20introduction%20session.pptx	pptx	15/15	1152/1562	7/7	0	words
slides/batch-012/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	pptx	25/25	1818/1790	7/6	0	match
slides/batch-012/pptx/order-of-worship-ppt-revised-2018.pptx	pptx	28/28	1212/1212	6/5	0	match
slides/batch-013/ppt/JesuitAssocOfStudentPersonnel.ppt	ppt	31/31	1334/1339	6/6	0	match
slides/batch-013/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	ppt	27/27	2660/2764	8/8	0	words
slides/batch-013/ppt/gillikin_online_user_mtg_2010.ppt	ppt	40/40	1468/1469	5/5	0	match
slides/batch-013/pptx/3492.pptx	pptx	22/22	1320/1320	5/6	0	match
slides/batch-013/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	pptx	18/18	1009/1036	7/7	0	words
slides/batch-013/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	pptx	26/26	1394/1394	7/6	0	match
slides/batch-013/pptx/REDAC briefing March12-13-2014jemvbFINAL.ppt.pptx	pptx	25/25	2788/2786	8/8	0	match
slides/batch-013/pptx/SRDMG(16)024_60 GHz onboard airplanes.pptx	pptx	26/26	1931/1931	7/7	0	match
slides/batch-013/pptx/vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c.pptx	pptx	19/19	705/707	5/4	0	match
slides/batch-013/pptx/vvsummit2022-SAIC-PRESENTATION.pptx	pptx	19/19	705/707	5/4	0	match
slides/batch-014/ppt/Thailand17.ppt	ppt	54/54	2850/2826	8/9	0	match
slides/batch-014/ppt/ws_prod-g-doc-Events-2008-February-5-NATO-activities.ppt	ppt	13/13	510/516	6/4	0	match
slides/batch-014/pptx/2014BSA_Sunday_Killion.pptx	pptx	50/50	3759/3702	9/8	0	match
slides/batch-014/pptx/429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3.pptx	pptx	20/20	3226/3225	6/6	0	match
slides/batch-014/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	pptx	39/39	3827/3829	7/7	0	match
slides/batch-014/pptx/N2_E_Maestroni_Swarm_COP.pptx	pptx	30/30	5469/5294	5/4	0	words
slides/batch-014/pptx/Ramp Up Campaign - French.pptx	pptx	6/6	446/465	2/4	0	words
slides/batch-014/pptx/Sean Monogue.pptx	pptx	15/15	890/889	4/5	0	match
slides/batch-014/pptx/Structural Testing.pptx	pptx	89/89	5023/4999	13/12	0	match
slides/batch-014/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	pptx	51/51	2340/2137	10/7	0	words
slides/batch-015/ppt/2015-Civil-Rights-Website-training.ppt	ppt	94/94	6573/6586	11/11	0	match
slides/batch-015/ppt/Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6.ppt	ppt	26/26	1953/2156	4/3	0	words
slides/batch-015/ppt/FAA_Form_337.ppt	ppt	67/67	5755/5848	15/15	0	match
slides/batch-015/ppt/hofman.ppt	ppt	13/13	504/503	5/4	0	match
slides/batch-015/pptx/PRM_training.pptx	pptx	22/22	2207/2193	5/7	0	match
slides/batch-015/pptx/chapter_4_0.pptx	pptx	54/54	3340/3340	7/7	0	match
slides/batch-015/pptx/redac-sas-201509-asisp-research.pptx	pptx	45/45	3300/3307	12/12	0	match
slides/batch-015/pptx/redac-sas-201703-hf-research-division.pptx	pptx	13/13	784/784	2/3	0	match
slides/batch-015/pptx/schematicplay.pptx	pptx	21/21	2127/2142	4/4	0	match
slides/batch-015/pptx/schematicplaymar21.pptx	pptx	21/21	2120/2138	4/4	0	match
slides/batch-016/ppt/pres_ioc_phuket.ppt	ppt	26/26	1031/1594	9/9	0	words
slides/batch-016/pptx/16 - UTM - (NASA).pptx	pptx	37/37	2658/2447	11/11	0	words
slides/batch-016/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	pptx	30/30	1275/1219	6/6	0	words
slides/batch-016/pptx/Presentation - Identify Components of the Airport (1).pptx	pptx	12/12	591/591	6/6	0	match
slides/batch-016/pptx/Reporting_responsibilities_matrix.pptx	pptx	268/268	57904/57918	2/3	0	match
slides/batch-016/pptx/Snowbirds_High_Show.pptx	pptx	41/41	1916/1925	4/5	0	match
slides/batch-016/pptx/Technical_Report_Elements[1].pptx	pptx	39/39	1477/1482	4/5	0	match
slides/batch-016/pptx/redac-nasops-201503-RIRP-portfolio-update.pptx	pptx	46/46	2915/2917	10/9	0	match
slides/batch-016/pptx/servicedesk-plus-overviewfinal.pptx	pptx	66/66	1919/1903	3/8	0	match
slides/batch-016/pptx/vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment.pptx	pptx	33/33	1359/1361	4/4	0	match
slides/batch-017/ppt/Architecture.ppt	ppt	29/29	865/867	4/4	0	match
