document	oursText	oursOutlined	refText	refOutlined
011_Project_Timeline_Template_Beautiful_Theme_2336e680	1065	0	832	0
016_Project_Timeline_Template_Complete_Guide_7d36d09c	653	28	625	32
018_Project_Timeline_Template_Editable_Format_e1cf1df5	453	0	432	0
024_Unit_Circle_Chart_Colorful_Circles_7c92601e	517	0	552	0
031_Venn_Diagram_Template_Blue_Theme_a9e417b8	304	0	240	3
040_Venn_Diagram_Template_Three_Circle_80f32f5e	294	0	231	3
051_Organogram_Template_Basic_Theme_e6464d06	86	0	49	29
055_Organogram_Template_Horizontal_Structure_28a7e725	470	0	300	37
