document	segments per stroked polyline (distinct)
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	220x6
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	220x2
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	220x2
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	220x6
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	220x2
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	220x6
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	220x2
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	220x6
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	220x6
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	60x6, 200x2
sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	
slides/done-011/pptx/171128IPAP.pptx	38x2, 41x3, 801x3, 830x2, 874x1
